elem_2T,separable_sector_phase,sector_map,phase_map
e,True,"{""0"": 0, ""1"": 1, ""2"": 2, ""3"": 3}","{""0"": 0, ""1"": 1, ""2"": 2, ""3"": 3, ""4"": 4, ""5"": 5}"
e*,True,"{""0"": 0, ""1"": 1, ""2"": 2, ""3"": 3}","{""0"": 3, ""1"": 4, ""2"": 5, ""3"": 0, ""4"": 1, ""5"": 2}"
(0 1)(2 3),False,,
(0 1)(2 3)*,False,,
(0 2)(1 3),False,,
(0 2)(1 3)*,False,,
(0 3)(1 2),False,,
(0 3)(1 2)*,False,,
(0 1 2),False,,
(0 1 2)*,False,,
(0 1 3),False,,
(0 1 3)*,False,,
(0 2 1),False,,
(0 2 1)*,False,,
(0 2 3),True,"{""0"": 3, ""1"": 0, ""2"": 2, ""3"": 1}","{""0"": 1, ""1"": 2, ""2"": 3, ""3"": 4, ""4"": 5, ""5"": 0}"
(0 2 3)*,True,"{""0"": 3, ""1"": 0, ""2"": 2, ""3"": 1}","{""0"": 4, ""1"": 5, ""2"": 0, ""3"": 1, ""4"": 2, ""5"": 3}"
(0 3 1),False,,
(0 3 1)*,False,,
(0 3 2),True,"{""0"": 1, ""1"": 3, ""2"": 2, ""3"": 0}","{""0"": 5, ""1"": 0, ""2"": 1, ""3"": 2, ""4"": 3, ""5"": 4}"
(0 3 2)*,True,"{""0"": 1, ""1"": 3, ""2"": 2, ""3"": 0}","{""0"": 2, ""1"": 3, ""2"": 4, ""3"": 5, ""4"": 0, ""5"": 1}"
(1 2 3),False,,
(1 2 3)*,False,,
(1 3 2),False,,
(1 3 2)*,False,,
