mu,lambda,winner_flux,winner_noflux,winner_changed,winner_flux_stability,winner_noflux_stability
0.75,0.4,8,8,False,14.18249678847443,14.222105425956821
0.75,0.41,8,8,False,14.313384235042198,14.350436159489496
0.75,0.42,8,8,False,14.101363871344867,14.133790418771275
0.75,0.43,33,8,True,13.623772943930733,13.640688032991854
0.75,0.44,33,33,False,14.078957068030068,14.090872884582755
0.75,0.45,33,33,False,14.2807067623079,14.289590171881681
0.75,0.46,8,8,False,14.530364040959851,14.563075836758026
0.75,0.47,8,8,False,14.754242578478586,14.788418944034207
0.75,0.48,8,8,False,14.66557791705049,14.700073278149011
0.75,0.49,8,8,False,14.282694419259368,14.316373969634109
0.75,0.5,8,8,False,13.667229408358326,13.699192839300716
0.75,0.51,8,8,False,12.900575565211724,12.930261416511843
0.75,0.52,33,33,False,12.448916782311157,12.437851922787354
0.75,0.53,33,33,False,12.81679206416883,12.80793023970616
0.75,0.54,33,33,False,12.995401176429787,12.989554329122372
0.75,0.55,33,33,False,12.979146084426523,12.976742492239234
0.75,0.56,33,33,False,12.786166069053998,12.787182856828775
1.25,0.4,8,8,False,13.83889616780983,13.875426777116582
1.25,0.41,8,8,False,14.0588840164217,14.093538297795051
1.25,0.42,8,8,False,13.955664072951226,13.986438195861046
1.25,0.43,8,8,False,13.573855140893059,13.599762524521063
1.25,0.44,33,33,False,13.99443542195387,14.003927886658733
1.25,0.45,33,33,False,14.232855458469555,14.238987311053112
1.25,0.46,33,8,True,14.210720337944649,14.229766146377786
1.25,0.47,8,8,False,14.494304496862865,14.528460027554123
1.25,0.48,8,8,False,14.498411367560303,14.533192620804313
1.25,0.49,8,8,False,14.21183480815941,14.246021250719163
1.25,0.5,8,8,False,13.681135019863637,13.713696732415094
1.25,0.51,8,8,False,12.979156850429375,13.009409366669798
1.25,0.52,19,19,False,12.769099886413699,12.731717723434834
1.25,0.53,33,33,False,12.874147630293688,12.861222790249466
1.25,0.54,33,33,False,13.146238594242858,13.135806324101436
1.25,0.55,33,33,False,13.219411709424481,13.212308172268097
1.25,0.56,33,33,False,13.101520796770403,13.098133143931545
1.75,0.4,35,35,False,13.84416624744079,13.825823483002019
1.75,0.41,8,8,False,13.741322096599541,13.769911973347298
1.75,0.42,8,8,False,13.699927028152409,13.725321181066935
1.75,0.43,8,8,False,13.38986193495677,13.411188270269381
1.75,0.44,33,33,False,13.762946978011069,13.769743355717605
1.75,0.45,33,33,False,14.0073090530478,14.010712857509942
1.75,0.46,33,33,False,14.003586170153499,14.003690750723337
1.75,0.47,8,8,False,14.079791495475382,14.109853960251339
1.75,0.48,8,8,False,14.12316001523749,14.153685343643863
1.75,0.49,8,8,False,13.89498227120968,13.924895588580005
1.75,0.5,8,8,False,13.431469174397629,13.459866247842552
1.75,0.51,19,19,False,13.22077234637826,13.178396467992135
1.75,0.52,19,19,False,13.191885205124409,13.149597231928471
1.75,0.53,19,19,False,12.998298192737211,12.958014362046365
1.75,0.54,33,33,False,13.143908308967726,13.130258067236806
1.75,0.55,33,33,False,13.296781777627212,13.285902504083227
1.75,0.56,33,33,False,13.253511093739608,13.246101359267143
