seed_node,mu,lambda_switch_at,from_line,to_line,from_proj_classes,to_proj_classes,seed_dist_to_delta4,seed_is_delta4_endpoint
0,1.0,0.45,22,8,sec0_m2 sec1_m0 sec2_m2 sec3_m0,sec0_m2 sec1_m0 sec2_m0 sec3_m2,0,True
0,1.0,0.5,8,17,sec0_m2 sec1_m0 sec2_m0 sec3_m2,sec0_m2 sec1_m0 sec2_m1 sec3_m1,0,True
0,1.25,0.47,22,8,sec0_m2 sec1_m0 sec2_m2 sec3_m0,sec0_m2 sec1_m0 sec2_m0 sec3_m2,0,True
0,1.25,0.52,8,17,sec0_m2 sec1_m0 sec2_m0 sec3_m2,sec0_m2 sec1_m0 sec2_m1 sec3_m1,0,True
0,1.5,0.49,22,8,sec0_m2 sec1_m0 sec2_m2 sec3_m0,sec0_m2 sec1_m0 sec2_m0 sec3_m2,0,True
0,1.5,0.53,8,17,sec0_m2 sec1_m0 sec2_m0 sec3_m2,sec0_m2 sec1_m0 sec2_m1 sec3_m1,0,True
6,1.0,0.46,39,30,sec0_m2 sec1_m2 sec2_m2 sec3_m1,sec0_m2 sec1_m2 sec2_m1 sec3_m2,1,False
6,1.25,0.45,39,30,sec0_m2 sec1_m2 sec2_m2 sec3_m1,sec0_m2 sec1_m2 sec2_m1 sec3_m2,1,False
6,1.5,0.45,39,30,sec0_m2 sec1_m2 sec2_m2 sec3_m1,sec0_m2 sec1_m2 sec2_m1 sec3_m2,1,False
7,1.0,0.48,15,2,sec0_m0 sec1_m1 sec2_m0 sec3_m0,sec0_m0 sec1_m0 sec2_m0 sec3_m1,3,False
7,1.25,0.48,15,2,sec0_m0 sec1_m1 sec2_m0 sec3_m0,sec0_m0 sec1_m0 sec2_m0 sec3_m1,3,False
7,1.5,0.48,15,2,sec0_m0 sec1_m1 sec2_m0 sec3_m0,sec0_m0 sec1_m0 sec2_m0 sec3_m1,3,False
8,1.0,0.49,19,35,sec0_m1 sec1_m2 sec2_m2 sec3_m2,sec0_m1 sec1_m2 sec2_m0 sec3_m1,3,False
8,1.25,0.49,19,35,sec0_m1 sec1_m2 sec2_m2 sec3_m2,sec0_m1 sec1_m2 sec2_m0 sec3_m1,3,False
8,1.5,0.49,19,35,sec0_m1 sec1_m2 sec2_m2 sec3_m2,sec0_m1 sec1_m2 sec2_m0 sec3_m1,3,False
19,1.0,0.5,18,2,sec0_m0 sec1_m0 sec2_m2 sec3_m2,sec0_m0 sec1_m0 sec2_m0 sec3_m1,1,False
19,1.25,0.48,18,2,sec0_m0 sec1_m0 sec2_m2 sec3_m2,sec0_m0 sec1_m0 sec2_m0 sec3_m1,1,False
19,1.5,0.47,18,2,sec0_m0 sec1_m0 sec2_m2 sec3_m2,sec0_m0 sec1_m0 sec2_m0 sec3_m1,1,False
39,1.0,0.48,19,35,sec0_m1 sec1_m2 sec2_m2 sec3_m2,sec0_m1 sec1_m2 sec2_m0 sec3_m1,3,False
39,1.25,0.49,19,35,sec0_m1 sec1_m2 sec2_m2 sec3_m2,sec0_m1 sec1_m2 sec2_m0 sec3_m1,3,False
39,1.5,0.49,19,35,sec0_m1 sec1_m2 sec2_m2 sec3_m2,sec0_m1 sec1_m2 sec2_m0 sec3_m1,3,False
57,1.0,0.52,1,15,sec0_m1 sec1_m0 sec2_m0 sec3_m0,sec0_m0 sec1_m1 sec2_m0 sec3_m0,1,False
57,1.25,0.52,1,15,sec0_m1 sec1_m0 sec2_m0 sec3_m0,sec0_m0 sec1_m1 sec2_m0 sec3_m0,1,False
57,1.5,0.52,1,15,sec0_m1 sec1_m0 sec2_m0 sec3_m0,sec0_m0 sec1_m1 sec2_m0 sec3_m0,1,False
