line_id,mean_delta,mean_abs_delta,max_abs_delta,std_delta,mean_flux,mean_noflux,card_basis,var_q,sumsq_q,var_q_r,line_type,type,proj_quartet_str,rainbow_m_tuple_SHDC,var_q_class
8,-0.0289224852445542,0.0289224852445542,0.0396086374824768,0.0045511320602944,12.98886415849966,13.017786643744216,3♡ 4♠ 8♣ 10♣,0.1111111111113452,0.4444444444453808,0.111111,other,rainbow,sec0_m2 sec1_m0 sec2_m0 sec3_m2,"2,0,0,2",low(1/9)
19,0.0235070460157374,0.0235278098476281,0.0423758783861156,0.0109430735366615,11.67809235156592,11.654585305550182,10♠ 10♡ 10♢ 10♣,0.11111111111129118,0.44444444444516473,0.111111,rank_spread,rainbow,sec0_m1 sec1_m2 sec2_m2 sec3_m2,"1,2,2,2",low(1/9)
39,-0.0194527024535412,0.0194527024535412,0.0276845319912482,0.0031003062089962,11.115514938254476,11.134967640708018,2♠ 3♡ 6♣ 7♣,0.1111111111113452,0.4444444444453808,0.111111,other,rainbow,sec0_m2 sec1_m2 sec2_m2 sec3_m1,"2,2,2,1",low(1/9)
35,0.0154435083393667,0.0154435083393667,0.0217918512394685,0.0036387993231123,8.112213224538447,8.09676971619908,1♣ 2♣ 5♢ 8♣,0.3333333333333333,1.3333333333333333,0.333333,other,rainbow,sec0_m1 sec1_m2 sec2_m0 sec3_m1,"1,2,0,1",mid(1/3)
26,0.0125386202470556,0.0125386202470556,0.017897822848079,0.0017530535991905,7.2339244791639965,7.22138585891694,2♠ 2♡ 2♢ 2♣,0.11111111111123717,0.4444444444449487,0.111111,rank_spread,rainbow,sec0_m1 sec1_m1 sec2_m2 sec3_m0,"1,1,2,0",low(1/9)
3,-0.0125276636771933,0.0125276636771933,0.0181395271714883,0.0029689682287331,9.465686172551283,9.47821383622848,3♢ 4♣ 8♠ 10♡,0.11111111111139921,0.44444444444559683,0.111111,other,rainbow,sec0_m0 sec1_m2 sec2_m1 sec3_m1,"0,2,1,1",low(1/9)
18,-0.0113717331330282,0.0113717331330282,0.0201545029575864,0.0047698349298437,6.580090909496952,6.59146264262998,1♡ 2♠ 5♠ 8♠,0.3333333333335494,1.3333333333341975,0.333333,other,rainbow,sec0_m0 sec1_m0 sec2_m2 sec3_m2,"0,0,2,2",mid(1/3)
7,0.0112690323964942,0.0112690323964942,0.0151657764179118,0.0017488042004888,5.881071237872268,5.869802205475774,6♠ 6♡ 6♢ 6♣,0.11111111111129118,0.44444444444516473,0.111111,rank_spread,rainbow,sec0_m0 sec1_m2 sec2_m0 sec3_m2,"0,2,0,2",low(1/9)
14,0.0109402488846984,0.0109402488846984,0.01470714627228,0.0016865747405577,5.788232853914988,5.77729260503029,2♢ 4♣ 5♣ 6♠,0.11111111111123716,0.4444444444449487,0.111111,other,rainbow,sec0_m2 sec1_m1 sec2_m0 sec3_m1,"2,1,0,1",low(1/9)
15,-0.0040432973400089,0.0106318701935504,0.0235233316730685,0.011719015555166,8.614311915894724,8.618355213234734,8♠ 8♡ 8♢ 8♣,0.11111111111139921,0.44444444444559683,0.111111,rank_spread,rainbow,sec0_m0 sec1_m1 sec2_m0 sec3_m0,"0,1,0,0",low(1/9)
12,0.0105866612146801,0.0105866612146801,0.0144149266209216,0.0016415240164776,5.687835025689663,5.677248364474981,6♠ 7♡ 8♣ 9♢,0.1111111111113452,0.4444444444453808,0.111111,monochrome12,monochrome,sec2_m0 sec2_m1 sec2_m2,,low(1/9)
21,0.0104463954959793,0.0104463954959793,0.024654821356739,0.0053472260063857,9.81694153455292,9.80649513905694,1♢ 2♢ 7♢ 10♣,0.3333333333335494,1.3333333333341975,0.333333,other,rainbow,sec0_m0 sec1_m1 sec2_m1 sec3_m2,"0,1,1,2",mid(1/3)
24,0.0103195017247177,0.0103195017247177,0.0143642308762839,0.0025164100331355,7.0302061741073,7.019886672382583,2♣ 4♢ 9♣ 10♠,0.11111111111129118,0.44444444444516473,0.111111,monochrome12,monochrome,sec0_m0 sec0_m1 sec0_m2,,low(1/9)
32,0.0009876919133106,0.01023791022497,0.033452068909785,0.012955470800808,7.198124968487173,7.197137276573864,1♢ 4♢ 6♣ 8♡,0.3333333333335494,1.3333333333341975,0.333333,other,rainbow,sec0_m1 sec1_m2 sec2_m1 sec3_m0,"1,2,1,0",mid(1/3)
1,0.0082553496912364,0.0082553496912364,0.0112983130623867,0.0012622122486828,5.055417349294277,5.047161999603041,1♡ 3♠ 6♠ 10♠,0.3333333333335494,1.3333333333341975,0.333333,other,rainbow,sec0_m1 sec1_m0 sec2_m0 sec3_m0,"1,0,0,0",mid(1/3)
33,-0.0012504701564998,0.0069999206963728,0.0176463190264914,0.0084017291086013,13.208642509945609,13.209892980102108,5♢ 6♣ 9♠ 10♡,0.11111111111129118,0.44444444444516473,0.111111,monochrome12,monochrome,sec1_m0 sec1_m1 sec1_m2,,low(1/9)
9,-0.0031460122376293,0.005801912024149,0.0201545029575509,0.0073631659426639,7.879240207382287,7.882386219619916,6♡ 7♢ 8♠ 9♣,0.11111111111139921,0.44444444444559683,0.111111,monochrome12,monochrome,sec0_m0 sec0_m1 sec0_m2,,low(1/9)
38,0.0053258998396304,0.0053258998396304,0.0136780502256659,0.0038760882121164,7.841723453151175,7.836397553311545,2♠ 4♡ 9♢ 10♢,0.11111111111129118,0.44444444444516473,0.111111,monochrome12,monochrome,sec2_m0 sec2_m1 sec2_m2,,low(1/9)
23,0.0045465785110837,0.0045513787770723,0.0120124118462694,0.0034560537340298,8.135085761211357,8.130539182700275,4♠ 4♡ 4♢ 4♣,0.11111111111129118,0.44444444444516473,0.111111,rank_spread,rainbow,sec0_m1 sec1_m0 sec2_m2 sec3_m1,"1,0,2,1",low(1/9)
13,0.0038460383048055,0.0038460383048055,0.0082144942280217,0.0026231771240651,6.75857320195126,6.754727163646455,3♠ 4♡ 5♢ 7♢,0.11111111111139921,0.44444444444559683,0.111111,other,rainbow,sec0_m0 sec1_m2 sec2_m2 sec3_m0,"0,2,2,0",low(1/9)
25,0.0034588123174124,0.0034588123174124,0.0051054071053595,0.0013014614718993,6.001772025525501,5.998313213208087,1♢ 3♢ 5♡ 9♢,0.3333333333335494,1.3333333333341975,0.333333,monochrome12,monochrome,sec2_m0 sec2_m1 sec2_m2,,mid(1/3)
30,0.0034588123174124,0.0034588123174124,0.0051054071053595,0.0013014614718993,6.001772025525501,5.998313213208087,5♠ 5♡ 5♢ 5♣,0.11111111111123717,0.4444444444449487,0.111111,rank_spread,rainbow,sec0_m2 sec1_m2 sec2_m1 sec3_m2,"2,2,1,2",low(1/9)
11,0.0034588123174124,0.0034588123174124,0.0051054071053595,0.0013014614718993,6.001772025525501,5.998313213208087,2♡ 4♠ 5♡ 6♡,0.11111111111123717,0.4444444444449487,0.111111,other,rainbow,sec0_m0 sec1_m0 sec2_m1 sec3_m0,"0,0,1,0",low(1/9)
5,0.0034588123174124,0.0034588123174124,0.0051054071053595,0.0013014614718993,6.001772025525501,5.998313213208087,5♡ 7♣ 8♢ 10♠,0.11111111111129118,0.44444444444516473,0.111111,other,rainbow,sec0_m1 sec1_m1 sec2_m1 sec3_m1,"1,1,1,1",low(1/9)
29,0.0020506287057468,0.003347516264404,0.0063616550868808,0.003155914396882,9.222600070643994,9.220549441938248,2♢ 3♣ 8♢ 9♠,0.11111111111129118,0.44444444444516473,0.111111,monochrome12,monochrome,sec1_m0 sec1_m1 sec1_m2,,low(1/9)
22,0.0021585904445281,0.0033015429176538,0.0088021876991071,0.0033823214199822,5.142298325522705,5.1401397350781775,5♣ 7♠ 8♡ 10♢,0.1111111111113452,0.4444444444453808,0.111111,other,rainbow,sec0_m2 sec1_m0 sec2_m2 sec3_m0,"2,0,2,0",low(1/9)
16,0.0012078857539475,0.0032006867810644,0.006374227476531,0.0034635715106214,9.208718757276124,9.207510871522176,3♣ 4♢ 5♠ 7♡,0.1111111111113452,0.4444444444453808,0.111111,other,rainbow,sec0_m1 sec1_m1 sec2_m0 sec3_m2,"1,1,0,2",low(1/9)
4,-0.0029765083629197,0.0029765083629197,0.0068611214741451,0.0020807376514892,6.174678323942101,6.177654832305021,2♣ 3♢ 6♢ 7♠,0.11111111111139921,0.44444444444559683,0.111111,other,rainbow,sec0_m1 sec1_m0 sec2_m1 sec3_m2,"1,0,1,2",low(1/9)
6,0.0013566683086913,0.0028638058953718,0.0058803413492629,0.0029840682712203,8.723966546990479,8.722609878681787,3♠ 3♡ 3♢ 3♣,0.11111111111145322,0.4444444444458129,0.111111,rank_spread,rainbow,sec0_m2 sec1_m1 sec2_m1 sec3_m0,"2,1,1,0",low(1/9)
36,0.0013566683086913,0.0028638058953718,0.0058803413492629,0.0029840682712203,8.723966546990479,8.722609878681787,1♣ 3♣ 6♡ 10♢,0.3333333333333333,1.3333333333333333,0.333333,other,rainbow,sec0_m0 sec1_m1 sec2_m2 sec3_m1,"0,1,2,1",mid(1/3)
