line_id,card_basis,mean_abs_delta,var_q_r,var_q_class,proj_quartet_str
26,2♠ 2♡ 2♢ 2♣,0.0125386202470556,0.111111,low(1/9),sec0_m1 sec1_m1 sec2_m2 sec3_m0
14,2♢ 4♣ 5♣ 6♠,0.0109402488846984,0.111111,low(1/9),sec0_m2 sec1_m1 sec2_m0 sec3_m1
11,2♡ 4♠ 5♡ 6♡,0.0034588123174124,0.111111,low(1/9),sec0_m0 sec1_m0 sec2_m1 sec3_m0
30,5♠ 5♡ 5♢ 5♣,0.0034588123174124,0.111111,low(1/9),sec0_m2 sec1_m2 sec2_m1 sec3_m2
19,10♠ 10♡ 10♢ 10♣,0.0235278098476281,0.111111,low(1/9),sec0_m1 sec1_m2 sec2_m2 sec3_m2
7,6♠ 6♡ 6♢ 6♣,0.0112690323964942,0.111111,low(1/9),sec0_m0 sec1_m2 sec2_m0 sec3_m2
24,2♣ 4♢ 9♣ 10♠,0.0103195017247177,0.111111,low(1/9),sec0_m0 sec0_m1 sec0_m2
33,5♢ 6♣ 9♠ 10♡,0.0069999206963728,0.111111,low(1/9),sec1_m0 sec1_m1 sec1_m2
38,2♠ 4♡ 9♢ 10♢,0.0053258998396304,0.111111,low(1/9),sec2_m0 sec2_m1 sec2_m2
23,4♠ 4♡ 4♢ 4♣,0.0045513787770723,0.111111,low(1/9),sec0_m1 sec1_m0 sec2_m2 sec3_m1
5,5♡ 7♣ 8♢ 10♠,0.0034588123174124,0.111111,low(1/9),sec0_m1 sec1_m1 sec2_m1 sec3_m1
29,2♢ 3♣ 8♢ 9♠,0.003347516264404,0.111111,low(1/9),sec1_m0 sec1_m1 sec1_m2
37,5♠ 6♢ 9♡ 10♣,0.0013504470492692,0.111111,low(1/9),sec3_m0 sec3_m1 sec3_m2
10,9♠ 9♡ 9♢ 9♣,0.0008676125495143,0.111111,low(1/9),sec0_m0 sec0_m1 sec0_m2 sec1_m0 sec1_m1 sec1_m2 sec2_m0 sec2_m1 sec2_m2 sec3_m0 sec3_m1 sec3_m2
8,3♡ 4♠ 8♣ 10♣,0.0289224852445542,0.111111,low(1/9),sec0_m2 sec1_m0 sec2_m0 sec3_m2
