line_id,line_type,w33_cards,proj_quartet_str,rainbow_m_tuple_SHDC,mean_abs_delta,max_abs_delta,r2,corr_deltaS_deltaCoh,coef_delta_coh,coef_flux_coh,coef_flux_def_mass,coef_mu,coef_lambda
8,other,3♡ 4♠ 8♣ 10♣,sec0_m2 sec1_m0 sec2_m0 sec3_m2,"2,0,0,2",0.028922485244554194,0.0396086374824768,0.4126589698751102,-0.32297572288025767,7.919272834599727,-3.791157831303502,-0.39961414475514256,0.03303242055549808,0.10708551412330879
19,rank_spread,10♠ 10♡ 10♢ 10♣,sec0_m1 sec1_m2 sec2_m2 sec3_m2,"1,2,2,2",0.023527809847628128,0.0423758783861156,0.8323073498527487,-0.40901089545415786,-51.033849079427256,34.508155907466396,2.872173394086594,-0.14715421253314923,-0.5229639839895488
39,other,2♠ 3♡ 6♣ 7♣,sec0_m2 sec1_m2 sec2_m2 sec3_m1,"2,2,2,1",0.01945270245354116,0.0276845319912482,0.5809262756859102,-0.3421652390661316,8.340107940303634,-4.784802092023403,-0.4382159699224015,0.03105845166053426,0.1276859301419583
35,other,1♣ 2♣ 5♢ 8♣,sec0_m1 sec1_m2 sec2_m0 sec3_m1,"1,2,0,1",0.015443508339366748,0.0217918512394685,0.8290934024176411,-0.2621419226042836,-7.062258168573112,5.410544773999291,0.048819302961627335,-0.0016153113582381134,-0.17212305967997835
26,rank_spread,2♠ 2♡ 2♢ 2♣,sec0_m1 sec1_m1 sec2_m2 sec3_m0,"1,1,2,0",0.012538620247055604,0.017897822848079,0.7357984213725168,-0.20116809228274882,-2.954550478158197,2.2623408183704266,-0.12899617451394382,0.005874199852839306,-0.07348704535083823
3,other,3♢ 4♣ 8♠ 10♡,sec0_m0 sec1_m2 sec2_m1 sec3_m1,"0,2,1,1",0.012527663677193305,0.0181395271714883,0.8940551802415618,0.5499390506461721,5.365616807243027,-2.7237280738803293,-0.2723606266643202,0.014982114857623166,0.10011317002798877
18,other,1♡ 2♠ 5♠ 8♠,sec0_m0 sec1_m0 sec2_m2 sec3_m2,"0,0,2,2",0.011371733133028226,0.0201545029575864,0.8429727502670925,-0.13596350446878164,-7.265503703729224,5.818157518134975,0.40156974512715027,-0.016700146894120627,-0.031939741247220585
7,rank_spread,6♠ 6♡ 6♢ 6♣,sec0_m0 sec1_m2 sec2_m0 sec3_m2,"0,2,0,2",0.011269032396494173,0.0151657764179118,0.9923223909668586,-0.8260520754752069,1.1114232051162416,0.27941403000472065,-0.33806000811394293,0.023760927170628873,-0.014252163230636692
14,other,2♢ 4♣ 5♣ 6♠,sec0_m2 sec1_m1 sec2_m0 sec3_m1,"2,1,0,1",0.010940248884698398,0.01470714627228,0.9887261937932268,-0.8328060339893424,0.9822065784070035,0.30486698892976216,-0.31624512341628513,0.022354437855117884,-0.013374504968906879
15,rank_spread,8♠ 8♡ 8♢ 8♣,sec0_m0 sec1_m1 sec2_m0 sec3_m0,"0,1,0,0",0.010631870193550384,0.0235233316730685,0.12022833172933955,-0.03230554705097469,-10.163349014210212,1.052342340798492,1.2591354457151878,-0.08532536114735995,-0.069955137233066
12,monochrome12,6♠ 7♡ 8♣ 9♢,sec2_m0 sec2_m1 sec2_m2,,0.01058666121468012,0.0144149266209216,0.9883123298620848,-0.8243988537590587,0.7986899286176854,0.40425811397135575,-0.29847601029784787,0.02120711552186042,-0.016863303579103695
21,other,1♢ 2♢ 7♢ 10♣,sec0_m0 sec1_m1 sec2_m1 sec3_m2,"0,1,1,2",0.010446395495979257,0.024654821356739,0.912643741989918,0.06353416910211508,8.142246348590614,-9.844833887854602,0.1184159150185909,-0.019166460992727802,0.11072688561309776
24,monochrome12,2♣ 4♢ 9♣ 10♠,sec0_m0 sec0_m1 sec0_m2,,0.010319501724717682,0.0143642308762839,0.1735644752786829,-0.04147206340035724,-13.000550599089825,8.313744165341445,0.703764160468832,-0.04108654637835176,-0.1749672856989073
32,other,1♢ 4♢ 6♣ 8♡,sec0_m1 sec1_m2 sec2_m1 sec3_m0,"1,2,1,0",0.010237910224970049,0.033452068909785,0.5505740923794296,-0.1648824277620477,12.214948453537417,-7.688868921122027,-1.0895791097899228,0.06344559192972514,-0.03694723782713686
1,other,1♡ 3♠ 6♠ 10♠,sec0_m1 sec1_m0 sec2_m0 sec3_m0,"1,0,0,0",0.008255349691236395,0.0112983130623867,0.9961578961698121,-0.804986096203865,0.19457296703241087,0.5963783615117138,-0.2066478699552756,0.014962673197686592,-0.02126507114784562
