mu,lambda,line_id,stability_flux,stability_noflux,delta_stability
0.75,0.4,0,5.4696685306247925,5.46787059393988,0.001797936684912571
0.75,0.4,1,5.1459768280919205,5.139068833330057,0.006907994761863101
0.75,0.4,2,5.26261128997851,5.2674678106249635,-0.004856520646453255
0.75,0.4,3,10.911645757807234,10.92389733537798,-0.012251577570745908
0.75,0.4,4,6.366739685828102,6.3730809419398655,-0.006341256111763727
0.75,0.4,5,5.552975049759619,5.54839128441396,0.004583765345659074
0.75,0.4,6,9.474183640331063,9.469385565242405,0.004798075088658038
0.75,0.4,7,5.927910066056038,5.918730253707343,0.009179812348694583
0.75,0.4,8,14.18249678849748,14.222105425979956,-0.039608637482476894
0.75,0.4,9,9.582227628389562,9.602382131347113,-0.020154502957550946
0.75,0.4,10,5.469668530626494,5.46787059394158,0.0017979366849143474
0.75,0.4,11,5.552975049759619,5.54839128441396,0.004583765345659074
0.75,0.4,12,5.748349937936004,5.739676635368511,0.008673302567492769
0.75,0.4,13,7.17553262443746,7.167409846405272,0.008122778032188194
0.75,0.4,14,5.8104514434517345,5.8016107833530866,0.008840660098647923
0.75,0.4,15,9.582227628384262,9.602382131341773,-0.020154502957511866
0.75,0.4,16,10.163234353796616,10.1577477257333,0.0054866280633163456
0.75,0.4,17,2.783410877992096,2.78172319591726,0.0016876820748357169
0.75,0.4,18,9.582227628394861,9.602382131352448,-0.020154502957586473
0.75,0.4,19,11.073355181196815,11.073884658910028,-0.0005294777132132111
0.75,0.4,20,3.1015346055662003,3.1021066184592314,-0.0005720128930311041
0.75,0.4,21,10.563378150014646,10.538723328657907,0.02465482135673902
0.75,0.4,22,5.262611289977193,5.267467810623644,-0.0048565206464505906
0.75,0.4,23,9.775340721427991,9.763328309581722,0.012012411846269444
0.75,0.4,24,10.838341948325429,10.835883573732279,0.0024583745931501255
0.75,0.4,25,5.552975049759619,5.54839128441396,0.004583765345659074
0.75,0.4,26,10.089851402256373,10.078722269432985,0.011129132823388233
0.75,0.4,27,5.26261128997851,5.2674678106249635,-0.004856520646453255
0.75,0.4,28,2.834949471970411,2.8344711977080013,0.00047827426240987236
0.75,0.4,29,10.125607288606883,10.120154732200671,0.005452556406211784
0.75,0.4,30,5.552975049759619,5.54839128441396,0.004583765345659074
0.75,0.4,31,2.783410877992096,2.78172319591726,0.0016876820748357169
0.75,0.4,32,8.366163879406,8.3673558206857,-0.001191941279699904
0.75,0.4,33,13.706877962390358,13.72452428141685,-0.017646319026491497
0.75,0.4,34,5.469668530626494,5.46787059394158,0.0017979366849143474
0.75,0.4,35,12.996740135966922,12.98194552641471,0.014794609552211568
0.75,0.4,36,9.474183640331063,9.469385565242405,0.004798075088658038
0.75,0.4,37,5.469668530626494,5.46787059394158,0.0017979366849143474
0.75,0.4,38,8.964105222269797,8.950427172044131,0.013678050225665928
0.75,0.4,39,12.167463168586146,12.195147700577394,-0.027684531991248207
0.75,0.41,0,5.479972221031828,5.478654978000261,0.0013172430315666617
0.75,0.41,1,5.065852165579846,5.058995838995826,0.006856326584020245
0.75,0.41,2,5.180478158299607,5.180769635315327,-0.00029147701572007634
0.75,0.41,3,10.697194599778664,10.711825462201965,-0.014630862423301139
0.75,0.41,4,6.2558081119496,6.262669233423745,-0.006861121474145193
0.75,0.41,5,5.632149541176224,5.627557900588455,0.004591640587769064
