mu,lambda,winner_flux,winner_flux_stability,winner_noflux,winner_noflux_stability,winner_changed
0.75,0.4,8,14.18249678849748,8,14.222105425979956,False
0.75,0.41,8,14.31338423506322,8,14.350436159510576,False
0.75,0.42,8,14.101363871362691,8,14.133790418789111,False
0.75,0.43,33,13.623772943930751,8,13.640688033006006,True
0.75,0.44,33,14.078957068030068,33,14.090872884582737,False
0.75,0.45,33,14.280706762307904,33,14.289590171881684,False
0.75,0.46,8,14.530364040986301,8,14.563075836784488,False
0.75,0.47,8,14.75424257850445,8,14.788418944060112,False
0.75,0.48,8,14.66557791707446,8,14.70007327817293,False
0.75,0.49,8,14.282694419280407,8,14.316373969655153,False
0.75,0.5,8,13.667229408376041,8,13.69919283931843,False
0.75,0.51,8,12.900575565226251,8,12.930261416526339,False
0.75,0.52,33,12.448916782311164,33,12.43785192278735,False
0.75,0.53,33,12.816792064168839,33,12.807930239706128,False
0.75,0.54,33,12.995401176429814,33,12.989554329122374,False
0.75,0.55,33,12.979146084426512,33,12.97674249223922,False
0.75,0.56,33,12.78616606905401,33,12.787182856828792,False
1.25,0.4,8,13.838896167832488,8,13.875426777139321,False
1.25,0.41,8,14.058884016442954,8,14.093538297816368,False
1.25,0.42,8,13.955664072969839,8,13.986438195879673,False
1.25,0.43,8,13.573855140908341,8,13.59976252453634,False
1.25,0.44,33,13.99443542195387,33,14.003927886658717,False
1.25,0.45,33,14.232855458469553,33,14.238987311053108,False
1.25,0.46,33,14.210720337944627,8,14.229766146404103,True
1.25,0.47,8,14.494304496889107,8,14.528460027580389,False
1.25,0.48,8,14.498411367585142,8,14.53319262082923,False
1.25,0.49,8,14.211834808181704,8,14.246021250741501,False
1.25,0.5,8,13.68113501988277,8,13.713696732434277,False
1.25,0.51,8,12.979156850445289,8,13.009409366685736,False
1.25,0.52,19,12.769099886413708,19,12.731717723434832,False
1.25,0.53,33,12.874147630293695,33,12.861222790249467,False
1.25,0.54,33,13.146238594242844,33,13.135806324101447,False
1.25,0.55,33,13.219411709424499,33,13.212308172268111,False
1.25,0.56,33,13.101520796770433,33,13.098133143931555,False
1.75,0.4,35,13.844166247445136,35,13.825823483006154,False
1.75,0.41,8,13.741322096620397,8,13.769911973368178,False
1.75,0.42,8,13.699927028170979,8,13.725321181085539,False
1.75,0.43,8,13.389861934972414,8,13.411188270284976,False
1.75,0.44,33,13.762946978011083,33,13.769743355717582,False
1.75,0.45,33,14.007309053047825,33,14.010712857509917,False
1.75,0.46,33,14.0035861701535,33,14.003690750723333,False
1.75,0.47,8,14.079791495500729,8,14.109853960276737,False
1.75,0.48,8,14.12316001526175,8,14.153685343668185,False
1.75,0.49,8,13.89498227123178,8,13.924895588602164,False
1.75,0.5,8,13.43146917441688,8,13.459866247861815,False
1.75,0.51,19,13.220772346378247,19,13.178396467992131,False
1.75,0.52,19,13.19188520512443,19,13.149597231928475,False
1.75,0.53,19,12.998298192737238,19,12.958014362046358,False
1.75,0.54,33,13.143908308967749,33,13.130258067236815,False
1.75,0.55,33,13.296781777627219,33,13.285902504083227,False
1.75,0.56,33,13.253511093739602,33,13.246101359267149,False
