lam,mu,best_line,stability
0.4,0.5,22,2.0993139443927804
0.4,0.75,22,2.102336264654061
0.4,1.0,22,2.106468649543746
0.4,1.25,22,2.111309906427413
0.4,1.5,22,2.116379181937065
0.4,1.75,22,2.1211630464333373
0.4,2.0,22,2.1251620967587206
0.41,0.5,8,2.1019122528195746
0.41,0.75,22,2.1044917074680334
0.41,1.0,22,2.1086541739648488
0.41,1.25,22,2.1135483007319724
0.41,1.5,22,2.11870049927684
0.41,1.75,22,2.1236020172893464
0.41,2.0,22,2.1277544235322403
0.42,0.5,8,2.1047266699797085
0.42,0.75,22,2.106780145981306
0.42,1.0,22,2.110972181300704
0.42,1.25,22,2.1159181180923987
0.42,1.5,22,2.1211514658726083
0.42,1.75,22,2.126168110132031
0.42,2.0,22,2.1304706665815156
0.43,0.5,8,2.1077269062226307
0.43,0.75,8,2.109464144010207
0.43,1.0,22,2.1134222810304557
0.43,1.25,22,2.1184187723270935
0.43,1.5,22,2.123731207554558
0.43,1.75,22,2.128860040791941
0.43,2.0,22,2.133308973428912
0.44,0.5,8,2.110908722309111
0.44,0.75,8,2.1126383011364336
0.44,1.0,22,2.116003232701125
0.44,1.25,22,2.121048828632179
0.44,1.5,22,2.1264379927164088
0.44,1.75,22,2.1316756428058845
0.44,2.0,22,2.1362665616705514
0.45,0.5,8,2.114266100225809
0.45,0.75,8,2.1159952449153274
0.45,1.0,8,2.118897847305204
0.45,1.25,22,2.1238060199654947
0.45,1.5,22,2.1292692498970434
0.45,1.75,22,2.1346118873546187
0.45,2.0,22,2.1393397431146943
0.46,0.5,8,2.1177913111692455
0.46,0.75,8,2.11952760794347
0.46,1.0,8,2.1224473884461155
0.46,1.25,22,2.1266872779648107
0.46,1.5,22,2.132221600294255
0.46,1.75,22,2.1376649191120047
0.46,2.0,22,2.142523965629357
0.47,0.5,8,2.121475021013415
0.47,0.75,8,2.1232263242223985
0.47,1.0,8,2.1261709219730243
0.47,1.25,8,2.1300215386799852
0.47,1.5,22,2.135290904664825
0.47,1.75,22,2.1408301074316856
0.47,2.0,22,2.1458138720584254
0.48,0.5,17,2.126607671304121
0.48,0.75,8,2.1270807609946116
0.48,1.0,8,2.1300579488637
0.48,1.25,8,2.133957341318951
0.48,1.5,22,2.1384723237011958
0.48,1.75,22,2.1441021118997963
0.48,2.0,22,2.1492033751076876
0.49,0.5,17,2.134568115605689
0.49,0.75,17,2.132621755816213
0.49,1.0,8,2.134096450671359
0.49,1.25,8,2.13805145470695
0.49,1.5,8,2.1426048782491383
0.49,1.75,22,2.1474749608966683
0.49,2.0,22,2.1526857466571383
0.5,0.5,17,2.1428186365055524
0.5,0.75,17,2.1409277005359337
0.5,1.0,17,2.1392471683196197
0.5,1.25,8,2.1422902998592637
0.5,1.5,8,2.1469266209435967
0.5,1.75,8,2.151810072844161
0.5,2.0,8,2.1565529793594993
0.51,0.5,17,2.151304289632601
0.51,0.75,17,2.149488586991938
0.51,1.0,17,2.147895059321328
0.51,1.25,8,2.1466590578905644
0.51,1.5,8,2.151382567196386
0.51,1.75,8,2.156377722690204
0.51,2.0,8,2.161261115989416
0.52,0.5,17,2.1599657004099426
0.52,0.75,17,2.1582436448510607
0.52,1.0,17,2.1567553606102274
0.52,1.25,17,2.155526386961541
0.52,1.5,8,2.15595616054618
0.52,1.75,8,2.1610637165546422
0.52,2.0,8,2.1660849561011717
0.53,0.5,17,2.1687400032109307
0.53,0.75,17,2.1671282172131474
0.53,1.0,17,2.1657609251920382
0.53,1.25,17,2.164666993719683
0.53,1.5,17,2.163855125330977
0.53,1.75,8,2.1658494122326704
0.53,2.0,8,2.171004145210366
0.54,0.5,17,2.1775619226836467
0.54,0.75,17,2.1760748605860103
0.54,1.0,17,2.1748413990665703
0.54,1.25,17,2.1738915671682215
0.54,1.5,17,2.173235473736918
0.54,1.75,17,2.1728527270402505
0.54,2.0,8,2.1759975657445536
0.55,0.5,17,2.186364976680908
0.55,0.75,17,2.185014579720381
0.55,1.0,17,2.1839245045587092
0.55,1.25,17,2.183123573118011
0.55,1.5,17,2.1826207217543057
0.55,1.75,17,2.182393245392876
0.55,2.0,17,2.1823787693580083
0.56,0.5,17,2.1950827724932545
0.56,0.75,17,2.193878169192172
0.56,1.0,17,2.1929374463948874
0.56,1.25,17,2.1922856717790826
0.56,1.5,17,2.1919278057153324
0.56,1.75,17,2.191835912652688
0.56,2.0,17,2.191940388267101
0.57,0.5,17,2.2036503607584312
0.57,0.75,17,2.2025976255331066
0.57,1.0,17,2.201808403174651
0.57,1.25,17,2.201301319549543
0.57,1.5,17,2.201074375953192
0.57,1.75,17,2.201091284917954
0.57,2.0,17,2.201272091091133
0.58,0.5,17,2.2120056051551815
0.58,0.75,17,2.211107586603313
0.58,1.0,17,2.2104680587210517
0.58,1.25,17,2.2100964240869945
0.58,1.5,17,2.209980619986894
0.58,1.75,17,2.210072753005107
0.58,2.0,17,2.2102792704665015
0.59,0.5,17,2.220090521434787
0.59,0.75,17,2.219346749493542
0.59,1.0,17,2.218851121348704
0.59,1.25,17,2.218600995893437
0.59,1.5,17,2.2185710887150174
0.59,1.75,17,2.2186985997393798
0.59,2.0,17,2.2188731138373603
0.6,0.5,17,2.2278525370879736
0.6,0.75,17,2.2272592152103465
0.6,1.0,17,2.226897775142866
0.6,1.25,17,2.226750734641294
0.6,1.5,17,2.2267764554171445
0.6,1.75,17,2.2268939803660825
0.6,2.0,17,2.226972866495955
