lam,mu,best_line,stability
0.4,0.5,8,1.378962904218971
0.4,0.75,8,1.4091378708668139
0.4,1.0,22,1.4354931562874107
0.4,1.25,17,1.4639317391915836
0.4,1.5,17,1.5432714335139843
0.4,1.75,17,1.5883661643267055
0.4,2.0,17,1.6021429141527552
0.41,0.5,8,1.3794121056555129
0.41,0.75,8,1.4064450438354195
0.41,1.0,22,1.4279869794314375
0.41,1.25,17,1.460495984852715
0.41,1.5,17,1.533815507752955
0.41,1.75,17,1.5722311822981148
0.41,2.0,17,1.5806129545724041
0.42,0.5,8,1.3795708289367155
0.42,0.75,8,1.4033828543917386
0.42,1.0,22,1.4200241664391118
0.42,1.25,17,1.4570874779740461
0.42,1.5,17,1.5243966606757786
0.42,1.75,17,1.5564165117077524
0.42,2.0,17,1.559882456482606
0.43,0.5,8,1.3793671916443708
0.43,0.75,8,1.399886777523983
0.43,1.0,22,1.411559402623341
0.43,1.25,17,1.4536336933620069
0.43,1.5,17,1.5149548051496142
0.43,1.75,17,1.5408737612429788
0.43,2.0,17,1.539889200626197
0.44,0.5,8,1.3787297777548475
0.44,0.75,8,1.395895472972084
0.44,1.0,22,1.4025542251519596
0.44,1.25,17,1.4500637217304837
0.44,1.5,17,1.5054340213586168
0.44,1.75,17,1.5255587183961126
0.44,2.0,17,1.5205750029412661
0.45,0.5,8,1.377588152763102
0.45,0.75,8,1.3913513263811252
0.45,1.0,22,1.3929773062698945
0.45,1.25,17,1.44630841486423
0.45,1.5,17,1.4957827426634103
0.45,1.75,17,1.5104314578326943
0.45,2.0,17,1.5018859196513927
0.46,0.5,8,1.3758735331844008
0.46,0.75,8,1.3862010783755263
0.46,1.0,22,1.3828047146837013
0.46,1.25,17,1.442300628600934
0.46,1.5,17,1.4859539387565626
0.46,1.75,17,1.495456364127882
0.46,2.0,17,1.4837722892355139
0.47,0.5,8,1.373519599296793
0.47,0.75,8,1.380396517550985
0.47,1.0,17,1.3746926169600069
0.47,1.25,17,1.4379755629689481
0.47,1.5,17,1.4759052964122612
0.47,1.75,17,1.4806020916987026
0.47,2.0,17,1.4661886633089227
0.48,0.5,8,1.3704634339084516
0.48,0.75,8,1.3738952097679693
0.48,1.0,17,1.374810144918109
0.48,1.25,17,1.433271195130139
0.48,1.5,17,1.4655993945925023
0.48,1.75,17,1.4658414780613565
0.48,2.0,17,1.449093663777046
0.49,0.5,8,1.3666465629654383
0.49,0.75,8,1.3666612328925998
0.49,1.0,17,1.3745777554089604
0.49,1.25,17,1.428128796858959
0.49,1.5,17,1.4550038681545714
0.49,1.75,17,1.4511514217623545
0.49,2.0,17,1.432449792937527
0.5,0.5,8,1.3620160664230083
0.5,0.75,8,1.3586658836953291
0.5,1.0,17,1.3739210534550244
0.5,1.25,17,1.4224935241657104
0.5,1.5,17,1.4440915527474523
0.5,1.75,17,1.4365127329711973
0.5,2.0,17,1.4162232154479115
0.51,0.5,8,1.3565257205928716
0.51,0.75,8,1.3498883223975597
0.51,1.0,17,1.372766151309612
0.51,1.25,17,1.4163150624625742
0.51,1.5,17,1.4328406025810358
0.51,1.75,17,1.4219099624083398
0.51,2.0,17,1.4003835254616235
0.52,0.5,8,1.3501371268665834
0.52,0.75,8,1.340316120708827
0.52,1.0,17,1.3710405080398198
0.52,1.25,17,1.4095483065762147
0.52,1.5,17,1.4212345725288624
0.52,1.75,17,1.4073312127332351
0.52,2.0,17,1.384903508188066
0.53,0.5,8,1.3428207770733254
0.53,0.75,8,1.3299456813768078
0.53,1.0,17,1.3686739261147456
0.53,1.25,17,1.4021540511991122
0.53,1.5,17,1.4092624564174847
0.53,1.75,17,1.3927679355234812
0.53,2.0,17,1.3697589022257781
0.54,0.5,8,1.334557003505176
0.54,0.75,17,1.321956273426856
0.54,1.0,17,1.365599687864942
0.54,1.25,17,1.3940996643579397
0.54,1.5,17,1.396918674301321
0.54,1.75,17,1.3782147163774485
0.54,2.0,17,1.3549281669407756
0.55,0.5,8,1.3253367624585461
0.55,0.75,17,1.3223172555220022
0.55,1.0,17,1.3617558051050935
0.55,1.25,17,1.385359714490517
0.55,1.5,17,1.3842030029455104
0.55,1.75,17,1.3636690503466133
0.55,2.0,17,1.3403922576872704
0.56,0.5,8,1.3151622043946207
0.56,0.75,17,1.3219478584895232
0.56,1.0,17,1.3570863451651949
0.56,1.25,17,1.3759165210694402
0.56,1.5,17,1.3711204455509574
0.56,1.75,17,1.349131109758933
0.56,2.0,17,1.3261344106270336
0.57,0.5,8,1.304046991599823
0.57,0.75,17,1.320769466146862
0.57,1.0,17,1.3515427868500574
0.57,1.25,17,1.3657605996367623
0.57,1.5,17,1.3576810388499427
0.57,1.75,17,1.3346035064597888
0.57,2.0,17,1.3121399381761754
0.58,0.5,8,1.2920163352442156
0.58,0.75,17,1.318708038465087
0.58,1.0,17,1.3450853514045333
0.58,1.25,17,1.3548909747582782
0.58,1.5,17,1.3438995979568373
0.58,1.75,17,1.3200910505187617
0.58,2.0,17,1.298396035605369
0.59,0.5,17,1.2870825773551837
0.59,0.75,17,1.3156959959453174
0.59,1.0,17,1.337684247447382
0.59,1.25,17,1.3433153387755405
0.59,1.5,17,1.3297954016482996
0.59,1.75,17,1.3056005074907895
0.59,2.0,17,1.2848915989755334
0.6,0.5,17,1.2866912072699237
0.6,0.75,17,1.3116741775285712
0.6,1.0,17,1.3293207660604676
0.6,1.25,17,1.3310500401754954
0.6,1.5,17,1.3153918229418144
0.6,1.75,17,1.2911403563490378
0.6,2.0,17,1.27161705436153
