target,feature,corr
r2,has_sec0_m2,-0.3897391492792466
r2,count_m1,0.35266446043246913
r2,eq_m02,-0.3376288274645942
r2,m0,-0.3316339587171468
mean_abs_delta,eq_m12,0.30380410757996634
mean_abs_delta,has_all_m2,-0.29757022719899223
mean_abs_delta,is_rainbow,0.29757022719899223
mean_abs_delta,sum_m_mod3,-0.29757022719899223
max_abs_delta,eq_m12,0.25871283147294044
max_abs_delta,has_sec0_m1,0.2557173545268246
mean_abs_delta,is_monochrome,-0.25265605252599416
max_abs_delta,has_all_m2,-0.2519307964695771
max_abs_delta,sum_m_mod3,-0.2519307964695771
max_abs_delta,is_rainbow,0.2519307964695771
coef_flux_coh,eq_m13,0.24689761125081888
r2,has_sec0_m1,0.21238750103786977
coef_delta_coh,eq_m13,-0.21178505591811575
mean_abs_delta,has_sec0_m1,0.20225186376094575
max_abs_delta,is_monochrome,-0.20166931641383207
r2,eq_m13,0.19832746167268117
mean_abs_delta,count_m2,0.1927197010877487
coef_delta_coh,eq_m23,-0.18478816517314825
max_abs_delta,eq_m01,-0.17019590107356494
r2,has_all_m2,-0.16027844732705737
r2,is_rainbow,0.16027844732705737
r2,sum_m_mod3,-0.16027844732705737
coef_flux_coh,eq_m23,0.1592141903974467
coef_flux_coh,has_sec0_m1,0.15721412192152032
r2,m3,0.14682699630202067
coef_delta_coh,has_sec0_m1,-0.14356461912956633
max_abs_delta,m1,0.13826911583941603
r2,is_monochrome,-0.13719996422286382
max_abs_delta,count_m2,0.13505062766865397
coef_delta_coh,m2,-0.13151431768564845
max_abs_delta,m0,-0.13039681523246213
coef_flux_coh,m2,0.12141845136637915
mean_abs_delta,count_m0,0.11810199709769637
mean_abs_delta,m2,-0.1136669352472128
coef_flux_coh,eq_m02,-0.11207596501365513
r2,has_sec0_m0,0.1089874488261781
r2,count_m2,-0.10537329037031394
max_abs_delta,has_sec0_m2,-0.10411957431168363
mean_abs_delta,m1,0.09828514240943867
coef_flux_coh,count_m2,0.09708509096323255
coef_flux_coh,m3,0.0919195965066142
coef_delta_coh,count_m1,0.09136367443823819
coef_flux_coh,count_m0,-0.09111450583720648
max_abs_delta,count_m0,0.09064803255997324
coef_flux_coh,eq_m03,-0.09055780989821355
mean_abs_delta,m3,0.08915074755989755
r2,m2,0.08869086270903233
coef_flux_coh,count_m1,-0.0875070146348547
mean_abs_delta,eq_m01,-0.08551535392589374
coef_flux_coh,has_sec0_m0,-0.08161563955450395
coef_delta_coh,eq_m02,0.07995453790999467
max_abs_delta,has_sec0_m0,0.07336648076617722
r2,eq_m12,0.07113290130953265
coef_delta_coh,count_m2,-0.06844990711681041
r2,count_m0,-0.06778174012746847
max_abs_delta,count_m1,0.06584028240398963
coef_flux_coh,is_monochrome,0.06571965419587411
coef_delta_coh,m3,-0.06274154023822583
coef_delta_coh,is_monochrome,-0.06164182521340598
coef_flux_coh,m0,0.06078101089424825
mean_abs_delta,m0,-0.05978247807459994
max_abs_delta,eq_m13,-0.05748454633050038
mean_abs_delta,count_m1,0.05667097810030494
coef_delta_coh,count_m0,0.05572201725190535
coef_delta_coh,eq_m01,0.05525032293912912
r2,eq_m01,0.05320293322604628
mean_abs_delta,has_sec0_m0,0.05182498161243345
mean_abs_delta,eq_m03,0.05014107036691595
max_abs_delta,m2,-0.05001975838622864
coef_delta_coh,eq_m12,-0.04933698189477354
mean_abs_delta,eq_m02,-0.04707971025170688
coef_flux_coh,eq_m12,0.04671587927507477
coef_delta_coh,eq_m03,0.04634507609292942
r2,m1,0.042101316787545404
coef_flux_coh,m1,0.038917169688635796
max_abs_delta,m3,0.03565023017568257
r2,eq_m23,-0.03387238549363526
coef_delta_coh,has_sec0_m0,0.03172504362096776
coef_flux_coh,sum_m_mod3,0.031442755874999735
coef_flux_coh,has_all_m2,0.031442755874999735
coef_flux_coh,is_rainbow,-0.031442755874999735
mean_abs_delta,eq_m23,0.029843859472403696
coef_delta_coh,is_rainbow,0.027307806844413092
coef_delta_coh,sum_m_mod3,-0.027307806844413092
coef_delta_coh,has_all_m2,-0.027307806844413092
coef_flux_coh,has_sec0_m2,0.023798543127315004
coef_flux_coh,eq_m01,-0.019393136231157397
mean_abs_delta,eq_m13,0.01801418550342847
r2,eq_m03,-0.016986517924123756
coef_delta_coh,m1,-0.015386349894980306
mean_abs_delta,has_sec0_m2,-0.01521676779652579
max_abs_delta,eq_m02,0.014633738233876438
max_abs_delta,eq_m03,-0.014283127805027667
coef_delta_coh,m0,-0.008295687409894096
coef_delta_coh,has_sec0_m2,0.004529190975953555
max_abs_delta,eq_m23,0.0017095169400318311
