line_id,card_basis,mean_abs_delta,Q12,Q12r,Q1,Q2,pred_geom_score2,pred_group
8,3♡ 4♠ 8♣ 10♣,0.0289224852445542,0.1111111111113452,0.111111,0.11111111111134517,0.11111111111134517,-0.1111111111113452,low_Q12_var
19,10♠ 10♡ 10♢ 10♣,0.0235278098476281,0.11111111111129118,0.111111,0.11111111111129116,0.11111111111129116,-0.11111111111129118,low_Q12_var
39,2♠ 3♡ 6♣ 7♣,0.0194527024535412,0.11111111111134522,0.111111,0.11111111111123714,0.11111111111123714,-0.11111111111134522,low_Q12_var
35,1♣ 2♣ 5♢ 8♣,0.0154435083393667,0.3333333333333333,0.333333,0.3333333333335494,0.3333333333335494,-0.3333333333333333,mid_Q12_var
26,2♠ 2♡ 2♢ 2♣,0.0125386202470556,0.11111111111123717,0.111111,0.1111111111113452,0.11111111111123714,-0.11111111111123717,low_Q12_var
3,3♢ 4♣ 8♠ 10♡,0.0125276636771933,0.1111111111113992,0.111111,0.1111111111113992,0.11111111111118314,-0.1111111111113992,low_Q12_var
18,1♡ 2♠ 5♠ 8♠,0.0113717331330282,0.3333333333335494,0.333333,0.3333333333335494,0.3333333333333333,-0.3333333333335494,mid_Q12_var
7,6♠ 6♡ 6♢ 6♣,0.0112690323964942,0.11111111111129117,0.111111,0.1111111111113992,0.11111111111118312,-0.11111111111129117,low_Q12_var
14,2♢ 4♣ 5♣ 6♠,0.0109402488846984,0.11111111111123714,0.111111,0.11111111111145319,0.11111111111123714,-0.11111111111123714,low_Q12_var
15,8♠ 8♡ 8♢ 8♣,0.0106318701935504,0.11111111111139921,0.111111,0.11111111111139921,0.11111111111139921,-0.11111111111139921,low_Q12_var
12,6♠ 7♡ 8♣ 9♢,0.0105866612146801,0.1111111111113452,0.111111,0.11111111111134517,0.11111111111134517,-0.1111111111113452,low_Q12_var
21,1♢ 2♢ 7♢ 10♣,0.0104463954959793,0.3333333333335494,0.333333,0.3333333333333333,0.3333333333335494,-0.3333333333335494,mid_Q12_var
24,2♣ 4♢ 9♣ 10♠,0.0103195017247177,0.11111111111129118,0.111111,0.11111111111129117,0.11111111111118313,-0.11111111111129118,low_Q12_var
32,1♢ 4♢ 6♣ 8♡,0.01023791022497,0.3333333333335494,0.333333,0.3333333333333333,0.3333333333335494,-0.3333333333335494,mid_Q12_var
1,1♡ 3♠ 6♠ 10♠,0.0082553496912364,0.3333333333335494,0.333333,0.3333333333335494,0.3333333333333333,-0.3333333333335494,mid_Q12_var
33,5♢ 6♣ 9♠ 10♡,0.0069999206963728,0.11111111111129118,0.111111,0.11111111111129117,0.11111111111118312,-0.11111111111129118,low_Q12_var
9,6♡ 7♢ 8♠ 9♣,0.005801912024149,0.1111111111113992,0.111111,0.1111111111113992,0.11111111111118314,-0.1111111111113992,low_Q12_var
38,2♠ 4♡ 9♢ 10♢,0.0053258998396304,0.11111111111129117,0.111111,0.11111111111129116,0.11111111111129116,-0.11111111111129117,low_Q12_var
23,4♠ 4♡ 4♢ 4♣,0.0045513787770723,0.11111111111129117,0.111111,0.1111111111113992,0.11111111111118312,-0.11111111111129117,low_Q12_var
13,3♠ 4♡ 5♢ 7♢,0.0038460383048055,0.11111111111139921,0.111111,0.11111111111129116,0.11111111111118312,-0.11111111111139921,low_Q12_var
25,1♢ 3♢ 5♡ 9♢,0.0034588123174124,0.3333333333335494,0.333333,0.3333333333333333,0.3333333333335494,-0.3333333333335494,mid_Q12_var
30,5♠ 5♡ 5♢ 5♣,0.0034588123174124,0.11111111111123717,0.111111,0.11111111111134517,0.11111111111123714,-0.11111111111123717,low_Q12_var
11,2♡ 4♠ 5♡ 6♡,0.0034588123174124,0.11111111111123717,0.111111,0.11111111111145322,0.11111111111123714,-0.11111111111123717,low_Q12_var
5,5♡ 7♣ 8♢ 10♠,0.0034588123174124,0.1111111111112912,0.111111,0.11111111111129117,0.11111111111129116,-0.1111111111112912,low_Q12_var
29,2♢ 3♣ 8♢ 9♠,0.003347516264404,0.1111111111112912,0.111111,0.11111111111129117,0.11111111111129116,-0.1111111111112912,low_Q12_var
22,5♣ 7♠ 8♡ 10♢,0.0033015429176538,0.1111111111113452,0.111111,0.11111111111134517,0.11111111111134517,-0.1111111111113452,low_Q12_var
16,3♣ 4♢ 5♠ 7♡,0.0032006867810644,0.11111111111134522,0.111111,0.11111111111123714,0.11111111111123714,-0.11111111111134522,low_Q12_var
4,2♣ 3♢ 6♢ 7♠,0.0029765083629197,0.11111111111139921,0.111111,0.11111111111129116,0.11111111111118312,-0.11111111111139921,low_Q12_var
6,3♠ 3♡ 3♢ 3♣,0.0028638058953718,0.11111111111145322,0.111111,0.11111111111123714,0.11111111111123714,-0.11111111111145322,low_Q12_var
36,1♣ 3♣ 6♡ 10♢,0.0028638058953718,0.3333333333333333,0.333333,0.3333333333335494,0.3333333333335494,-0.3333333333333333,mid_Q12_var
27,1♡ 4♠ 7♠ 9♠,0.0023438753185715,0.3333333333335494,0.333333,0.3333333333335494,0.3333333333333333,-0.3333333333335494,mid_Q12_var
0,2♡ 3♠ 8♡ 9♡,0.0019869504069128,0.1111111111113452,0.111111,0.11111111111134517,0.11111111111134517,-0.1111111111113452,low_Q12_var
2,7♠ 7♡ 7♢ 7♣,0.0016091061982513,0.11111111111145322,0.111111,0.11111111111123714,0.11111111111123714,-0.11111111111145322,low_Q12_var
34,1♣ 4♣ 7♣ 9♡,0.0015838462187076,0.3333333333333333,0.333333,0.3333333333335494,0.3333333333335494,-0.3333333333333333,mid_Q12_var
37,5♠ 6♢ 9♡ 10♣,0.0013504470492692,0.11111111111129118,0.111111,0.11111111111129116,0.11111111111129117,-0.11111111111129118,low_Q12_var
17,1♠ 1♡ 1♢ 1♣,0.0012889051225446,1.0,1.0,1.0,1.0,-1.0,high_Q12_var
10,9♠ 9♡ 9♢ 9♣,0.0008676125495143,0.11111111111129117,0.111111,0.11111111111129116,0.11111111111129117,-0.11111111111129117,low_Q12_var
28,1♠ 2♡ 7♡ 10♡,0.0004476633038704,0.3333333333335494,0.333333,0.3333333333335494,0.3333333333333333,-0.3333333333335494,mid_Q12_var
31,1♠ 3♡ 5♣ 9♣,0.0003705151227652,0.3333333333335494,0.333333,0.3333333333335494,0.3333333333333333,-0.3333333333335494,mid_Q12_var
20,1♠ 4♡ 6♢ 8♢,0.0003427119548401,0.3333333333335494,0.333333,0.3333333333335494,0.3333333333333333,-0.3333333333335494,mid_Q12_var
