lambda,mu,winner_flux_line_id,winner_flux_cards,winner_flux_stability,winner_noflux_line_id,winner_noflux_cards,winner_noflux_stability,winner_changed
0.4,0.75,36,1♣ 3♣ 6♡ 10♢,15.055352039669886,8,3♡ 4♠ 8♣ 10♣,23.42464130932386,1
0.41,0.75,36,1♣ 3♣ 6♡ 10♢,15.149837871107819,8,3♡ 4♠ 8♣ 10♣,22.40602129353412,1
0.42,0.75,36,1♣ 3♣ 6♡ 10♢,15.235116379951675,8,3♡ 4♠ 8♣ 10♣,21.335594753740402,1
0.43,0.75,36,1♣ 3♣ 6♡ 10♢,15.309405009708316,8,3♡ 4♠ 8♣ 10♣,20.245626247941058,1
0.44,0.75,36,1♣ 3♣ 6♡ 10♢,15.37100947874435,3,3♢ 4♣ 8♠ 10♡,20.446434535984434,1
0.45,0.75,36,1♣ 3♣ 6♡ 10♢,15.418358778384112,3,3♢ 4♣ 8♠ 10♡,21.418478286876034,1
0.46,0.75,36,1♣ 3♣ 6♡ 10♢,15.450039422586293,3,3♢ 4♣ 8♠ 10♡,22.332352645490225,1
0.47,0.75,36,1♣ 3♣ 6♡ 10♢,15.46482712662108,3,3♢ 4♣ 8♠ 10♡,23.129566021116162,1
0.48,0.75,36,1♣ 3♣ 6♡ 10♢,15.461714131438548,3,3♢ 4♣ 8♠ 10♡,23.733397715288792,1
0.49,0.75,36,1♣ 3♣ 6♡ 10♢,15.439930588154702,3,3♢ 4♣ 8♠ 10♡,24.069884903827273,1
0.5,0.75,36,1♣ 3♣ 6♡ 10♢,15.398958764408201,3,3♢ 4♣ 8♠ 10♡,24.086090480665185,1
0.51,0.75,36,1♣ 3♣ 6♡ 10♢,15.338539301105818,3,3♢ 4♣ 8♠ 10♡,23.766478646699152,1
0.52,0.75,36,1♣ 3♣ 6♡ 10♢,15.25866928624886,3,3♢ 4♣ 8♠ 10♡,23.138634606119297,1
0.53,0.75,36,1♣ 3♣ 6♡ 10♢,15.159592463480333,3,3♢ 4♣ 8♠ 10♡,22.264747996470053,1
0.54,0.75,36,1♣ 3♣ 6♡ 10♢,15.041782396781327,3,3♢ 4♣ 8♠ 10♡,21.74640567413928,1
0.55,0.75,36,1♣ 3♣ 6♡ 10♢,14.905919817767389,3,3♢ 4♣ 8♠ 10♡,21.773531273446213,1
0.56,0.75,36,1♣ 3♣ 6♡ 10♢,14.752865652627358,3,3♢ 4♣ 8♠ 10♡,21.608610254470264,1
0.4,1.25,14,2♢ 4♣ 5♣ 6♠,16.197744511206334,8,3♡ 4♠ 8♣ 10♣,21.736073369653738,1
0.41,1.25,14,2♢ 4♣ 5♣ 6♠,16.340022402452334,8,3♡ 4♠ 8♣ 10♣,20.598083209224487,1
0.42,1.25,14,2♢ 4♣ 5♣ 6♠,16.464772903381967,8,3♡ 4♠ 8♣ 10♣,19.454352426857085,1
0.43,1.25,14,2♢ 4♣ 5♣ 6♠,16.561883567545685,8,3♡ 4♠ 8♣ 10♣,18.332244298094764,1
0.44,1.25,14,2♢ 4♣ 5♣ 6♠,16.62040566638143,3,3♢ 4♣ 8♠ 10♡,18.03489825218303,1
0.45,1.25,14,2♢ 4♣ 5♣ 6♠,16.62920608399577,3,3♢ 4♣ 8♠ 10♡,18.70524704786437,1
0.46,1.25,14,2♢ 4♣ 5♣ 6♠,16.5778816704348,3,3♢ 4♣ 8♠ 10♡,19.594006880127207,1
0.47,1.25,14,2♢ 4♣ 5♣ 6♠,16.457854047877824,3,3♢ 4♣ 8♠ 10♡,20.48519195741462,1
0.48,1.25,14,2♢ 4♣ 5♣ 6♠,16.263476898085123,3,3♢ 4♣ 8♠ 10♡,21.450497341631177,1
0.49,1.25,14,2♢ 4♣ 5♣ 6♠,15.992926635580554,3,3♢ 4♣ 8♠ 10♡,22.340017233797873,1
0.5,1.25,14,2♢ 4♣ 5♣ 6♠,15.648650358464758,3,3♢ 4♣ 8♠ 10♡,23.053591789734263,1
0.51,1.25,36,1♣ 3♣ 6♡ 10♢,15.696632363158916,3,3♢ 4♣ 8♠ 10♡,23.505861509725747,1
0.52,1.25,36,1♣ 3♣ 6♡ 10♢,15.842571882480724,3,3♢ 4♣ 8♠ 10♡,23.62830680825983,1
0.53,1.25,36,1♣ 3♣ 6♡ 10♢,15.9805713327653,3,3♢ 4♣ 8♠ 10♡,23.390706295216518,1
0.54,1.25,36,1♣ 3♣ 6♡ 10♢,16.10846972768273,3,3♢ 4♣ 8♠ 10♡,22.812350914346204,1
0.55,1.25,36,1♣ 3♣ 6♡ 10♢,16.22394138096522,3,3♢ 4♣ 8♠ 10♡,22.328273857618022,1
0.56,1.25,36,1♣ 3♣ 6♡ 10♢,16.324518207163482,3,3♢ 4♣ 8♠ 10♡,22.508462289320263,1
0.4,1.75,14,2♢ 4♣ 5♣ 6♠,17.542433344012498,11,2♡ 4♠ 5♡ 6♡,32.566796617839934,1
0.41,1.75,14,2♢ 4♣ 5♣ 6♠,17.50488222096738,11,2♡ 4♠ 5♡ 6♡,31.895584741612733,1
0.42,1.75,14,2♢ 4♣ 5♣ 6♠,17.426211059040455,11,2♡ 4♠ 5♡ 6♡,31.080056228748354,1
0.43,1.75,14,2♢ 4♣ 5♣ 6♠,17.300102278002143,11,2♡ 4♠ 5♡ 6♡,30.143205919605755,1
0.44,1.75,14,2♢ 4♣ 5♣ 6♠,17.12154385698751,11,2♡ 4♠ 5♡ 6♡,29.11254537136645,1
0.45,1.75,14,2♢ 4♣ 5♣ 6♠,16.88735992156551,11,2♡ 4♠ 5♡ 6♡,28.017072129805833,1
0.46,1.75,14,2♢ 4♣ 5♣ 6♠,16.596627126686776,11,2♡ 4♠ 5♡ 6♡,26.884632364825926,1
0.47,1.75,14,2♢ 4♣ 5♣ 6♠,16.25089216377484,11,2♡ 4♠ 5♡ 6♡,25.740024656840433,1
0.48,1.75,14,2♢ 4♣ 5♣ 6♠,15.854135297221772,11,2♡ 4♠ 5♡ 6♡,24.60393415082622,1
0.49,1.75,7,6♠ 6♡ 6♢ 6♣,15.464067520142677,11,2♡ 4♠ 5♡ 6♡,23.492592574432738,1
0.5,1.75,7,6♠ 6♡ 6♢ 6♣,15.441390065766186,11,2♡ 4♠ 5♡ 6♡,22.41796428980399,1
0.51,1.75,7,6♠ 6♡ 6♢ 6♣,15.376127743498495,11,2♡ 4♠ 5♡ 6♡,21.388246561602188,1
0.52,1.75,36,1♣ 3♣ 6♡ 10♢,15.345363914732173,3,3♢ 4♣ 8♠ 10♡,21.86468030370559,1
0.53,1.75,36,1♣ 3♣ 6♡ 10♢,15.566408998124155,3,3♢ 4♣ 8♠ 10♡,22.105372137074017,1
0.54,1.75,36,1♣ 3♣ 6♡ 10♢,15.793961133285384,3,3♢ 4♣ 8♠ 10♡,22.046257366265316,1
0.55,1.75,36,1♣ 3♣ 6♡ 10♢,16.02656505048501,3,3♢ 4♣ 8♠ 10♡,22.521021604359724,1
0.56,1.75,36,1♣ 3♣ 6♡ 10♢,16.262366796087164,3,3♢ 4♣ 8♠ 10♡,22.79982289993235,1
