lambda,mu,line_id,stability_flux,stability_noflux,delta,cards
0.43,0.75,0,8.199211474817961,7.611068388930522,0.588143085887439,2♡ 3♠ 8♡ 9♡
0.43,0.75,1,14.237132449084596,8.134720667801496,6.1024117812831005,1♡ 3♠ 6♠ 10♠
0.43,0.75,2,7.749120370011089,8.466483909394476,-0.7173635393833875,7♠ 7♡ 7♢ 7♣
0.43,0.75,3,12.056227588789717,19.552397084828453,-7.4961694960387355,3♢ 4♣ 8♠ 10♡
0.43,0.75,4,5.376424442726393,8.111757560718381,-2.7353331179919875,2♣ 3♢ 6♢ 7♠
0.43,0.75,5,7.749120370011089,8.466483909394476,-0.7173635393833875,5♡ 7♣ 8♢ 10♠
0.43,0.75,6,10.225223229692586,8.051503789199346,2.1737194404932403,3♠ 3♡ 3♢ 3♣
0.43,0.75,7,14.311897291099445,7.77441182182315,6.537485469276295,6♠ 6♡ 6♢ 6♣
0.43,0.75,8,5.967163954149899,20.245626247931078,-14.278462293781178,3♡ 4♠ 8♣ 10♣
0.43,0.75,9,14.01538172459232,12.5508245124568,1.4645572121355208,6♡ 7♢ 8♠ 9♣
0.43,0.75,10,9.588011615112293,6.475467827133251,3.1125437879790425,9♠ 9♡ 9♢ 9♣
0.43,0.75,11,13.501168804116634,11.386575776273643,2.114593027842991,2♡ 4♠ 5♡ 6♡
0.43,0.75,12,13.012330307627408,8.82039189238904,4.1919384152383685,6♠ 7♡ 8♣ 9♢
0.43,0.75,13,10.962666112431773,7.65646053398893,3.3062055784428432,3♠ 4♡ 5♢ 7♢
0.43,0.75,14,14.352146019477399,8.633811794194806,5.718334225282593,2♢ 4♣ 5♣ 6♠
0.43,0.75,15,8.026431645227014,7.310065549542073,0.7163660956849407,8♠ 8♡ 8♢ 8♣
0.43,0.75,16,6.554154389495061,4.760815075199119,1.7933393142959417,3♣ 4♢ 5♠ 7♡
0.43,0.75,17,4.0823406677899055,2.7655059122857044,1.316834755504201,1♠ 1♡ 1♢ 1♣
0.43,0.75,18,7.539025070045017,5.456155959990207,2.0828691100548102,1♡ 2♠ 5♠ 8♠
0.43,0.75,19,7.022602530399589,10.213613365966593,-3.1910108355670035,10♠ 10♡ 10♢ 10♣
0.43,0.75,20,4.0823406677899055,2.7655059122857044,1.316834755504201,1♠ 4♡ 6♢ 8♢
0.43,0.75,21,6.126799831298736,16.170205141651074,-10.043405310352338,1♢ 2♢ 7♢ 10♣
0.43,0.75,22,8.088636041998361,7.4163543933727585,0.6722816486256029,5♣ 7♠ 8♡ 10♢
0.43,0.75,23,11.794575916430189,10.469379002595964,1.3251969138342243,4♠ 4♡ 4♢ 4♣
0.43,0.75,24,5.376424442726393,8.111757560718381,-2.7353331179919875,2♣ 4♢ 9♣ 10♠
0.43,0.75,25,9.414667140484596,14.330660427850322,-4.915993287365726,1♢ 3♢ 5♡ 9♢
0.43,0.75,26,5.376424442726393,8.111757560718381,-2.7353331179919875,2♠ 2♡ 2♢ 2♣
0.43,0.75,27,9.588011615112293,6.475467827133251,3.1125437879790425,1♡ 4♠ 7♠ 9♠
0.43,0.75,28,4.0823406677899055,2.7655059122857044,1.316834755504201,1♠ 2♡ 7♡ 10♡
0.43,0.75,29,9.588011615112293,6.475467827133251,3.1125437879790425,2♢ 3♣ 8♢ 9♠
0.43,0.75,30,7.026335645244279,5.106395981279326,1.9199396639649526,5♠ 5♡ 5♢ 5♣
0.43,0.75,31,4.0823406677899055,2.7655059122857044,1.316834755504201,1♠ 3♡ 5♣ 9♣
0.43,0.75,32,8.026431645227014,7.310065549542073,0.7163660956849407,1♢ 4♢ 6♣ 8♡
0.43,0.75,33,9.588011615112293,6.475467827133251,3.1125437879790425,5♢ 6♣ 9♠ 10♡
0.43,0.75,34,7.749120370011089,8.466483909394476,-0.7173635393833875,1♣ 4♣ 7♣ 9♡
0.43,0.75,35,5.376424442726393,8.111757560718381,-2.7353331179919875,1♣ 2♣ 5♢ 8♣
0.43,0.75,36,15.309405009724108,6.647641513784741,8.661763495939367,1♣ 3♣ 6♡ 10♢
0.43,0.75,37,8.943219429330586,6.012658191593968,2.930561237736618,5♠ 6♢ 9♡ 10♣
0.43,0.75,38,11.174686682492933,7.654074876767401,3.5206118057255313,2♠ 4♡ 9♢ 10♢
0.43,0.75,39,7.749120370011089,8.466483909394476,-0.7173635393833875,2♠ 3♡ 6♣ 7♣
0.46,1.25,0,9.134735376103631,7.220318575130383,1.9144168009732478,2♡ 3♠ 8♡ 9♡
0.46,1.25,1,14.985075642058144,7.5274328049770975,7.457642837081046,1♡ 3♠ 6♠ 10♠
0.46,1.25,2,8.540236811865654,7.628375540036988,0.9118612718286663,7♠ 7♡ 7♢ 7♣
0.46,1.25,3,13.531426545191659,19.594006880131044,-6.062580334939385,3♢ 4♣ 8♠ 10♡
0.46,1.25,4,5.716895423340187,7.635663544091051,-1.9187681207508644,2♣ 3♢ 6♢ 7♠
0.46,1.25,5,8.540236811865654,7.628375540036988,0.9118612718286663,5♡ 7♣ 8♢ 10♠
0.46,1.25,6,9.46820780023811,9.617540133541954,-0.14933233330384432,3♠ 3♡ 3♢ 3♣
0.46,1.25,7,16.069404243131643,7.51493008036107,8.554474162770573,6♠ 6♡ 6♢ 6♣
0.46,1.25,8,7.066753232544636,15.66544608538468,-8.598692852840044,3♡ 4♠ 8♣ 10♣
0.46,1.25,9,13.348811609275085,13.598774060064308,-0.24996245078922286,6♡ 7♢ 8♠ 9♣
0.46,1.25,10,8.635512736123413,5.892694141239299,2.742818594884114,9♠ 9♡ 9♢ 9♣
0.46,1.25,11,12.682764744157057,14.007305020107525,-1.3245402759504685,2♡ 4♠ 5♡ 6♡
0.46,1.25,12,14.272227946191931,8.150001632493534,6.1222263136983965,6♠ 7♡ 8♣ 9♢
0.46,1.25,13,11.253052499190597,8.049566593577751,3.2034859056128457,3♠ 4♡ 5♢ 7♢
0.46,1.25,14,16.57788167044291,7.87165273550655,8.706228934936359,2♢ 4♣ 5♣ 6♠
0.46,1.25,15,8.998988459637674,6.959274921853589,2.0397135377840856,8♠ 8♡ 8♢ 8♣
0.46,1.25,16,5.853742513586133,4.6274526709472035,1.2262898426389297,3♣ 4♢ 5♠ 7♡
0.46,1.25,17,3.463172642241976,2.5337967225349454,0.9293759197070308,1♠ 1♡ 1♢ 1♣
0.46,1.25,18,6.416854314874463,5.327023388197358,1.089830926677105,1♡ 2♠ 5♠ 8♠
0.46,1.25,19,8.530616169159748,8.624495577423303,-0.09387940826355567,10♠ 10♡ 10♢ 10♣
0.46,1.25,20,3.463172642241976,2.5337967225349454,0.9293759197070308,1♠ 4♡ 6♢ 8♢
0.46,1.25,21,7.128944637491766,12.976491729110556,-5.84754709161879,1♢ 2♢ 7♢ 10♣
0.46,1.25,22,8.998988459637674,7.07506549479638,1.923922964841294,5♣ 7♠ 8♡ 10♢
0.46,1.25,23,12.926558503359525,12.218170595148962,0.7083879082105629,4♠ 4♡ 4♢ 4♣
0.46,1.25,24,5.716895423340187,7.635663544091051,-1.9187681207508644,2♣ 4♢ 9♣ 10♠
0.46,1.25,25,10.218423462149463,13.893761066203416,-3.6753376040539525,1♢ 3♢ 5♡ 9♢
0.46,1.25,26,5.716895423340187,7.635663544091051,-1.9187681207508644,2♠ 2♡ 2♢ 2♣
0.46,1.25,27,8.62774271491577,5.892694141239299,2.7350485736764716,1♡ 4♠ 7♠ 9♠
0.46,1.25,28,3.463172642241976,2.5337967225349454,0.9293759197070308,1♠ 2♡ 7♡ 10♡
0.46,1.25,29,8.62774271491577,5.892694141239299,2.7350485736764716,2♢ 3♣ 8♢ 9♠
0.46,1.25,30,6.040539991444786,4.9984639793551855,1.0420760120896002,5♠ 5♡ 5♢ 5♣
0.46,1.25,31,3.463172642241976,2.545875252441378,0.917297389800598,1♠ 3♡ 5♣ 9♣
0.46,1.25,32,8.998988459637674,6.959274921853589,2.0397135377840856,1♢ 4♢ 6♣ 8♡
0.46,1.25,33,8.62774271491577,5.892694141239299,2.7350485736764716,5♢ 6♣ 9♠ 10♡
0.46,1.25,34,8.540236811865654,7.628375540036988,0.9118612718286663,1♣ 4♣ 7♣ 9♡
0.46,1.25,35,5.716895423340187,7.635663544091051,-1.9187681207508644,1♣ 2♣ 5♢ 8♣
0.46,1.25,36,14.911220369786513,7.708291259425154,7.202929110361358,1♣ 3♣ 6♡ 10♢
0.46,1.25,37,8.779759322498023,5.440072284822638,3.339687037675385,5♠ 6♢ 9♡ 10♣
0.46,1.25,38,12.467225194073597,7.882078857840768,4.585146336232829,2♠ 4♡ 9♢ 10♢
0.46,1.25,39,8.540236811865654,7.628375540036988,0.9118612718286663,2♠ 3♡ 6♣ 7♣
0.5,1.25,0,8.974919241308228,6.014626956320101,2.9602922849881272,2♡ 3♠ 8♡ 9♡
0.5,1.25,1,14.249471771070661,6.473627284172004,7.775844486898658,1♡ 3♠ 6♠ 10♠
0.5,1.25,2,9.117503112126467,6.5148481038639,2.602655008262567,7♠ 7♡ 7♢ 7♣
0.5,1.25,3,14.020342647019685,23.053591789728383,-9.033249142708698,3♢ 4♣ 8♠ 10♡
0.5,1.25,4,5.921106870783876,7.344145114533535,-1.4230382437496587,2♣ 3♢ 6♢ 7♠
0.5,1.25,5,9.117503112126467,6.5148481038639,2.602655008262567,5♡ 7♣ 8♢ 10♠
0.5,1.25,6,10.25153385755927,10.902378487931113,-0.6508446303718429,3♠ 3♡ 3♢ 3♣
0.5,1.25,7,15.557482053658564,6.439701486348534,9.11778056731003,6♠ 6♡ 6♢ 6♣
0.5,1.25,8,7.219014636586923,14.289815155071778,-7.070800518484855,3♡ 4♠ 8♣ 10♣
0.5,1.25,9,13.81538507899158,13.809078052566582,0.006307026424998696,6♡ 7♢ 8♠ 9♣
0.5,1.25,10,7.666547093481205,4.98941540232987,2.6771316911513354,9♠ 9♡ 9♢ 9♣
0.5,1.25,11,13.114371290086643,12.8042309596874,0.3101403303992427,2♡ 4♠ 5♡ 6♡
0.5,1.25,12,14.208409634494826,6.809412266379107,7.398997368115719,6♠ 7♡ 8♣ 9♢
0.5,1.25,13,11.526074584781986,7.70463264313599,3.821441941645996,3♠ 4♡ 5♢ 7♢
0.5,1.25,14,15.648650358467759,6.679883257420891,8.968767101046868,2♢ 4♣ 5♣ 6♠
0.5,1.25,15,8.832616266266127,6.062107172014906,2.7705090942512216,8♠ 8♡ 8♢ 8♣
0.5,1.25,16,5.351533897919626,4.101060632182526,1.2504732657370994,3♣ 4♢ 5♠ 7♡
0.5,1.25,17,3.0481144099685564,2.274288768875781,0.7738256410927753,1♠ 1♡ 1♢ 1♣
0.5,1.25,18,6.309174307095124,5.18780203114512,1.1213722759500042,1♡ 2♠ 5♠ 8♠
0.5,1.25,19,8.87716856599938,7.404687747699151,1.4724808183002294,10♠ 10♡ 10♢ 10♣
0.5,1.25,20,3.191836822234669,2.3236392315610837,0.8681975906735855,1♠ 4♡ 6♢ 8♢
0.5,1.25,21,7.230624561249432,10.539683397494912,-3.3090588362454794,1♢ 2♢ 7♢ 10♣
0.5,1.25,22,8.872904358306664,5.8901990449424995,2.982705313364165,5♣ 7♠ 8♡ 10♢
0.5,1.25,23,12.694695786790193,12.145267469859505,0.5494283169306886,4♠ 4♡ 4♢ 4♣
0.5,1.25,24,5.921106870783876,7.344145114533535,-1.4230382437496587,2♣ 4♢ 9♣ 10♠
0.5,1.25,25,10.460583229080465,14.195301925043148,-3.734718695962684,1♢ 3♢ 5♡ 9♢
0.5,1.25,26,5.921106870783876,7.344145114533535,-1.4230382437496587,2♠ 2♡ 2♢ 2♣
0.5,1.25,27,7.482740766006388,4.98941540232987,2.493325363676518,1♡ 4♠ 7♠ 9♠
0.5,1.25,28,3.0481144099685564,2.274288768875781,0.7738256410927753,1♠ 2♡ 7♡ 10♡
0.5,1.25,29,7.482740766006388,4.98941540232987,2.493325363676518,2♢ 3♣ 8♢ 9♠
0.5,1.25,30,5.836689485928554,4.635416602374949,1.2012728835536048,5♠ 5♡ 5♢ 5♣
0.5,1.25,31,3.0481144099685564,2.3645380998871146,0.6835763100814418,1♠ 3♡ 5♣ 9♣
0.5,1.25,32,8.832616266266127,5.829098993340967,3.0035172729251602,1♢ 4♢ 6♣ 8♡
0.5,1.25,33,7.548598241776328,4.98941540232987,2.559182839446458,5♢ 6♣ 9♠ 10♡
0.5,1.25,34,9.117503112126467,6.5148481038639,2.602655008262567,1♣ 4♣ 7♣ 9♡
0.5,1.25,35,5.921106870783876,7.344145114533535,-1.4230382437496587,1♣ 2♣ 5♢ 8♣
0.5,1.25,36,15.544737992991768,6.867644393880226,8.677093599111544,1♣ 3♣ 6♡ 10♢
0.5,1.25,37,8.577603183913105,4.846651309634021,3.730951874279084,5♠ 6♢ 9♡ 10♣
0.5,1.25,38,12.404884560927618,7.512691384054187,4.892193176873431,2♠ 4♡ 9♢ 10♢
0.5,1.25,39,9.117503112126467,6.5148481038639,2.602655008262567,2♠ 3♡ 6♣ 7♣
