k,lambda,mu,winner_flux,winner_noflux,flip,max_abs_delta
0,0.43,0.75,36,8,True,14.278462293781178
0,0.46,1.25,14,3,True,8.706228934936359
1,0.43,0.75,21,21,False,1.865174681370263e-14
1,0.46,1.25,21,21,False,8.881784197001252e-15
2,0.43,0.75,3,11,True,11.97454147234783
2,0.46,1.25,11,11,False,9.413183362045336
3,0.43,0.75,9,9,False,2.3092638912203256e-14
3,0.46,1.25,19,19,False,1.3322676295501878e-14
4,0.43,0.75,3,11,True,18.124323131780272
4,0.46,1.25,25,14,True,14.056843609988814
5,0.43,0.75,9,9,False,3.730349362740526e-14
5,0.46,1.25,19,19,False,4.085620730620576e-14
