node,mu,lam,best_line,stability
0,0.5,0.4,22,2.2266586887709012
0,0.5,0.41,8,2.2294146110265647
0,0.5,0.42,8,2.2323997512144422
0,0.5,0.43,8,2.2355819823025787
0,0.5,0.44,8,2.238956807898769
0,0.5,0.45,8,2.2425178449359486
0,0.5,0.46,8,2.246256895780094
0,0.5,0.47,8,2.2501640600955137
0,0.5,0.48,17,2.255608057824044
0,0.5,0.49,17,2.2640513840429866
0,0.5,0.5,17,2.2728023829564896
0,0.5,0.51,17,2.281802777258462
0,0.5,0.52,17,2.2909895906999838
0,0.5,0.53,17,2.300296144214705
0,0.5,0.54,17,2.3096532028366563
0,0.5,0.55,17,2.3189902516001943
0,0.5,0.56,17,2.328236870402707
0,0.5,0.57,17,2.337324170042477
0,0.5,0.58,17,2.3461862449983344
0,0.5,0.59,17,2.354761593687078
0,0.5,0.6,17,2.3629944545420014
0,0.75,0.4,22,2.229864343498626
0,0.75,0.41,22,2.232150535843597
0,0.75,0.42,22,2.2345777914298277
0,0.75,0.43,8,2.237424601232964
0,0.75,0.44,8,2.240791303275051
0,0.75,0.45,8,2.244351879839548
0,0.75,0.46,8,2.2480985166150806
0,0.75,0.47,8,2.2520215976581643
0,0.75,0.48,8,2.2561098452264012
0,0.75,0.49,17,2.261986957734635
0,0.75,0.5,17,2.270796742486416
0,0.75,0.51,17,2.279876933783987
0,0.75,0.52,17,2.289163074955342
0,0.75,0.53,17,2.298586587001664
0,0.75,0.54,17,2.308075935296953
0,0.75,0.55,17,2.3175579393282764
0,0.75,0.56,17,2.3269591956586426
0,0.75,0.57,17,2.3362075757177174
0,0.75,0.58,17,2.3452337524870046
0,0.75,0.59,17,2.3539727044122554
0,0.75,0.6,17,2.3623651416574862
0,1.0,0.4,22,2.2342473995659216
0,1.0,0.41,22,2.2365654982734733
0,1.0,0.42,22,2.2390241163321387
0,1.0,0.43,22,2.2416228395320017
0,1.0,0.44,22,2.244360352173992
0,1.0,0.45,8,2.2474305545892617
0,1.0,0.46,8,2.2511954115048254
0,1.0,0.47,8,2.255144815214406
0,1.0,0.48,8,2.259267629823281
0,1.0,0.49,8,2.2635511078436226
0,1.0,0.5,17,2.269014268897538
0,1.0,0.51,17,2.278186742451484
0,1.0,0.52,17,2.2875845111371245
0,1.0,0.53,17,2.2971363548119843
0,1.0,0.54,17,2.3067676517901448
0,1.0,0.55,17,2.3164017400203103
0,1.0,0.56,17,2.325961408455125
0,1.0,0.57,17,2.335370478995657
0,1.0,0.58,17,2.344555430733763
0,1.0,0.59,17,2.3534470113792167
0,1.0,0.6,17,2.3619817765736197
0,1.25,0.4,22,2.2393823279242766
0,1.25,0.41,22,2.2417565036114877
0,1.25,0.42,22,2.2442700744997075
0,1.25,0.43,22,2.2469224188494588
0,1.25,0.44,22,2.2497120148214176
0,1.25,0.45,22,2.252636457854255
0,1.25,0.46,22,2.255692493458362
0,1.25,0.47,8,2.259229010992609
0,1.25,0.48,8,2.263403560095033
0,1.25,0.49,8,2.267746023103718
0,1.25,0.5,8,2.272241997330405
0,1.25,0.51,8,2.2768757649736386
0,1.25,0.52,17,2.286280987736186
0,1.25,0.53,17,2.29597606526897
0,1.25,0.54,17,2.3057602029260265
0,1.25,0.55,17,2.315552223941164
0,1.25,0.56,17,2.3252700970794744
0,1.25,0.57,17,2.3348326355910394
0,1.25,0.58,17,2.344161252679249
0,1.25,0.59,17,2.3531817132711432
0,1.25,0.6,17,2.3618258165702373
0,1.5,0.4,22,2.244759106557826
0,1.5,0.41,22,2.2472212354058008
0,1.5,0.42,22,2.249820878055905
0,1.5,0.43,22,2.2525571073110364
0,1.5,0.44,22,2.2554280865253813
0,1.5,0.45,22,2.2584310882525487
0,1.5,0.46,22,2.2615625287316115
0,1.5,0.47,22,2.2648180176321446
