w33_line_id,type,clock_state_count,projective_classes,clock_state_ids
0,monochrome,2,sec3_m0,18 21
1,rainbow,8,sec0_m1 sec1_m0 sec2_m0 sec3_m0,1 4 6 9 12 15 18 21
2,rainbow,8,sec0_m0 sec1_m0 sec2_m0 sec3_m1,0 3 6 9 12 15 19 22
3,rainbow,8,sec0_m0 sec1_m2 sec2_m1 sec3_m1,0 3 8 11 13 16 19 22
4,rainbow,8,sec0_m1 sec1_m0 sec2_m1 sec3_m2,1 4 6 9 13 16 20 23
5,rainbow,8,sec0_m1 sec1_m1 sec2_m1 sec3_m1,1 4 7 10 13 16 19 22
6,rainbow,8,sec0_m2 sec1_m1 sec2_m1 sec3_m0,2 5 7 10 13 16 18 21
7,rainbow,8,sec0_m0 sec1_m2 sec2_m0 sec3_m2,0 3 8 11 12 15 20 23
8,rainbow,8,sec0_m2 sec1_m0 sec2_m0 sec3_m2,2 5 6 9 12 15 20 23
9,monochrome,2,sec0_m0,0 3
10,hub_transversal,24,ALL12,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23
11,rainbow,8,sec0_m0 sec1_m0 sec2_m1 sec3_m0,0 3 6 9 13 16 18 21
12,monochrome,2,sec2_m0,12 15
13,rainbow,8,sec0_m0 sec1_m2 sec2_m2 sec3_m0,0 3 8 11 14 17 18 21
14,rainbow,8,sec0_m2 sec1_m1 sec2_m0 sec3_m1,2 5 7 10 12 15 19 22
15,rainbow,8,sec0_m0 sec1_m1 sec2_m0 sec3_m0,0 3 7 10 12 15 18 21
16,rainbow,8,sec0_m1 sec1_m1 sec2_m0 sec3_m2,1 4 7 10 12 15 20 23
17,rainbow,8,sec0_m2 sec1_m0 sec2_m1 sec3_m1,2 5 6 9 13 16 19 22
18,rainbow,8,sec0_m0 sec1_m0 sec2_m2 sec3_m2,0 3 6 9 14 17 20 23
19,rainbow,8,sec0_m1 sec1_m2 sec2_m2 sec3_m2,1 4 8 11 14 17 20 23
20,rainbow,8,sec0_m2 sec1_m1 sec2_m2 sec3_m2,2 5 7 10 14 17 20 23
21,rainbow,8,sec0_m0 sec1_m1 sec2_m1 sec3_m2,0 3 7 10 13 16 20 23
22,rainbow,8,sec0_m2 sec1_m0 sec2_m2 sec3_m0,2 5 6 9 14 17 18 21
23,rainbow,8,sec0_m1 sec1_m0 sec2_m2 sec3_m1,1 4 6 9 14 17 19 22
24,monochrome,2,sec0_m1,1 4
25,monochrome,2,sec2_m1,13 16
26,rainbow,8,sec0_m1 sec1_m1 sec2_m2 sec3_m0,1 4 7 10 14 17 18 21
27,monochrome,2,sec1_m0,6 9
28,rainbow,8,sec0_m2 sec1_m2 sec2_m0 sec3_m0,2 5 8 11 12 15 18 21
29,monochrome,2,sec1_m1,7 10
30,rainbow,8,sec0_m2 sec1_m2 sec2_m1 sec3_m2,2 5 8 11 13 16 20 23
31,monochrome,2,sec0_m2,2 5
32,rainbow,8,sec0_m1 sec1_m2 sec2_m1 sec3_m0,1 4 8 11 13 16 18 21
33,monochrome,2,sec1_m2,8 11
34,monochrome,2,sec3_m1,19 22
35,rainbow,8,sec0_m1 sec1_m2 sec2_m0 sec3_m1,1 4 8 11 12 15 19 22
36,rainbow,8,sec0_m0 sec1_m1 sec2_m2 sec3_m1,0 3 7 10 14 17 19 22
37,monochrome,2,sec3_m2,20 23
38,monochrome,2,sec2_m2,14 17
39,rainbow,8,sec0_m2 sec1_m2 sec2_m2 sec3_m1,2 5 8 11 14 17 19 22
