auto_id,order,cycles
0,1,()
1,2,(L1 L11) (L2 L8) (L6 L14)
2,3,(L0 L4 L7) (L1 L2 L14) (L3 L9 L12) (L5 L10 L13) (L6 L11 L8)
3,6,(L0 L4 L7) (L1 L8 L14 L11 L2 L6) (L3 L9 L12) (L5 L10 L13)
4,3,(L0 L7 L4) (L1 L14 L2) (L3 L12 L9) (L5 L13 L10) (L6 L8 L11)
5,6,(L0 L7 L4) (L1 L6 L2 L11 L14 L8) (L3 L12 L9) (L5 L13 L10)
6,2,(L0 L5) (L1 L11) (L2 L6) (L3 L12) (L4 L13) (L7 L10) (L8 L14)
7,2,(L0 L5) (L2 L14) (L3 L12) (L4 L13) (L6 L8) (L7 L10)
8,2,(L0 L10) (L1 L8) (L2 L11) (L4 L5) (L6 L14) (L7 L13) (L9 L12)
9,2,(L0 L10) (L1 L2) (L4 L5) (L7 L13) (L8 L11) (L9 L12)
10,2,(L0 L13) (L1 L6) (L2 L8) (L3 L9) (L4 L10) (L5 L7) (L11 L14)
11,2,(L0 L13) (L1 L14) (L3 L9) (L4 L10) (L5 L7) (L6 L11)
