mu,lambda,stab_22,stab_8,stab_17,winner
0.75,0.4,2.0594021014911994,2.0427593994278226,2.0567377380332403,22
0.75,0.41,2.055998879765508,2.0397301872301727,2.058781330890186,17
0.75,0.42,2.052389157826288,2.036702615967969,2.0611246567585475,17
0.75,0.43,2.0485769675987453,2.0336936418924343,2.063770567406619,17
0.75,0.44,2.044567532420065,2.0307197647503217,2.0667193556282752,17
0.75,0.45,2.0403672227871845,2.027796808255054,2.069968680286957,17
0.75,0.46,2.0359834975581332,2.024939719450327,2.07351352970605,17
0.75,0.47,2.0314248316718433,2.022162390462314,2.0773462255855595,17
0.75,0.48,2.0267006317021976,2.0194775053901353,2.081456469072356,17
0.75,0.49,2.0218211407767877,2.0168964143121286,2.085831429969928,17
0.75,0.5,2.0167973345636407,2.014429035613695,2.090455879338022,17
0.75,0.51,2.011640810156243,2.0120837870937933,2.095312364902076,17
0.75,0.52,2.006363669766219,2.0098675456005246,2.1003814277733923,17
0.75,0.53,2.0009784011640264,2.00778563429721,2.1056418579876195,17
0.75,0.54,1.995497756792317,2.0058418360803887,2.1110709853246523,17
0.75,0.55,1.9899346334174,2.0040384311690977,2.1166450008098585,17
0.75,0.56,1.984301954086062,2.002376256465974,2.1223393032557136,17
1.25,0.4,2.0706871938603237,2.0597882103478984,2.0786834116673627,17
1.25,0.41,2.0679651713462506,2.0575834065160756,2.0810752306625395,17
1.25,0.42,2.06509493836048,2.0554167164860435,2.083755093425362,17
1.25,0.43,2.062081692635163,2.0533041903138796,2.086725952342208,17
1.25,0.44,2.058931399542191,2.051261095747975,2.08998817650865,17
1.25,0.45,2.05565071585105,2.049301695045664,2.0935394361596757,17
1.25,0.46,2.052246904933705,2.047439046903074,2.097374624891119,17
1.25,0.47,2.04872774501124,2.0456848370154352,2.1014858231405347,17
1.25,0.48,2.0451014321313687,2.044049239887172,2.1058623059293247,17
1.25,0.49,2.0413764796179197,2.0425408135949694,2.1104905972845844,17
1.25,0.5,2.0375616157428023,2.0411664282998996,2.1153545730455434,17
1.25,0.51,2.033665681340003,2.039931228431002,2.1204356129073583,17
1.25,0.52,2.029697529012625,2.0388386276422126,2.125712801562148,17
1.25,0.53,2.0256659254821288,2.0378903348938917,2.1311631776708193,17
1.25,0.54,2.0215794584986466,2.0370864093423267,2.136762028157331,17
1.25,0.55,2.0174464495780846,2.036425341145812,2.14248322398993,17
1.25,0.56,2.0132748736612003,2.035904154821796,2.148299592244469,17
1.75,0.4,2.0734417551525612,2.069529877755798,2.0907552186264535,17
1.75,0.41,2.0712939295162918,2.068124663208088,2.0934790807158774,17
1.75,0.42,2.0690606859850877,2.0668094650025908,2.0965138810444297,17
1.75,0.43,2.0667485698332873,2.0655991954422532,2.0998630039482493,17
1.75,0.44,2.064364398561846,2.0645073944216352,2.1035266965189856,17
1.75,0.45,2.0619151592282505,2.0635460206278133,2.10750188318845,17
1.75,0.46,2.05940790521167,2.0627252800760223,2.1117820251179387,17
1.75,0.47,2.0568496542100716,2.0620534947831537,2.1163570302894303,17
1.75,0.48,2.054247289169759,2.0615370132350104,2.121213219835873,17
1.75,0.49,2.0516074637174535,2.061180163167497,2.126333355602966,17
1.75,0.5,2.0489365135063164,2.0609852460848965,2.131696733169264,17
1.75,0.51,2.046240374706292,2.060952571902949,2.137279343533117,17
1.75,0.52,2.0435245106724667,2.061080531150564,2.1430541053812386,17
1.75,0.53,2.040793847618808,2.0613657013081235,2.1489911682746294,17
1.75,0.54,2.0380527199147194,2.061802983117735,2.155058285233287,17
1.75,0.55,2.0353048254139825,2.06238576208394,2.161221251103614,17
1.75,0.56,2.0325531910244887,2.0631060899043794,2.1674444008108806,17
