point_id,card,suit,rank,kind,nonzero_coords,c0_mag,c0_phase_k,c1_mag,c1_phase_k,c2_mag,c2_phase_k,c3_mag,c3_phase_k
0,1♠,♠,"<bound method NDFrame.rank of point_id                0
rank                    1
suit                    ♠
suit_name               S
card                   1♠
coords       (0, 0, 0, 1)
Name: 0, dtype: object>",basis,0,1.0,0.0,0.0,,0.0,,0.0,
1,2♠,♠,"<bound method NDFrame.rank of point_id                1
rank                    2
suit                    ♠
suit_name               S
card                   2♠
coords       (0, 0, 1, 0)
Name: 1, dtype: object>",witting36,0;2;3,0.57735026919,0.0,0.0,,0.57735026919,2.0,0.57735026919,7.0
2,3♠,♠,"<bound method NDFrame.rank of point_id                2
rank                    3
suit                    ♠
suit_name               S
card                   3♠
coords       (0, 0, 1, 1)
Name: 2, dtype: object>",witting36,0;2;3,0.57735026919,0.0,0.0,,0.57735026919,10.0,0.57735026919,3.0
3,4♠,♠,"<bound method NDFrame.rank of point_id                3
rank                    4
suit                    ♠
suit_name               S
card                   4♠
coords       (0, 0, 1, 2)
Name: 3, dtype: object>",witting36,0;2;3,0.57735026919,0.0,0.0,,0.57735026919,6.0,0.57735026919,11.0
4,1♡,♡,"<bound method NDFrame.rank of point_id                4
rank                    1
suit                    ♡
suit_name               H
card                   1♡
coords       (0, 1, 0, 0)
Name: 4, dtype: object>",basis,1,0.0,,1.0,0.0,0.0,,0.0,
5,1♢,♢,"<bound method NDFrame.rank of point_id                5
rank                    1
suit                    ♢
suit_name               D
card                   1♢
coords       (0, 1, 0, 1)
Name: 5, dtype: object>",basis,2,0.0,,0.0,,1.0,0.0,0.0,
6,1♣,♣,"<bound method NDFrame.rank of point_id                6
rank                    1
suit                    ♣
suit_name               C
card                   1♣
coords       (0, 1, 0, 2)
Name: 6, dtype: object>",basis,3,0.0,,0.0,,0.0,,1.0,0.0
7,5♠,♠,"<bound method NDFrame.rank of point_id                7
rank                    5
suit                    ♠
suit_name               S
card                   5♠
coords       (0, 1, 1, 0)
Name: 7, dtype: object>",witting36,0;2;3,0.57735026919,0.0,0.0,,0.57735026919,10.0,0.57735026919,11.0
8,6♠,♠,"<bound method NDFrame.rank of point_id                8
rank                    6
suit                    ♠
suit_name               S
card                   6♠
coords       (0, 1, 1, 1)
Name: 8, dtype: object>",witting36,0;2;3,0.57735026919,0.0,0.0,,0.57735026919,6.0,0.57735026919,7.0
9,7♠,♠,"<bound method NDFrame.rank of point_id                9
rank                    7
suit                    ♠
suit_name               S
card                   7♠
coords       (0, 1, 1, 2)
Name: 9, dtype: object>",witting36,0;2;3,0.57735026919,0.0,0.0,,0.57735026919,2.0,0.57735026919,3.0
10,8♠,♠,"<bound method NDFrame.rank of point_id               10
rank                    8
suit                    ♠
suit_name               S
card                   8♠
coords       (0, 1, 2, 0)
Name: 10, dtype: object>",witting36,0;2;3,0.57735026919,0.0,0.0,,0.57735026919,6.0,0.57735026919,3.0
11,9♠,♠,"<bound method NDFrame.rank of point_id               11
rank                    9
suit                    ♠
suit_name               S
card                   9♠
coords       (0, 1, 2, 1)
Name: 11, dtype: object>",witting36,0;2;3,0.57735026919,0.0,0.0,,0.57735026919,10.0,0.57735026919,7.0
