tomotope_triangle,a,b,tomotope_edges,projective_triple,rainbow_lines_containing_triple,weight,is_matched,contains_key_line,num_lines
"(1,-1)",1,1,12- 13- 14-,sec0_m1 sec1_m2 sec3_m0,32,1,1,0,1
"(1,-2)",1,2,12- 13+ 14+,sec1_m2 sec2_m2 sec3_m1,39,1,1,0,1
"(1,-3)",1,3,12+ 13- 14+,sec1_m0 sec2_m2 sec3_m0,22,5,1,1,1
"(1,-4)",1,4,12+ 13+ 14-,sec0_m1 sec1_m0 sec3_m1,23,1,1,0,1
"(2,-1)",2,1,12- 23+ 24+,sec1_m2 sec2_m1 sec3_m2,30,1,1,0,1
"(2,-2)",2,2,12- 23- 24-,sec0_m2 sec1_m2 sec2_m0,28,1,1,0,1
"(2,-3)",2,3,12+ 23- 24+,sec1_m0 sec2_m0 sec3_m2,8,5,1,1,1
"(2,-4)",2,4,12+ 23+ 24-,sec0_m2 sec1_m0 sec2_m1,17,5,1,1,1
"(3,-1)",3,1,13- 23+ 34+,sec1_m1 sec2_m1 sec3_m0,6,1,1,0,1
"(3,-2)",3,2,13+ 23- 34+,sec1_m1 sec2_m0 sec3_m1,14,1,1,0,1
"(3,-3)",3,3,13- 23- 34-,sec0_m0 sec2_m0 sec3_m0,15,1,1,0,1
"(3,-4)",3,4,13+ 23+ 34-,sec0_m0 sec2_m1 sec3_m1,3,1,1,0,1
"(4,-1)",4,1,14- 24+ 34+,sec0_m1 sec1_m1 sec3_m2,16,1,1,0,1
"(4,-2)",4,2,14+ 24- 34+,sec0_m2 sec1_m1 sec2_m2,20,1,1,0,1
"(4,-3)",4,3,14+ 24+ 34-,sec0_m0 sec2_m2 sec3_m2,18,1,1,0,1
"(4,-4)",4,4,14- 24- 34-,sec0_m0 sec0_m1 sec0_m2,,0,0,0,0
