tetra_id,ranks,rays,suit_r0,ray_r0,suit_r1,ray_r1,suit_r2,ray_r2,suit_r5,ray_r5,suit_r3,ray_r3,suit_r6,ray_r6,suit_r4,ray_r4,suit_r7,ray_r7,suit_r8,ray_r8,suit_r9,ray_r9
0,0-1-2-5,0-7-23-39,0.0,0.0,3.0,7.0,3.0,23.0,3.0,39.0,,,,,,,,,,,,
1,0-1-2-5,3-4-8-12,3.0,3.0,0.0,4.0,0.0,8.0,0.0,12.0,,,,,,,,,,,,
2,0-1-3-6,0-6-22-38,0.0,0.0,2.0,6.0,,,,,2.0,22.0,2.0,38.0,,,,,,,,
3,0-1-3-6,1-7-19-31,1.0,1.0,3.0,7.0,,,,,3.0,19.0,3.0,31.0,,,,,,,,
4,0-1-3-6,2-4-16-28,2.0,2.0,0.0,4.0,,,,,0.0,28.0,0.0,16.0,,,,,,,,
5,0-1-3-6,3-5-9-13,3.0,3.0,1.0,5.0,,,,,1.0,9.0,1.0,13.0,,,,,,,,
6,0-1-4-7,0-5-21-37,0.0,0.0,1.0,5.0,,,,,,,,,1.0,21.0,1.0,37.0,,,,
7,0-1-4-7,1-4-20-36,1.0,1.0,0.0,4.0,,,,,,,,,0.0,20.0,0.0,36.0,,,,
8,0-1-4-7,2-7-11-15,2.0,2.0,3.0,7.0,,,,,,,,,3.0,11.0,3.0,15.0,,,,
9,0-1-4-7,3-6-10-14,3.0,3.0,2.0,6.0,,,,,,,,,2.0,10.0,2.0,14.0,,,,
10,0-1-8-9,1-6-18-30,1.0,1.0,2.0,6.0,,,,,,,,,,,,,2.0,30.0,2.0,18.0
11,0-1-8-9,2-5-17-29,2.0,2.0,1.0,5.0,,,,,,,,,,,,,1.0,17.0,1.0,29.0
12,0-2-3-9,0-9-25-29,0.0,0.0,,,1.0,25.0,,,1.0,9.0,,,,,,,,,1.0,29.0
13,0-2-3-9,1-8-24-28,1.0,1.0,,,0.0,8.0,,,0.0,28.0,,,,,,,,,0.0,24.0
14,0-2-3-9,2-19-23-27,2.0,2.0,,,3.0,23.0,,,3.0,19.0,,,,,,,,,3.0,27.0
15,0-2-3-9,3-18-22-26,3.0,3.0,,,2.0,26.0,,,2.0,22.0,,,,,,,,,2.0,18.0
16,0-2-4-8,0-10-26-30,0.0,0.0,,,2.0,26.0,,,,,,,2.0,10.0,,,2.0,30.0,,
17,0-2-4-8,1-11-23-35,1.0,1.0,,,3.0,23.0,,,,,,,3.0,11.0,,,3.0,35.0,,
18,0-2-4-8,2-8-20-32,2.0,2.0,,,0.0,8.0,,,,,,,0.0,20.0,,,0.0,32.0,,
19,0-2-4-8,3-17-21-25,3.0,3.0,,,1.0,25.0,,,,,,,1.0,21.0,,,1.0,17.0,,
