i,j,i_rank,i_suit,j_rank,j_suit,gain_mod3_for_i_to_j,gain_z6_rep
0,5,0,0,1,1,1,1
0,6,0,0,1,2,1,1
0,7,0,0,1,3,0,3
0,9,0,0,3,1,1,1
0,10,0,0,4,2,1,1
0,11,0,0,4,3,1,1
0,13,0,0,6,1,1,1
0,14,0,0,7,2,1,1
0,15,0,0,7,3,2,5
0,17,0,0,8,1,2,5
0,18,0,0,9,2,2,5
0,19,0,0,3,3,2,5
0,21,0,0,4,1,2,5
0,22,0,0,3,2,2,5
0,23,0,0,2,3,0,3
0,25,0,0,2,1,2,5
0,26,0,0,2,2,2,5
0,27,0,0,9,3,1,1
0,29,0,0,9,1,1,1
0,30,0,0,8,2,2,5
0,31,0,0,6,3,2,5
0,33,0,0,5,1,2,5
0,34,0,0,5,2,1,1
0,35,0,0,8,3,1,1
0,37,0,0,7,1,2,5
0,38,0,0,6,2,0,3
0,39,0,0,5,3,0,3
1,4,0,1,1,0,2,5
1,6,0,1,1,2,2,5
1,7,0,1,1,3,1,1
1,8,0,1,2,0,1,1
1,10,0,1,4,2,2,5
1,11,0,1,4,3,2,5
1,12,0,1,5,0,2,5
1,14,0,1,7,2,2,5
1,15,0,1,7,3,0,3
1,16,0,1,6,0,1,1
1,18,0,1,9,2,1,1
1,19,0,1,3,3,1,1
1,20,0,1,4,0,1,1
1,22,0,1,3,2,1,1
1,23,0,1,2,3,2,5
1,24,0,1,9,0,1,1
1,26,0,1,2,2,1,1
1,27,0,1,9,3,0,3
1,28,0,1,3,0,2,5
1,30,0,1,8,2,2,5
1,31,0,1,6,3,2,5
1,32,0,1,8,0,2,5
1,34,0,1,5,2,1,1
1,35,0,1,8,3,1,1
1,36,0,1,7,0,2,5
1,38,0,1,6,2,0,3
1,39,0,1,5,3,0,3
2,4,0,2,1,0,2,5
2,5,0,2,1,1,2,5
2,7,0,2,1,3,1,1
2,8,0,2,2,0,1,1
2,9,0,2,3,1,2,5
2,11,0,2,4,3,0,3
2,12,0,2,5,0,2,5
2,13,0,2,6,1,2,5
2,15,0,2,7,3,2,5
2,16,0,2,6,0,2,5
2,17,0,2,8,1,1,1
2,19,0,2,3,3,0,3
2,20,0,2,4,0,2,5
2,21,0,2,4,1,1,1
2,23,0,2,2,3,2,5
2,24,0,2,9,0,2,5
2,25,0,2,2,1,1,1
2,27,0,2,9,3,1,1
2,28,0,2,3,0,1,1
2,29,0,2,9,1,1,1
2,31,0,2,6,3,0,3
2,32,0,2,8,0,1,1
2,33,0,2,5,1,2,5
2,35,0,2,8,3,0,3
2,36,0,2,7,0,1,1
