nontree_edge,cycle_vertices,cycle_rank_suit,cycle_edges,holonomy_mod3,holonomy_z6_rep
5-21,"[5, 0, 21, 5]","[(1, 1), (0, 0), (4, 1), (1, 1)]",3,0,3
5-37,"[5, 0, 37, 5]","[(1, 1), (0, 0), (7, 1), (1, 1)]",3,0,3
6-22,"[6, 0, 22, 6]","[(1, 2), (0, 0), (3, 2), (1, 2)]",3,0,3
6-38,"[6, 0, 38, 6]","[(1, 2), (0, 0), (6, 2), (1, 2)]",3,0,3
7-23,"[7, 0, 23, 7]","[(1, 3), (0, 0), (2, 3), (1, 3)]",3,0,3
7-39,"[7, 0, 39, 7]","[(1, 3), (0, 0), (5, 3), (1, 3)]",3,0,3
9-25,"[9, 0, 25, 9]","[(3, 1), (0, 0), (2, 1), (3, 1)]",3,0,3
9-29,"[9, 0, 29, 9]","[(3, 1), (0, 0), (9, 1), (3, 1)]",3,0,3
10-26,"[10, 0, 26, 10]","[(4, 2), (0, 0), (2, 2), (4, 2)]",3,0,3
10-30,"[10, 0, 30, 10]","[(4, 2), (0, 0), (8, 2), (4, 2)]",3,0,3
11-27,"[11, 0, 27, 11]","[(4, 3), (0, 0), (9, 3), (4, 3)]",3,0,3
11-31,"[11, 0, 31, 11]","[(4, 3), (0, 0), (6, 3), (4, 3)]",3,0,3
13-17,"[13, 0, 17, 13]","[(6, 1), (0, 0), (8, 1), (6, 1)]",3,0,3
13-33,"[13, 0, 33, 13]","[(6, 1), (0, 0), (5, 1), (6, 1)]",3,0,3
14-18,"[14, 0, 18, 14]","[(7, 2), (0, 0), (9, 2), (7, 2)]",3,0,3
14-34,"[14, 0, 34, 14]","[(7, 2), (0, 0), (5, 2), (7, 2)]",3,0,3
15-19,"[15, 0, 19, 15]","[(7, 3), (0, 0), (3, 3), (7, 3)]",3,0,3
15-35,"[15, 0, 35, 15]","[(7, 3), (0, 0), (8, 3), (7, 3)]",3,0,3
17-33,"[17, 0, 33, 17]","[(8, 1), (0, 0), (5, 1), (8, 1)]",3,0,3
18-34,"[18, 0, 34, 18]","[(9, 2), (0, 0), (5, 2), (9, 2)]",3,0,3
19-35,"[19, 0, 35, 19]","[(3, 3), (0, 0), (8, 3), (3, 3)]",3,0,3
21-37,"[21, 0, 37, 21]","[(4, 1), (0, 0), (7, 1), (4, 1)]",3,0,3
22-38,"[22, 0, 38, 22]","[(3, 2), (0, 0), (6, 2), (3, 2)]",3,0,3
23-39,"[23, 0, 39, 23]","[(2, 3), (0, 0), (5, 3), (2, 3)]",3,0,3
25-29,"[25, 0, 29, 25]","[(2, 1), (0, 0), (9, 1), (2, 1)]",3,0,3
26-30,"[26, 0, 30, 26]","[(2, 2), (0, 0), (8, 2), (2, 2)]",3,0,3
27-31,"[27, 0, 31, 27]","[(9, 3), (0, 0), (6, 3), (9, 3)]",3,0,3
1-36,"[1, 6, 36, 1]","[(0, 1), (1, 2), (7, 0), (0, 1)]",3,1,1
2-12,"[2, 5, 12, 2]","[(0, 2), (1, 1), (5, 0), (0, 2)]",3,1,1
2-16,"[2, 5, 16, 2]","[(0, 2), (1, 1), (6, 0), (0, 2)]",3,1,1
2-32,"[2, 5, 32, 2]","[(0, 2), (1, 1), (8, 0), (0, 2)]",3,1,1
3-8,"[3, 5, 8, 3]","[(0, 3), (1, 1), (2, 0), (0, 3)]",3,1,1
3-24,"[3, 5, 24, 3]","[(0, 3), (1, 1), (9, 0), (0, 3)]",3,1,1
3-28,"[3, 5, 28, 3]","[(0, 3), (1, 1), (3, 0), (0, 3)]",3,1,1
5-10,"[5, 0, 10, 5]","[(1, 1), (0, 0), (4, 2), (1, 1)]",3,1,1
5-11,"[5, 0, 11, 5]","[(1, 1), (0, 0), (4, 3), (1, 1)]",3,1,1
5-13,"[5, 0, 13, 5]","[(1, 1), (0, 0), (6, 1), (1, 1)]",3,1,1
5-22,"[5, 0, 22, 5]","[(1, 1), (0, 0), (3, 2), (1, 1)]",3,1,1
5-23,"[5, 0, 23, 5]","[(1, 1), (0, 0), (2, 3), (1, 1)]",3,1,1
5-29,"[5, 0, 29, 5]","[(1, 1), (0, 0), (9, 1), (1, 1)]",3,1,1
5-34,"[5, 0, 34, 5]","[(1, 1), (0, 0), (5, 2), (1, 1)]",3,1,1
5-35,"[5, 0, 35, 5]","[(1, 1), (0, 0), (8, 3), (1, 1)]",3,1,1
6-9,"[6, 0, 9, 6]","[(1, 2), (0, 0), (3, 1), (1, 2)]",3,1,1
6-14,"[6, 0, 14, 6]","[(1, 2), (0, 0), (7, 2), (1, 2)]",3,1,1
6-19,"[6, 0, 19, 6]","[(1, 2), (0, 0), (3, 3), (1, 2)]",3,1,1
6-21,"[6, 0, 21, 6]","[(1, 2), (0, 0), (4, 1), (1, 2)]",3,1,1
6-23,"[6, 0, 23, 6]","[(1, 2), (0, 0), (2, 3), (1, 2)]",3,1,1
6-27,"[6, 0, 27, 6]","[(1, 2), (0, 0), (9, 3), (1, 2)]",3,1,1
6-30,"[6, 0, 30, 6]","[(1, 2), (0, 0), (8, 2), (1, 2)]",3,1,1
6-33,"[6, 0, 33, 6]","[(1, 2), (0, 0), (5, 1), (1, 2)]",3,1,1
7-15,"[7, 0, 15, 7]","[(1, 3), (0, 0), (7, 3), (1, 3)]",3,1,1
7-17,"[7, 0, 17, 7]","[(1, 3), (0, 0), (8, 1), (1, 3)]",3,1,1
7-18,"[7, 0, 18, 7]","[(1, 3), (0, 0), (9, 2), (1, 3)]",3,1,1
7-21,"[7, 0, 21, 7]","[(1, 3), (0, 0), (4, 1), (1, 3)]",3,1,1
7-22,"[7, 0, 22, 7]","[(1, 3), (0, 0), (3, 2), (1, 3)]",3,1,1
7-25,"[7, 0, 25, 7]","[(1, 3), (0, 0), (2, 1), (1, 3)]",3,1,1
7-26,"[7, 0, 26, 7]","[(1, 3), (0, 0), (2, 2), (1, 3)]",3,1,1
7-31,"[7, 0, 31, 7]","[(1, 3), (0, 0), (6, 3), (1, 3)]",3,1,1
8-12,"[8, 5, 12, 8]","[(2, 0), (1, 1), (5, 0), (2, 0)]",3,1,1
8-24,"[8, 5, 24, 8]","[(2, 0), (1, 1), (9, 0), (2, 0)]",3,1,1
9-11,"[9, 0, 11, 9]","[(3, 1), (0, 0), (4, 3), (3, 1)]",3,1,1
9-14,"[9, 0, 14, 9]","[(3, 1), (0, 0), (7, 2), (3, 1)]",3,1,1
9-23,"[9, 0, 23, 9]","[(3, 1), (0, 0), (2, 3), (3, 1)]",3,1,1
9-26,"[9, 0, 26, 9]","[(3, 1), (0, 0), (2, 2), (3, 1)]",3,1,1
9-33,"[9, 0, 33, 9]","[(3, 1), (0, 0), (5, 1), (3, 1)]",3,1,1
9-35,"[9, 0, 35, 9]","[(3, 1), (0, 0), (8, 3), (3, 1)]",3,1,1
9-38,"[9, 0, 38, 9]","[(3, 1), (0, 0), (6, 2), (3, 1)]",3,1,1
10-13,"[10, 0, 13, 10]","[(4, 2), (0, 0), (6, 1), (4, 2)]",3,1,1
10-19,"[10, 0, 19, 10]","[(4, 2), (0, 0), (3, 3), (4, 2)]",3,1,1
10-23,"[10, 0, 23, 10]","[(4, 2), (0, 0), (2, 3), (4, 2)]",3,1,1
10-25,"[10, 0, 25, 10]","[(4, 2), (0, 0), (2, 1), (4, 2)]",3,1,1
