p,q,edge,tetra_id
0,7,0-7,0
0,23,0-23,0
0,39,0-39,0
7,23,7-23,0
7,39,7-39,0
23,39,23-39,0
3,4,3-4,1
3,8,3-8,1
3,12,3-12,1
4,8,4-8,1
4,12,4-12,1
8,12,8-12,1
0,6,0-6,2
0,22,0-22,2
0,38,0-38,2
6,22,6-22,2
6,38,6-38,2
22,38,22-38,2
1,7,1-7,3
1,19,1-19,3
1,31,1-31,3
7,19,7-19,3
7,31,7-31,3
19,31,19-31,3
2,4,2-4,4
2,16,2-16,4
2,28,2-28,4
4,16,4-16,4
4,28,4-28,4
16,28,16-28,4
3,5,3-5,5
3,9,3-9,5
3,13,3-13,5
5,9,5-9,5
5,13,5-13,5
9,13,9-13,5
0,5,0-5,6
0,21,0-21,6
0,37,0-37,6
5,21,5-21,6
5,37,5-37,6
21,37,21-37,6
1,4,1-4,7
1,20,1-20,7
1,36,1-36,7
4,20,4-20,7
4,36,4-36,7
20,36,20-36,7
2,7,2-7,8
2,11,2-11,8
2,15,2-15,8
7,11,7-11,8
7,15,7-15,8
11,15,11-15,8
3,6,3-6,9
3,10,3-10,9
3,14,3-14,9
6,10,6-10,9
6,14,6-14,9
10,14,10-14,9
1,6,1-6,10
1,18,1-18,10
1,30,1-30,10
6,18,6-18,10
6,30,6-30,10
18,30,18-30,10
2,5,2-5,11
2,17,2-17,11
2,29,2-29,11
5,17,5-17,11
5,29,5-29,11
17,29,17-29,11
0,9,0-9,12
0,25,0-25,12
0,29,0-29,12
9,25,9-25,12
9,29,9-29,12
25,29,25-29,12
1,8,1-8,13
1,24,1-24,13
1,28,1-28,13
8,24,8-24,13
8,28,8-28,13
24,28,24-28,13
2,19,2-19,14
2,23,2-23,14
2,27,2-27,14
19,23,19-23,14
19,27,19-27,14
23,27,23-27,14
3,18,3-18,15
3,22,3-22,15
3,26,3-26,15
18,22,18-22,15
18,26,18-26,15
22,26,22-26,15
0,10,0-10,16
0,26,0-26,16
0,30,0-30,16
10,26,10-26,16
10,30,10-30,16
26,30,26-30,16
1,11,1-11,17
1,23,1-23,17
1,35,1-35,17
11,23,11-23,17
11,35,11-35,17
23,35,23-35,17
2,8,2-8,18
2,20,2-20,18
2,32,2-32,18
8,20,8-20,18
8,32,8-32,18
20,32,20-32,18
3,17,3-17,19
3,21,3-21,19
3,25,3-25,19
17,21,17-21,19
17,25,17-25,19
21,25,21-25,19
1,14,1-14,20
1,26,1-26,20
1,38,1-38,20
14,26,14-26,20
14,38,14-38,20
26,38,26-38,20
2,13,2-13,21
2,25,2-25,21
2,37,2-37,21
13,25,13-25,21
13,37,13-37,21
25,37,25-37,21
1,10,1-10,22
1,22,1-22,22
1,34,1-34,22
10,22,10-22,22
10,34,10-34,22
22,34,22-34,22
2,9,2-9,23
2,21,2-21,23
2,33,2-33,23
9,21,9-21,23
9,33,9-33,23
21,33,21-33,23
0,15,0-15,24
0,19,0-19,24
0,35,0-35,24
15,19,15-19,24
15,35,15-35,24
19,35,19-35,24
3,28,3-28,25
3,32,3-32,25
3,36,3-36,25
28,32,28-32,25
28,36,28-36,25
32,36,32-36,25
0,11,0-11,26
0,27,0-27,26
0,31,0-31,26
11,27,11-27,26
11,31,11-31,26
27,31,27-31,26
3,16,3-16,27
3,20,3-20,27
3,24,3-24,27
16,20,16-20,27
16,24,16-24,27
20,24,20-24,27
0,13,0-13,28
0,17,0-17,28
0,33,0-33,28
13,17,13-17,28
13,33,13-33,28
17,33,17-33,28
1,12,1-12,29
1,16,1-16,29
1,32,1-32,29
12,16,12-16,29
12,32,12-32,29
16,32,16-32,29
2,31,2-31,30
2,35,2-35,30
2,39,2-39,30
31,35,31-35,30
31,39,31-39,30
35,39,35-39,30
3,30,3-30,31
3,34,3-34,31
3,38,3-38,31
30,34,30-34,31
30,38,30-38,31
34,38,34-38,31
0,14,0-14,32
0,18,0-18,32
0,34,0-34,32
14,18,14-18,32
14,34,14-34,32
18,34,18-34,32
1,15,1-15,33
1,27,1-27,33
1,39,1-39,33
15,27,15-27,33
15,39,15-39,33
27,39,27-39,33
2,12,2-12,34
2,24,2-24,34
2,36,2-36,34
12,24,12-24,34
12,36,12-36,34
24,36,24-36,34
3,29,3-29,35
3,33,3-33,35
3,37,3-37,35
29,33,29-33,35
29,37,29-37,35
33,37,33-37,35
5,11,5-11,36
5,26,5-26,36
5,28,5-28,36
11,26,11-26,36
11,28,11-28,36
26,28,26-28,36
6,19,6-19,37
6,20,6-20,37
6,25,6-25,37
19,20,19-20,37
19,25,19-25,37
20,25,20-25,37
4,18,4-18,38
4,25,4-25,38
4,31,4-31,38
18,25,18-25,38
18,31,18-31,38
25,31,25-31,38
5,23,5-23,39
5,24,5-24,39
5,38,5-38,39
23,24,23-24,39
23,38,23-38,39
24,38,24-38,39
6,8,6-8,40
6,13,6-13,40
6,27,6-27,40
8,13,8-13,40
8,27,8-27,40
13,27,13-27,40
7,16,7-16,41
7,26,7-26,41
7,29,7-29,41
16,26,16-26,41
16,29,16-29,41
26,29,26-29,41
4,15,4-15,42
4,17,4-17,42
4,26,4-26,42
15,17,15-17,42
15,26,15-26,42
17,26,17-26,42
5,8,5-8,43
5,14,5-14,43
5,35,5-35,43
8,14,8-14,43
8,35,8-35,43
14,35,14-35,43
6,23,6-23,44
6,32,6-32,44
6,37,6-37,44
23,32,23-32,44
23,37,23-37,44
32,37,32-37,44
7,25,7-25,45
7,30,7-30,45
7,36,7-36,45
25,30,25-30,45
25,36,25-36,45
30,36,30-36,45
4,19,4-19,46
4,30,4-30,46
4,33,4-33,46
19,30,19-30,46
19,33,19-33,46
30,33,30-33,46
5,22,5-22,47
5,32,5-32,47
5,39,5-39,47
22,32,22-32,47
22,39,22-39,47
32,39,32-39,47
6,9,6-9,48
6,12,6-12,48
6,35,6-35,48
9,12,9-12,48
9,35,9-35,48
12,35,12-35,48
7,17,7-17,49
7,28,7-28,49
7,34,7-34,49
17,28,17-28,49
17,34,17-34,49
28,34,28-34,49
4,9,4-9,50
4,14,4-14,50
4,27,4-27,50
9,14,9-14,50
