rank,suit,ray_index,PG33_coord,x0,x1,x2,x3,canon_point_index
0,0,0,0001,0,0,0,1,0
0,1,1,1001,1,0,0,1,14
0,2,2,1000,1,0,0,0,13
0,3,3,1002,1,0,0,2,15
1,0,4,0101,0,1,0,1,5
1,1,5,1221,1,2,2,1,38
1,2,6,1022,1,0,2,2,21
1,3,7,1120,1,1,2,0,28
2,0,8,1100,1,1,0,0,22
2,1,25,1111,1,1,1,1,26
2,2,26,0011,0,0,1,1,2
2,3,23,1122,1,1,2,2,30
3,0,28,1202,1,2,0,2,33
3,1,9,1110,1,1,1,0,25
3,2,22,1021,1,0,2,1,20
3,3,19,0122,0,1,2,2,12
4,0,20,1200,1,2,0,0,31
4,1,21,1220,1,2,2,0,37
4,2,10,0010,0,0,1,0,1
4,3,11,1210,1,2,1,0,34
5,0,12,1201,1,2,0,1,32
5,1,33,0110,0,1,1,0,7
5,2,34,1011,1,0,1,1,17
5,3,39,1121,1,1,2,1,29
6,0,16,1101,1,1,0,1,23
6,1,13,0111,0,1,1,1,8
6,2,38,1020,1,0,2,0,19
6,3,31,1212,1,2,1,2,36
7,0,36,1102,1,1,0,2,24
7,1,37,1222,1,2,2,2,39
7,2,14,1012,1,0,1,2,18
7,3,15,0120,0,1,2,0,10
8,0,32,0100,0,1,0,0,4
8,1,17,0112,0,1,1,2,9
8,2,30,0012,0,0,1,2,3
8,3,35,0121,0,1,2,1,11
9,0,24,0102,0,1,0,2,6
9,1,29,1112,1,1,1,2,27
9,2,18,1010,1,0,1,0,16
9,3,27,1211,1,2,1,1,35
