a,b,c,Pi,moved,defects,valid_triangles,Omega1,Omega3,Omega5
0,1,4,(0 1)(2 3),4,011;100;233;322,28,12,4,12
0,1,7,(0 1)(2 3),4,011;100;233;322,28,12,4,12
0,2,3,(0 1)(2 3),4,011;100;233;322,28,12,4,12
0,2,9,(0 1)(2 3),4,011;100;233;322,28,12,4,12
0,3,9,(0 1)(2 3),4,011;100;233;322,28,12,4,12
0,4,7,(0 1)(2 3),4,011;100;233;322,28,12,4,12
0,5,6,(0 1)(2 3),4,011;100;233;322,28,12,4,12
0,5,8,(0 1)(2 3),4,011;100;233;322,28,12,4,12
0,6,8,(0 1)(2 3),4,011;100;233;322,28,12,4,12
1,2,6,(0 1)(2 3),4,013;132;201;320,28,12,4,12
1,2,9,(0 1)(2 3),4,012;130;203;321,28,12,4,12
1,3,5,(0 1)(2 3),4,031;123;210;302,28,12,4,12
1,3,8,(0 1)(2 3),4,032;120;213;301,28,12,4,12
1,4,7,(0 1)(2 3),4,000;111;222;333,28,12,4,12
1,5,8,(0 1)(2 3),4,012;130;203;321,28,12,4,12
1,6,9,(0 1)(2 3),4,032;120;213;301,28,12,4,12
2,3,9,(0 1)(2 3),4,000;111;222;333,28,12,4,12
2,4,5,(0 1)(2 3),4,031;123;210;302,28,12,4,12
2,4,6,(0 1)(2 3),4,032;120;213;301,28,12,4,12
2,5,6,(0 1)(2 3),4,012;130;203;321,28,12,4,12
2,7,8,(0 1)(2 3),4,023;102;231;310,28,12,4,12
3,4,6,(0 1)(2 3),4,023;102;231;310,28,12,4,12
3,4,7,(0 1)(2 3),4,021;103;230;312,28,12,4,12
3,5,8,(0 1)(2 3),4,021;103;230;312,28,12,4,12
3,6,7,(0 1)(2 3),4,031;123;210;302,28,12,4,12
4,5,6,(0 1)(2 3),4,021;103;230;312,28,12,4,12
4,8,9,(0 1)(2 3),4,031;123;210;302,28,12,4,12
5,6,8,(0 1)(2 3),4,000;111;222;333,28,12,4,12
7,8,9,(0 1)(2 3),4,013;132;201;320,28,12,4,12
0,1,3,(0 2)(1 3),4,022;133;200;311,28,12,4,12
0,1,6,(0 2)(1 3),4,022;133;200;311,28,12,4,12
0,2,4,(0 2)(1 3),4,022;133;200;311,28,12,4,12
0,2,8,(0 2)(1 3),4,022;133;200;311,28,12,4,12
0,3,6,(0 2)(1 3),4,022;133;200;311,28,12,4,12
0,4,8,(0 2)(1 3),4,022;133;200;311,28,12,4,12
0,5,7,(0 2)(1 3),4,022;133;200;311,28,12,4,12
0,5,9,(0 2)(1 3),4,022;133;200;311,28,12,4,12
0,7,9,(0 2)(1 3),4,022;133;200;311,28,12,4,12
1,2,7,(0 2)(1 3),4,023;102;231;310,28,12,4,12
1,2,8,(0 2)(1 3),4,021;103;230;312,28,12,4,12
1,3,6,(0 2)(1 3),4,000;111;222;333,28,12,4,12
1,4,5,(0 2)(1 3),4,032;120;213;301,28,12,4,12
1,4,9,(0 2)(1 3),4,031;123;210;302,28,12,4,12
1,5,9,(0 2)(1 3),4,021;103;230;312,28,12,4,12
1,7,8,(0 2)(1 3),4,031;123;210;302,28,12,4,12
2,3,5,(0 2)(1 3),4,032;120;213;301,28,12,4,12
2,3,7,(0 2)(1 3),4,031;123;210;302,28,12,4,12
2,4,8,(0 2)(1 3),4,000;111;222;333,28,12,4,12
2,5,7,(0 2)(1 3),4,021;103;230;312,28,12,4,12
2,6,9,(0 2)(1 3),4,013;132;201;320,28,12,4,12
3,4,8,(0 2)(1 3),4,012;130;203;321,28,12,4,12
3,4,9,(0 2)(1 3),4,013;132;201;320,28,12,4,12
3,5,7,(0 2)(1 3),4,012;130;203;321,28,12,4,12
3,8,9,(0 2)(1 3),4,023;102;231;310,28,12,4,12
4,5,9,(0 2)(1 3),4,012;130;203;321,28,12,4,12
4,6,7,(0 2)(1 3),4,023;102;231;310,28,12,4,12
5,7,9,(0 2)(1 3),4,000;111;222;333,28,12,4,12
6,7,8,(0 2)(1 3),4,013;132;201;320,28,12,4,12
6,7,9,(0 2)(1 3),4,012;130;203;321,28,12,4,12
6,8,9,(0 2)(1 3),4,032;120;213;301,28,12,4,12
0,1,2,(0 3),2,033;300,26,12,2,12
0,1,5,(0 3),2,033;300,26,12,2,12
0,2,5,(0 3),2,033;300,26,12,2,12
0,3,7,(0 3),2,033;300,26,12,2,12
0,3,8,(0 3),2,033;300,26,12,2,12
0,4,6,(0 3),2,033;300,26,12,2,12
0,4,9,(0 3),2,033;300,26,12,2,12
0,6,9,(0 3),2,033;300,26,12,2,12
0,7,8,(0 3),2,033;300,26,12,2,12
1,2,5,(0 3),2,000;333,26,12,2,12
1,3,7,(0 3),2,012;321,26,12,2,12
1,3,9,(0 3),2,013;320,26,12,2,12
1,4,6,(0 3),2,021;312,26,12,2,12
1,4,8,(0 3),2,023;310,26,12,2,12
1,6,8,(0 3),2,013;320,26,12,2,12
1,7,9,(0 3),2,023;310,26,12,2,12
2,3,6,(0 3),2,023;310,26,12,2,12
2,3,8,(0 3),2,021;312,26,12,2,12
2,4,7,(0 3),2,013;320,26,12,2,12
2,4,9,(0 3),2,012;321,26,12,2,12
2,6,8,(0 3),2,031;302,26,12,2,12
2,7,9,(0 3),2,032;301,26,12,2,12
3,5,6,(0 3),2,031;302,26,12,2,12
3,5,9,(0 3),2,032;301,26,12,2,12
3,6,9,(0 3),2,012;321,26,12,2,12
3,7,8,(0 3),2,000;333,26,12,2,12
4,5,7,(0 3),2,032;301,26,12,2,12
4,5,8,(0 3),2,031;302,26,12,2,12
4,6,9,(0 3),2,000;333,26,12,2,12
4,7,8,(0 3),2,021;312,26,12,2,12
5,6,9,(0 3),2,021;312,26,12,2,12
5,7,8,(0 3),2,012;321,26,12,2,12
0,1,8,(1 2),2,122;211,26,12,2,12
0,1,9,(1 2),2,122;211,26,12,2,12
0,2,6,(1 2),2,122;211,26,12,2,12
0,2,7,(1 2),2,122;211,26,12,2,12
0,3,4,(1 2),2,122;211,26,12,2,12
0,3,5,(1 2),2,122;211,26,12,2,12
0,4,5,(1 2),2,122;211,26,12,2,12
0,6,7,(1 2),2,122;211,26,12,2,12
0,8,9,(1 2),2,122;211,26,12,2,12
1,2,3,(1 2),2,120;213,26,12,2,12
1,2,4,(1 2),2,123;210,26,12,2,12
1,3,4,(1 2),2,103;230,26,12,2,12
1,5,6,(1 2),2,120;213,26,12,2,12
1,5,7,(1 2),2,123;210,26,12,2,12
1,6,7,(1 2),2,103;230,26,12,2,12
1,8,9,(1 2),2,111;222,26,12,2,12
2,3,4,(1 2),2,130;203,26,12,2,12
2,5,8,(1 2),2,120;213,26,12,2,12
2,5,9,(1 2),2,123;210,26,12,2,12
2,6,7,(1 2),2,111;222,26,12,2,12
2,8,9,(1 2),2,103;230,26,12,2,12
3,4,5,(1 2),2,111;222,26,12,2,12
3,6,8,(1 2),2,102;231,26,12,2,12
3,7,9,(1 2),2,123;210,26,12,2,12
4,6,8,(1 2),2,120;213,26,12,2,12
4,7,9,(1 2),2,132;201,26,12,2,12
5,6,7,(1 2),2,130;203,26,12,2,12
5,8,9,(1 2),2,130;203,26,12,2,12
