ranks,ranks_str,type,lift_count,P1F9_points,det_square
"[0, 1, 3, 6]",0-1-3-6,double,4,"{0,1+2a,2+1a,∞}",False
"[0, 1, 4, 7]",0-1-4-7,double,4,"{0,1+1a,2+2a,∞}",False
"[0, 2, 3, 9]",0-2-3-9,double,4,"{1,2+1a,2a,∞}",False
"[0, 2, 4, 8]",0-2-4-8,double,4,"{1,1a,2+2a,∞}",False
"[0, 5, 6, 8]",0-5-6-8,double,4,"{1+2a,1a,2,∞}",False
"[0, 5, 7, 9]",0-5-7-9,double,4,"{1+1a,2,2a,∞}",False
"[1, 2, 6, 9]",1-2-6-9,double,4,"{0,1,1+2a,2a}",False
"[1, 2, 7, 8]",1-2-7-8,double,4,"{0,1,1+1a,1a}",False
"[1, 3, 5, 8]",1-3-5-8,double,4,"{0,1a,2,2+1a}",False
"[1, 4, 5, 9]",1-4-5-9,double,4,"{0,2,2+2a,2a}",False
"[2, 3, 5, 7]",2-3-5-7,double,4,"{1,1+1a,2,2+1a}",False
"[2, 4, 5, 6]",2-4-5-6,double,4,"{1,1+2a,2,2+2a}",False
"[3, 4, 6, 7]",3-4-6-7,double,4,"{1+1a,1+2a,2+1a,2+2a}",False
"[3, 4, 8, 9]",3-4-8-9,double,4,"{1a,2+1a,2+2a,2a}",False
"[6, 7, 8, 9]",6-7-8-9,double,4,"{1+1a,1+2a,1a,2a}",False
"[0, 1, 2, 5]",0-1-2-5,single,2,"{0,1,2,∞}",True
"[0, 1, 8, 9]",0-1-8-9,single,2,"{0,1a,2a,∞}",True
"[0, 2, 6, 7]",0-2-6-7,single,2,"{1,1+1a,1+2a,∞}",True
"[0, 3, 4, 5]",0-3-4-5,single,2,"{2,2+1a,2+2a,∞}",True
"[0, 3, 7, 8]",0-3-7-8,single,2,"{1+1a,1a,2+1a,∞}",True
"[0, 4, 6, 9]",0-4-6-9,single,2,"{1+2a,2+2a,2a,∞}",True
"[1, 2, 3, 4]",1-2-3-4,single,2,"{0,1,2+1a,2+2a}",True
"[1, 3, 7, 9]",1-3-7-9,single,2,"{0,1+1a,2+1a,2a}",True
"[1, 4, 6, 8]",1-4-6-8,single,2,"{0,1+2a,1a,2+2a}",True
"[1, 5, 6, 7]",1-5-6-7,single,2,"{0,1+1a,1+2a,2}",True
"[2, 3, 6, 8]",2-3-6-8,single,2,"{1,1+2a,1a,2+1a}",True
"[2, 4, 7, 9]",2-4-7-9,single,2,"{1,1+1a,2+2a,2a}",True
"[2, 5, 8, 9]",2-5-8-9,single,2,"{1,1a,2,2a}",True
"[3, 5, 6, 9]",3-5-6-9,single,2,"{1+2a,2,2+1a,2a}",True
"[4, 5, 7, 8]",4-5-7-8,single,2,"{1+1a,1a,2,2+2a}",True
