"line_id","point_ids","total_entries","unique_k_mod6","unique_k_mod3","coord0_unique_k_mod6","coord1_unique_k_mod6","coord2_unique_k_mod6","coord3_unique_k_mod6","k_mod6_counts","k_mod3_counts"
"0","2 13 17 21","12","4","2","1","2","2","2","{""0"":5,""1"":1,""3"":4,""4"":2}","{""0"":9,""1"":3}"
"1","2 4 8 12","10","6","3","1","1","3","3","{""0"":5,""1"":1,""2"":1,""3"":1,""4"":1,""5"":1}","{""0"":6,""1"":2,""2"":2}"
"2","9 15 26 37","12","5","3","1","2","2","2","{""0"":4,""2"":2,""3"":3,""4"":1,""5"":2}","{""0"":7,""1"":1,""2"":4}"
"3","10 14 29 35","12","5","3","1","2","2","2","{""0"":6,""1"":2,""2"":1,""3"":2,""5"":1}","{""0"":8,""1"":2,""2"":2}"
"4","9 19 24 35","12","4","3","1","2","2","2","{""0"":4,""1"":3,""2"":3,""3"":2}","{""0"":6,""1"":3,""2"":3}"
"5","12 18 23 37","12","4","2","1","2","2","2","{""0"":5,""2"":2,""3"":1,""5"":4}","{""0"":6,""2"":6}"
"6","2 31 35 39","12","5","3","1","2","2","2","{""0"":4,""1"":2,""2"":1,""3"":3,""4"":2}","{""0"":7,""1"":4,""2"":1}"
"7","8 20 24 34","12","4","3","1","2","2","2","{""0"":6,""1"":3,""2"":1,""5"":2}","{""0"":6,""1"":3,""2"":3}"
"8","3 31 36 38","12","4","2","1","2","2","2","{""0"":6,""2"":1,""3"":3,""5"":2}","{""0"":9,""2"":3}"
"9","10 20 26 32","12","5","3","1","2","2","2","{""0"":6,""1"":1,""3"":2,""4"":1,""5"":2}","{""0"":8,""1"":2,""2"":2}"
"10","11 21 25 32","12","4","2","1","2","2","2","{""0"":4,""1"":3,""3"":2,""4"":3}","{""0"":6,""1"":6}"
"11","3 13 18 20","12","3","3","1","2","2","2","{""0"":7,""1"":1,""5"":4}","{""0"":7,""1"":1,""2"":4}"
"12","8 15 25 38","12","4","2","1","2","2","2","{""0"":6,""1"":2,""3"":3,""4"":1}","{""0"":9,""1"":3}"
"13","2 22 26 30","12","4","3","1","2","2","2","{""0"":4,""3"":2,""4"":3,""5"":3}","{""0"":6,""1"":3,""2"":3}"
"14","8 16 29 33","12","3","3","1","2","2","2","{""0"":7,""1"":4,""5"":1}","{""0"":7,""1"":4,""2"":1}"
