"line_id","card_basis","line_type","type","proj_quartet_str","rainbow_m_tuple_SHDC","var_q_class","var_q_r","canon_mean_abs_delta","canon_mean_delta","native_mean_abs_delta","native_mean_delta","canon_rank","native_rank","rank_delta","flux_winner_count","noflux_winner_count","unique_k_mod6","unique_k_mod3","coord0_unique_k_mod6","coord1_unique_k_mod6","coord2_unique_k_mod6","coord3_unique_k_mod6","k_mod6_counts","k_mod3_counts"
"0","2♡ 3♠ 8♡ 9♡","monochrome12","monochrome","sec3_m0 sec3_m1 sec3_m2","","low(1/9)","0.111111","0.0019869504069128","0.0017218626309966","2.05432739528306","1.86975478095121","32","23","-9","0","0","4","2","1","2","2","2","{""0"":5,""1"":1,""3"":4,""4"":2}","{""0"":9,""1"":3}"
"1","1♡ 3♠ 6♠ 10♠","other","rainbow","sec0_m1 sec1_m0 sec2_m0 sec3_m0","1,0,0,0","mid(1/3)","0.333333","0.0082553496912364","0.0082553496912364","6.42374277101512","6.42374277101512","15","6","-9","0","0","6","3","1","1","3","3","{""0"":5,""1"":1,""2"":1,""3"":1,""4"":1,""5"":1}","{""0"":6,""1"":2,""2"":2}"
"2","7♠ 7♡ 7♢ 7♣","rank_spread","rainbow","sec0_m0 sec1_m0 sec2_m0 sec3_m1","0,0,0,1","low(1/9)","0.111111","0.0016091061982513","-0.0007053049323084","2.05378337379744","1.49383536073407","33","24","-9","0","0","5","3","1","2","2","2","{""0"":4,""2"":2,""3"":3,""4"":1,""5"":2}","{""0"":7,""1"":1,""2"":4}"
"3","3♢ 4♣ 8♠ 10♡","other","rainbow","sec0_m0 sec1_m2 sec2_m1 sec3_m1","0,2,1,1","low(1/9)","0.111111","0.0125276636771933","-0.0125276636771933","7.51718648772467","-7.51718648772467","6","2","-4","0","31","5","3","1","2","2","2","{""0"":6,""1"":2,""2"":1,""3"":2,""5"":1}","{""0"":8,""1"":2,""2"":2}"
"4","2♣ 3♢ 6♢ 7♠","other","rainbow","sec0_m1 sec1_m0 sec2_m1 sec3_m2","1,0,1,2","low(1/9)","0.111111","0.0029765083629197","-0.0029765083629197","1.46572821925664","-1.46572821925664","28","30","2","0","0","4","3","1","2","2","2","{""0"":4,""1"":3,""2"":3,""3"":2}","{""0"":6,""1"":3,""2"":3}"
"5","5♡ 7♣ 8♢ 10♠","other","rainbow","sec0_m1 sec1_m1 sec2_m1 sec3_m1","1,1,1,1","low(1/9)","0.111111","0.0034588123174124","0.0034588123174124","2.03658341353729","1.47663540047392","22","26","4","0","0","4","2","1","2","2","2","{""0"":5,""2"":2,""3"":1,""5"":4}","{""0"":6,""2"":6}"
"6","3♠ 3♡ 3♢ 3♣","rank_spread","rainbow","sec0_m2 sec1_m1 sec2_m1 sec3_m0","2,1,1,0","low(1/9)","0.111111","0.0028638058953718","0.0013566683086913","2.37877467207672","-0.372348924463068","30","19","-11","0","0","5","3","1","2","2","2","{""0"":4,""1"":2,""2"":1,""3"":3,""4"":2}","{""0"":7,""1"":4,""2"":1}"
"7","6♠ 6♡ 6♢ 6♣","rank_spread","rainbow","sec0_m0 sec1_m2 sec2_m0 sec3_m2","0,2,0,2","low(1/9)","0.111111","0.0112690323964942","0.0112690323964942","6.82391524261373","6.82156463688375","8","5","-3","3","0","4","3","1","2","2","2","{""0"":6,""1"":3,""2"":1,""5"":2}","{""0"":6,""1"":3,""2"":3}"
"8","3♡ 4♠ 8♣ 10♣","other","rainbow","sec0_m2 sec1_m0 sec2_m0 sec3_m2","2,0,0,2","low(1/9)","0.111111","0.0289224852445542","-0.0289224852445542","8.49327497788095","-8.49327497788095","1","1","0","0","8","4","2","1","2","2","2","{""0"":6,""2"":1,""3"":3,""5"":2}","{""0"":9,""2"":3}"
"9","6♡ 7♢ 8♠ 9♣","monochrome12","monochrome","sec0_m0 sec0_m1 sec0_m2","","low(1/9)","0.111111","0.005801912024149","-0.0031460122376293","2.20011628197","-1.52061872730744","17","20","3","0","0","5","3","1","2","2","2","{""0"":6,""1"":1,""3"":2,""4"":1,""5"":2}","{""0"":8,""1"":2,""2"":2}"
"10","9♠ 9♡ 9♢ 9♣","rank_spread","hub_transversal","sec0_m0 sec0_m1 sec0_m2 sec1_m0 sec1_m1 sec1_m2 sec2_m0 sec2_m1 sec2_m2 sec3_m0 sec3_m1 sec3_m2","","low(1/9)","0.111111","0.0008676125495143","-0.0001938621121947","2.56335998412914","2.56335998412914","37","14","-23","0","0","4","2","1","2","2","2","{""0"":4,""1"":3,""3"":2,""4"":3}","{""0"":6,""1"":6}"
"11","2♡ 4♠ 5♡ 6♡","other","rainbow","sec0_m0 sec1_m0 sec2_m1 sec3_m0","0,0,1,0","low(1/9)","0.111111","0.0034588123174124","0.0034588123174124","5.68006457380964","-3.57111462831692","21","7","-14","0","12","3","3","1","2","2","2","{""0"":7,""1"":1,""5"":4}","{""0"":7,""1"":1,""2"":4}"
"12","6♠ 7♡ 8♣ 9♢","monochrome12","monochrome","sec2_m0 sec2_m1 sec2_m2","","low(1/9)","0.111111","0.0105866612146801","0.0105866612146801","5.6741830431834","5.6741830431834","11","8","-3","0","0","4","2","1","2","2","2","{""0"":6,""1"":2,""3"":3,""4"":1}","{""0"":9,""1"":3}"
"13","3♠ 4♡ 5♢ 7♢","other","rainbow","sec0_m0 sec1_m2 sec2_m2 sec3_m0","0,2,2,0","low(1/9)","0.111111","0.0038460383048055","0.0038460383048055","2.7848646882616","2.7848646882616","20","13","-7","0","0","4","3","1","2","2","2","{""0"":4,""3"":2,""4"":3,""5"":3}","{""0"":6,""1"":3,""2"":3}"
"14","2♢ 4♣ 5♣ 6♠","other","rainbow","sec0_m2 sec1_m1 sec2_m0 sec3_m1","2,1,0,1","low(1/9)","0.111111","0.0109402488846984","0.0109402488846984","7.48677624862613","7.48677624862613","9","3","-6","20","0","3","3","1","2","2","2","{""0"":7,""1"":4,""5"":1}","{""0"":7,""1"":4,""2"":1}"
"15","8♠ 8♡ 8♢ 8♣","rank_spread","rainbow","sec0_m0 sec1_m1 sec2_m0 sec3_m0","0,1,0,0","low(1/9)","0.111111","0.0106318701935504","-0.0040432973400089","1.95585971635075","1.85165047743554","10","27","17","0","0","2","1","1","2","2","2","{""0"":7,""3"":5}","{""0"":12}"
"16","3♣ 4♢ 5♠ 7♡","other","rainbow","sec0_m1 sec1_m1 sec2_m0 sec3_m2","1,1,0,2","low(1/9)","0.111111","0.0032006867810644","0.0012078857539475","1.33306049256639","1.33306049256639","27","34","7","0","0","5","3","1","2","2","2","{""0"":4,""1"":2,""3"":1,""4"":3,""5"":2}","{""0"":5,""1"":5,""2"":2}"
