component_type,component_id,size,nodes
no_defect,0,59,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58
defect_only,0,3,26 27 45
defect_only,1,2,0 20
defect_only,2,2,10 12
defect_only,3,1,1
defect_only,4,1,2
defect_only,5,1,3
defect_only,6,1,4
defect_only,7,1,5
defect_only,8,1,6
defect_only,9,1,7
defect_only,10,1,8
defect_only,11,1,9
defect_only,12,1,11
defect_only,13,1,13
defect_only,14,1,14
defect_only,15,1,15
defect_only,16,1,16
defect_only,17,1,17
defect_only,18,1,18
defect_only,19,1,19
defect_only,20,1,21
defect_only,21,1,22
defect_only,22,1,23
defect_only,23,1,24
defect_only,24,1,25
defect_only,25,1,28
defect_only,26,1,29
defect_only,27,1,30
defect_only,28,1,31
defect_only,29,1,32
defect_only,30,1,33
defect_only,31,1,34
defect_only,32,1,35
defect_only,33,1,36
defect_only,34,1,37
defect_only,35,1,38
defect_only,36,1,39
defect_only,37,1,40
defect_only,38,1,41
defect_only,39,1,42
defect_only,40,1,43
defect_only,41,1,44
defect_only,42,1,46
defect_only,43,1,47
defect_only,44,1,48
defect_only,45,1,49
defect_only,46,1,50
defect_only,47,1,51
defect_only,48,1,52
defect_only,49,1,53
defect_only,50,1,54
defect_only,51,1,55
defect_only,52,1,56
defect_only,53,1,57
defect_only,54,1,58
