proj_class,lines_count,k6_total,k6_dom_k,k6_dom_frac,k6_entropy,k6_kl_global,k3_dom_k,k3_dom_frac,k3_entropy,k3_kl_global,k6_counts_json,k3_counts_json
sec0_m0,13,148,0,0.4527,2.2263,0.005641,0,0.5946,1.3794,0.001589,"{""0"": 67, ""1"": 18, ""2"": 9, ""3"": 21, ""4"": 12, ""5"": 21}","{""0"": 88, ""1"": 30, ""2"": 30}"
sec0_m1,13,148,0,0.4122,2.3157,0.015336,0,0.5135,1.486,0.009792,"{""0"": 61, ""1"": 24, ""2"": 15, ""3"": 15, ""4"": 12, ""5"": 21}","{""0"": 76, ""1"": 36, ""2"": 36}"
sec0_m2,13,142,0,0.4507,2.2539,0.001434,0,0.5775,1.4052,0.000107,"{""0"": 64, ""1"": 18, ""2"": 12, ""3"": 18, ""4"": 12, ""5"": 18}","{""0"": 82, ""1"": 30, ""2"": 30}"
sec1_m0,13,142,0,0.4507,2.2539,0.001434,0,0.5775,1.4052,0.000107,"{""0"": 64, ""1"": 18, ""2"": 12, ""3"": 18, ""4"": 12, ""5"": 18}","{""0"": 82, ""1"": 30, ""2"": 30}"
sec1_m1,13,148,0,0.4324,2.2556,0.025899,0,0.5541,1.4133,0.025119,"{""0"": 64, ""1"": 27, ""2"": 9, ""3"": 18, ""4"": 15, ""5"": 15}","{""0"": 82, ""1"": 42, ""2"": 24}"
sec1_m2,13,148,0,0.4122,2.3157,0.015336,0,0.5135,1.486,0.009792,"{""0"": 61, ""1"": 21, ""2"": 12, ""3"": 15, ""4"": 15, ""5"": 24}","{""0"": 76, ""1"": 36, ""2"": 36}"
sec2_m0,13,148,0,0.4527,2.2172,0.01473,0,0.6149,1.3398,0.012567,"{""0"": 67, ""1"": 21, ""2"": 9, ""3"": 24, ""4"": 12, ""5"": 15}","{""0"": 91, ""1"": 33, ""2"": 24}"
sec2_m1,13,142,0,0.4296,2.2515,0.008732,0,0.5775,1.4052,0.000107,"{""0"": 61, ""1"": 21, ""2"": 9, ""3"": 21, ""4"": 9, ""5"": 21}","{""0"": 82, ""1"": 30, ""2"": 30}"
sec2_m2,13,148,0,0.4122,2.3248,0.006247,0,0.5541,1.4375,0.000886,"{""0"": 61, ""1"": 21, ""2"": 15, ""3"": 21, ""4"": 12, ""5"": 18}","{""0"": 82, ""1"": 33, ""2"": 33}"
sec3_m0,13,148,0,0.4324,2.2556,0.025899,0,0.6149,1.3398,0.012567,"{""0"": 64, ""1"": 18, ""2"": 9, ""3"": 27, ""4"": 15, ""5"": 15}","{""0"": 91, ""1"": 33, ""2"": 24}"
sec3_m1,13,142,0,0.4507,2.2539,0.001434,0,0.5775,1.4052,0.000107,"{""0"": 64, ""1"": 18, ""2"": 12, ""3"": 18, ""4"": 12, ""5"": 18}","{""0"": 82, ""1"": 30, ""2"": 30}"
sec3_m2,13,148,0,0.4122,2.3248,0.006247,0,0.5541,1.4375,0.000886,"{""0"": 61, ""1"": 18, ""2"": 12, ""3"": 21, ""4"": 15, ""5"": 21}","{""0"": 82, ""1"": 33, ""2"": 33}"
