mu,mode,fit_type,coef0,coef1,coef2,r2
0.75,c1,linear,17.857609321401366,15.700137298522323,0.0,0.25812270944804916
0.75,c1,quadratic,-118.96181335003696,591.7819169677352,-600.0851871554299,0.9745938940886252
0.75,c2,linear,-24.55194071588956,63.56007967273568,0.0,0.8336383518489531
0.75,c2,quadratic,-171.06412372039821,680.4534817969815,-642.5972938794224,0.9955358755320487
0.75,c3,linear,66.80668037515626,-128.1988996996666,0.0,0.9739727782032938
0.75,c3,quadratic,174.25407114290212,-580.6089660901744,471.2604858234454,0.9989793338823701
1.25,c1,linear,16.283868897480506,14.940069187984124,0.0,0.3496129377209619
1.25,c1,quadratic,-79.87522480464965,419.8204637232683,-421.7504109742541,0.8789678019185321
1.25,c2,linear,-47.86805461651981,102.85861623494561,0.0,0.9130020823921782
1.25,c2,quadratic,-213.57342739694332,800.5654489946221,-726.7779507913295,0.9996079866075022
1.25,c3,linear,58.74735179886217,-121.70778067033132,0.0,0.9659903082275434
1.25,c3,quadratic,176.68295954157688,-618.2787606396554,517.2614374680456,0.9991423200438623
1.75,c1,linear,17.26587259390847,3.452522822467205,0.0,0.025358401636753403
1.75,c1,quadratic,-94.42773607493477,473.7414014281221,-489.88424854755704,0.9953976626268971
1.75,c2,linear,-91.45114807835131,168.71589608871545,0.0,0.9886428400171605
1.75,c2,quadratic,-178.68289754102972,536.0074727736762,-382.59539238016725,0.9983024700154001
1.75,c3,linear,51.485907397509735,-121.3515578894052,0.0,0.9676196620092433
1.75,c3,quadratic,165.7200032481897,-602.3372246291092,501.0267361871913,0.9989589681380602
