lambda,mu,c1,c2,c3
0.4,0.75,22.28238593072519,-1.3974443690414733,17.04367295877
0.4,1.25,21.15276826010191,-9.666956852904999,12.130766421903425
0.4,1.75,16.690488279885532,-24.97259157761686,5.199327792352549
0.41,0.75,22.856816180642376,0.15650154156300936,15.345492434730348
0.41,1.25,21.68282855671429,-7.490539079932554,10.339776353109604
0.41,1.75,17.525906863230414,-23.04752009933004,3.1950785001812467
0.42,0.75,23.42577754490869,1.2647366695269588,13.621240694283816
0.42,1.25,22.076309804217345,-5.467675691414101,8.437271762298092
0.42,1.75,18.145856104485603,-21.09149435820567,1.0720988477668338
0.43,0.75,24.074419900758418,2.333122967369843,11.935811775507048
0.43,1.25,22.369624762170286,-3.7443472531557247,6.49027641809509
0.43,1.75,18.522827890792414,-19.12929645590161,-1.0789367190352386
0.44,0.75,24.917878434025546,3.4861645238321715,10.223150912645794
0.44,1.25,22.4924829246998,-2.1907633511700944,4.536592819848406
0.44,1.75,19.105577016498323,-17.373198762256266,-2.5324979879165954
0.45,0.75,25.721144079075444,4.716916019348321,8.598221205316946
0.45,1.25,22.850566684346646,-0.4738142335872725,2.7961655482899923
0.45,1.75,19.580488163423894,-15.482557158746648,-3.88308997086458
0.46,0.75,26.32904360940636,5.9063028279552405,7.0821046883571865
0.46,1.25,23.503635814740015,1.0684261531404131,1.4581670456795361
0.46,1.75,19.956707287110707,-13.470801228288545,-5.399179063189651
0.47,0.75,26.742192286116452,7.043565877127445,5.662408088697577
0.47,1.25,24.199996858000183,2.24866819358256,0.34752576060935725
0.47,1.75,20.039398121304178,-11.458756161913326,-6.873333252701018
0.48,0.75,26.99121698343396,7.771547215866361,4.200930405848207
0.48,1.25,24.70684253708207,3.274782065471362,-0.7955951364032121
0.48,1.75,20.16943801048843,-9.537385177892128,-7.9809393871883305
0.49,0.75,27.124637965543698,8.33255478112766,2.7376979432320563
0.49,1.25,24.987700225262053,4.065270324351028,-1.9499782997410096
0.49,1.75,20.153666589287518,-7.676502851563019,-8.990378803577824
0.5,0.75,27.11734435122039,8.70528973801208,1.4495239124367456
0.5,1.25,25.144441587908076,4.86982338051428,-3.001136396759449
0.5,1.75,19.895659051209833,-5.876618223040576,-9.927395748733739
0.51,0.75,26.93220814416321,8.91831213352537,0.3746011461149516
0.51,1.25,25.12163472344412,5.640855024418665,-3.8892173411063644
0.51,1.75,19.69938905119215,-4.29438587523001,-10.863222249944672
0.52,0.75,26.612822218874268,8.985167857427703,-0.43519671269907395
0.52,1.25,24.746715896595646,6.345097385434458,-4.775135714003625
0.52,1.75,19.43735825392307,-3.002775422725419,-11.876412313228752
0.53,0.75,26.008601274289838,8.948066538548728,-1.1394064746587833
0.53,1.25,24.278051693757675,6.685822936951476,-5.64930124506173
0.53,1.75,19.060200077845415,-1.8909730402579659,-12.740401013522282
0.54,0.75,25.354171037133916,8.893318236474125,-1.823701433824161
0.54,1.25,23.649486995270482,6.731812187385096,-6.4720747885349414
0.54,1.75,18.46830372107893,-0.8918066620010451,-13.577375189045936
0.55,0.75,24.914472466032915,8.717373961130274,-2.384240065456041
0.55,1.25,23.112408512406542,6.744250131352721,-7.006865261410347
0.55,1.75,17.935245614806313,0.14994951457202207,-14.232554894946258
0.56,0.75,24.287346413414635,8.485761439606799,-2.8817666509257682
0.56,1.25,22.661239994401914,6.928668675882236,-7.427747636059589
0.56,1.75,17.305910231213616,1.0989082923429916,-14.47907516628682
