class_a,class_b,weight
sec0_m0,sec0_m1,-0.021748134529389437
sec0_m0,sec0_m2,-0.021748134529389417
sec0_m0,sec1_m0,-0.014645478556612357
sec0_m0,sec1_m1,-0.008179198809535042
sec0_m0,sec1_m2,0.019023607882006924
sec0_m0,sec2_m0,0.0742277251164859
sec0_m0,sec2_m1,-0.17110056965104703
sec0_m0,sec2_m2,0.0930717750504211
sec0_m0,sec3_m0,-0.032658983828755886
sec0_m0,sec3_m1,-0.01783743952015153
sec0_m0,sec3_m2,0.04669535386476709
sec0_m1,sec0_m2,-0.021748134529389403
sec0_m1,sec1_m0,0.045009109230058325
sec0_m1,sec1_m1,-0.017933582467682507
sec0_m1,sec1_m2,-0.024951639982754813
sec0_m1,sec2_m0,0.05324311597309456
sec0_m1,sec2_m1,0.03500166584985627
sec0_m1,sec2_m2,-0.08612089504332981
sec0_m1,sec3_m0,0.06142183819940623
sec0_m1,sec3_m1,-0.0484866074874515
sec0_m1,sec3_m2,-0.01081134393233385
sec0_m2,sec1_m0,-0.06897097508901895
sec0_m2,sec1_m1,0.05879727939283795
sec0_m2,sec1_m2,0.005360764727497344
sec0_m2,sec2_m0,-0.08212154972390603
sec0_m2,sec2_m1,0.046043129563339114
sec0_m2,sec2_m2,0.031265489191883274
sec0_m2,sec3_m0,-0.006461183493783426
sec0_m2,sec3_m1,0.08310750029500674
sec0_m2,sec3_m2,-0.08145924776990697
sec1_m0,sec1_m1,0.024025717770378065
sec1_m0,sec1_m2,0.024025717770378083
sec1_m0,sec2_m0,-0.036069505622435466
sec1_m0,sec2_m1,-0.014293430499268005
sec1_m0,sec2_m2,0.011755591706130594
sec1_m0,sec3_m0,0.0859868168868074
sec1_m0,sec3_m1,-0.0008153496451560964
sec1_m0,sec3_m2,-0.12377881165722412
sec1_m1,sec1_m2,0.024025717770378072
sec1_m1,sec2_m0,0.053860383155556704
sec1_m1,sec2_m1,-0.047566442655151614
sec1_m1,sec2_m2,0.026390557615215346
sec1_m1,sec3_m0,-0.08132320508867144
sec1_m1,sec3_m1,0.1520926437548642
sec1_m1,sec3_m2,-0.0380849405505724
sec1_m2,sec2_m0,0.027558413832553197
sec1_m2,sec2_m1,-0.02819590108343213
sec1_m2,sec2_m2,7.021987762847147e-05
sec1_m2,sec3_m0,0.01763805907873113
sec1_m2,sec3_m1,-0.1344938408223043
sec1_m2,sec3_m2,0.11628851437032273
sec2_m0,sec2_m1,0.01656822646675767
sec2_m0,sec2_m2,0.01656822646675767
sec2_m0,sec3_m0,0.03844902994138487
sec2_m0,sec3_m1,0.023807197156062068
sec2_m0,sec3_m2,-0.01690693573177244
sec2_m1,sec2_m2,0.01656822646675767
sec2_m1,sec3_m0,-0.010389284518779116
sec2_m1,sec3_m1,-0.045215939397183366
sec2_m1,sec3_m2,-0.03445055032188929
sec2_m2,sec3_m0,-0.00575807454573863
sec2_m2,sec3_m1,0.03819219552852504
sec2_m2,sec3_m2,0.005782248216187991
sec3_m0,sec3_m1,0.01941740176420529
sec3_m0,sec3_m2,0.01941740176420529
sec3_m1,sec3_m2,0.01941740176420529
