line_id,canonical_mean_abs_delta,native_mean_abs_delta,canonical_rank,native_rank,rank_diff
0,0.0019869504069128206,2.054327395283058,32,23,9
1,0.00825534969123644,6.423742771015123,15,6,9
2,0.0016091061982513451,2.0537833737974394,33,24,9
3,0.012527663677193357,7.517186487724674,6,2,4
4,0.002976508362919793,1.4657282192566357,28,29,1
5,0.003458812317412455,2.0365834135372944,21,26,5
6,0.0028638058953718904,2.3787746720767156,29,19,10
7,0.01126903239649422,6.823915242613725,8,5,3
8,0.02892248524455424,8.49327497788095,1,1,0
9,0.00580191202414908,2.200116281970003,17,20,3
10,0.0008676125495143917,2.563359984129138,37,14,23
11,0.003458812317412455,5.680064573809641,22,7,15
12,0.01058666121468017,5.674183043183397,11,8,3
13,0.0038460383048055614,2.7848646882615986,20,13,7
14,0.010940248884698443,7.486776248626127,9,3,6
15,0.010631870193550426,1.9558597163507505,10,27,17
16,0.0032006867810644326,1.3330604925663916,27,34,7
17,0.0012889051225446393,0.8477939069489654,36,39,3
18,0.011371733133028266,1.2219684031417337,7,36,29
19,0.023527809847628173,2.520753547194836,2,16,14
20,0.00034271195484016217,0.9117976247813288,40,37,3
21,0.010446395495979312,5.066053204772975,12,9,3
22,0.0033015429176538303,2.077017085231858,26,22,4
23,0.004551378777072315,1.3994247654332626,19,33,14
24,0.010319501724717722,1.4657282192566357,13,30,17
25,0.003458812317412455,4.12338081202633,23,11,12
26,0.012538620247055654,1.4657282192566357,5,31,26
27,0.0023438753185715654,2.4057363364621795,31,18,13
28,0.00044766330387043,0.8616403920921244,38,38,0
29,0.0033475162644040655,2.4221333020587292,25,17,8
30,0.003458812317412455,1.3286738206009348,24,35,11
31,0.000370515122765257,0.7943677678045048,39,40,1
32,0.010237910224970097,2.085963866491658,14,21,7
33,0.006999920696372897,2.5586625739028515,16,15,1
34,0.0015838462187076803,2.0537833737974394,34,25,9
35,0.015443508339366788,1.4657282192566357,4,32,28
36,0.0028638058953718904,7.097558018762999,30,4,26
37,0.0013504470492692953,3.0620085618114348,35,12,23
38,0.005325899839630405,4.268223125365549,18,10,8
39,0.01945270245354121,1.918476227290736,3,28,25
