lambda,mu,c1,c1_hat,c2,c2_hat,c3,c3_hat,c4,c4_hat,c5,c5_hat
0.4,0.75,22.28238593072521,21.97900473517412,-1.3974443690414695,-1.1097531189756822,17.043672958770003,17.431386757949184,5.080102318350894,5.225943853350223,-2.7198109066545477,-2.7375925949084827
0.4,1.25,21.15276826010193,20.53033619723707,-9.666956852904992,-9.768802126384404,12.130766421903425,12.213901643325766,2.066412645042086,2.336384862622886,-1.7211856004710353,-1.0270640875244332
0.4,1.75,16.69048827988554,16.488222217259075,-24.97259157761686,-25.946633915045616,5.1993277923525545,4.849550504407626,-3.4358634980189104,-3.234186389070686,-3.3106707954859647,-2.0997680625419157
0.41,0.75,22.85681618064238,22.9097451619229,0.15650154156300936,0.35756842412449785,15.345492434730348,15.414848258293867,4.290354358526082,4.232155992397843,-1.4713583986243048,-1.8860538207439186
0.41,1.25,21.6828285567143,21.399838551605576,-7.490539079932551,-7.775701501204328,10.339776353109608,10.231599852721756,1.7465297351217899,1.9616721160890407,-0.358347403220746,-0.192631751002045
0.41,1.75,17.525906863230418,17.296486499247305,-23.04752009933004,-23.42775420778565,3.1950785001812485,2.90148542285492,-3.510760902017831,-2.989824021186024,-1.9767817956402107,-1.2824421636617025
0.42,0.75,23.425777544908705,23.739704265559876,1.2647366695269597,1.7080919247546298,13.621240694283813,13.497613002603847,3.403842813791082,3.2800169474746,-0.4454016416430525,-1.1536863992306898
0.42,1.25,22.076309804217352,22.168559582862272,-5.467675691414101,-5.899398918494288,8.437271762298092,8.348601306083042,1.698347588013176,1.6286081855843335,0.9173408703015636,0.5226292328690079
0.42,1.75,18.145856104485606,18.003969458123727,-21.091494358205672,-21.025672542995714,1.072098847766835,1.052723585267513,-3.206210075863158,-2.7038128372721957,-1.0261768653723198,-0.5842876174328246
0.43,0.75,24.074419900758407,24.46888204608505,2.333122967369843,2.941817382914696,11.935811775507052,11.679680990879037,2.533523373454092,2.3695267185805733,0.17357671147613063,-0.5404903303687396
0.43,1.25,22.36962476217028,22.836499291007172,-3.744347253155726,-4.139894378254326,6.490276418095089,6.564906003409536,1.6419002339067226,1.3371930711088353,1.897624585413574,1.1187188640887804
0.43,1.75,18.522827890792417,18.61067109388835,-19.129296455901613,-18.740388920675855,-1.0789367190352384,-0.696735008354687,-2.5961688465612602,-2.3761528373291583,-0.5137917824516379,-0.00530442385522889
0.44,0.75,24.917878434025546,25.097278503498373,3.486164523832171,4.0587447986047,10.223150912645792,9.961052223119435,1.5961944164317894,1.5006853057157272,0.214717258937802,-0.04646561415818162
