line_id,weight,cards,proj_quartet_str,orbit_id
8,-0.3715737285275517,"['3♡', '4♠', '8♣', '10♣']",sec0_m2 sec1_m0 sec2_m0 sec3_m2,3
3,-0.340086785525399,"['3♢', '4♣', '8♠', '10♡']",sec0_m0 sec1_m2 sec2_m1 sec3_m1,2
14,0.32727675109713417,"['2♢', '4♣', '5♣', '6♠']",sec0_m2 sec1_m1 sec2_m0 sec3_m1,7
36,0.3214638306860518,"['1♣', '3♣', '6♡', '10♢']",sec0_m0 sec1_m1 sec2_m2 sec3_m1,1
7,0.3046199764010761,"['6♠', '6♡', '6♢', '6♣']",sec0_m0 sec1_m2 sec2_m0 sec3_m2,1
1,0.28577370167502836,"['1♡', '3♠', '6♠', '10♠']",sec0_m1 sec1_m0 sec2_m0 sec3_m0,1
12,0.2525891883636186,"['6♠', '7♡', '8♣', '9♢']",sec2_m0 sec2_m1 sec2_m2,6
21,-0.21495305105671597,"['1♢', '2♢', '7♢', '10♣']",sec0_m0 sec1_m1 sec2_m1 sec3_m2,1
38,0.19023377478641815,"['2♠', '4♡', '9♢', '10♢']",sec2_m0 sec2_m1 sec2_m2,6
25,-0.18050903374907995,"['1♢', '3♢', '5♡', '9♢']",sec2_m0 sec2_m1 sec2_m2,6
37,0.13764465489483152,"['5♠', '6♢', '9♡', '10♣']",sec3_m0 sec3_m1 sec3_m2,0
13,0.12911990058100586,"['3♠', '4♡', '5♢', '7♢']",sec0_m0 sec1_m2 sec2_m2 sec3_m0,1
11,-0.11936763310094245,"['2♡', '4♠', '5♡', '6♡']",sec0_m0 sec1_m0 sec2_m1 sec3_m0,1
33,0.11368612245561217,"['5♢', '6♣', '9♠', '10♡']",sec1_m0 sec1_m1 sec1_m2,6
10,0.11358224944334937,"['9♠', '9♡', '9♢', '9♣']",sec0_m0 sec0_m1 sec0_m2 sec1_m0 sec1_m1 sec1_m2 sec2_m0 sec2_m1 sec2_m2 sec3_m0 sec3_m1 sec3_m2,5
29,0.1083941233701566,"['2♢', '3♣', '8♢', '9♠']",sec1_m0 sec1_m1 sec1_m2,6
27,0.1073511053077716,"['1♡', '4♠', '7♠', '9♠']",sec1_m0 sec1_m1 sec1_m2,6
32,0.08825803460974042,"['1♢', '4♢', '6♣', '8♡']",sec0_m1 sec1_m2 sec2_m1 sec3_m0,2
22,0.08555096172299302,"['5♣', '7♠', '8♡', '10♢']",sec0_m2 sec1_m0 sec2_m2 sec3_m0,7
0,0.08391140618824904,"['2♡', '3♠', '8♡', '9♡']",sec3_m0 sec3_m1 sec3_m2,0
