lambda,mu,c1,c2,c3
0.4,0.75,22.282385930725173,-1.3974443690414646,-17.043672958770003
0.41,0.75,22.856816180642365,0.15650154156301654,-15.345492434730305
0.42,0.75,23.425777544908694,1.2647366695269588,-13.621240694283795
0.43,0.75,24.0744199007584,2.333122967369849,-11.935811775507014
0.44,0.75,24.91787843402554,3.486164523832173,-10.22315091264577
0.45,0.75,25.72114407907543,4.716916019348322,-8.598221205316927
0.46,0.75,26.32904360940635,5.906302827955242,-7.082104688357166
0.47,0.75,26.74219228611644,7.043565877127449,-5.662408088697565
0.48,0.75,26.991216983433944,7.771547215866359,-4.200930405848191
0.49,0.75,27.12463796554369,8.332554781127657,-2.737697943232043
0.5,0.75,27.11734435122039,8.705289738012079,-1.4495239124367363
0.51,0.75,26.9322081441632,8.918312133525367,-0.3746011461149435
0.52,0.75,26.61282221887426,8.9851678574277,0.4351967126990825
0.53,0.75,26.008601274289827,8.948066538548726,1.1394064746587882
0.54,0.75,25.354171037133906,8.89331823647411,1.8237014338241668
0.55,0.75,24.914472466032898,8.71737396113027,2.3842400654560456
0.56,0.75,24.28734641341463,8.485761439606794,2.8817666509257696
0.4,1.25,21.15276826010195,-9.666956852905004,-12.13076642190343
0.41,1.25,21.682828556714288,-7.490539079932553,-10.339776353109595
0.42,1.25,22.076309804217342,-5.467675691414102,-8.437271762298082
0.43,1.25,22.369624762170268,-3.7443472531557256,-6.490276418095081
0.44,1.25,22.492482924699793,-2.1907633511700917,-4.536592819848395
0.45,1.25,22.850566684346646,-0.473814233587271,-2.7961655482899834
0.46,1.25,23.503635814740004,1.0684261531404131,-1.4581670456795277
0.47,1.25,24.199996858000162,2.248668193582559,-0.3475257606093488
0.48,1.25,24.706842537082057,3.274782065471363,0.7955951364032197
0.49,1.25,24.98770022526204,4.065270324351025,1.949978299741017
0.5,1.25,25.14444158790807,4.869823380514277,3.001136396759455
0.51,1.25,25.121634723444114,5.640855024418659,3.889217341106367
0.52,1.25,24.74671589659563,6.345097385434452,4.775135714003626
0.53,1.25,24.278051693757668,6.685822936951469,5.6493012450617295
0.54,1.25,23.64948699527047,6.731812187385086,6.472074788534938
0.55,1.25,23.112408512406528,6.744250131352708,7.0068652614103435
0.56,1.25,22.661239994401903,6.928668675882223,7.4277476360595855
0.4,1.75,16.69048827988554,-24.972591577616836,-5.199327792352554
0.41,1.75,17.525906863230418,-23.04752009933002,-3.1950785001812414
0.42,1.75,18.145856104485603,-21.091494358205654,-1.0720988477668312
0.43,1.75,18.522827890792414,-19.129296455901603,1.0789367190352415
0.44,1.75,19.10557701649832,-17.373198762256248,2.5324979879165963
0.45,1.75,19.580488163423887,-15.482557158746637,3.8830899708645816
0.46,1.75,19.956707287110696,-13.470801228288533,5.399179063189652
0.47,1.75,20.039398121304167,-11.45875616191332,6.873333252701021
0.48,1.75,20.169438010488417,-9.53738517789212,7.980939387188325
0.49,1.75,20.153666589287507,-7.676502851563013,8.990378803577821
0.5,1.75,19.89565905120982,-5.876618223040572,9.927395748733732
0.51,1.75,19.69938905119213,-4.294385875230013,10.863222249944668
0.52,1.75,19.43735825392306,-3.0027754227254255,11.876412313228743
0.53,1.75,19.06020007784541,-1.8909730402579739,12.740401013522268
0.54,1.75,18.468303721078918,-0.8918066620010536,13.57737518904592
0.55,1.75,17.935245614806302,0.1499495145720121,14.232554894946238
0.56,1.75,17.305910231213605,1.098908292342975,14.479075166286801
