line_id,tau_line_id,proj_quartet,tau_proj_quartet,best_k12_shift,correlation_score,similarity
1,1,sec0_m1 sec1_m0 sec2_m0 sec3_m0,sec0_m1 sec1_m0 sec2_m0 sec3_m0,0,22,0.22
2,2,sec0_m0 sec1_m0 sec2_m0 sec3_m1,sec0_m0 sec1_m0 sec2_m0 sec3_m1,0,26,0.180556
3,3,sec0_m0 sec1_m2 sec2_m1 sec3_m1,sec0_m0 sec1_m2 sec2_m1 sec3_m1,0,32,0.222222
4,4,sec0_m1 sec1_m0 sec2_m1 sec3_m2,sec0_m1 sec1_m0 sec2_m1 sec3_m2,0,28,0.194444
5,5,sec0_m1 sec1_m1 sec2_m1 sec3_m1,sec0_m1 sec1_m1 sec2_m1 sec3_m1,0,28,0.194444
6,6,sec0_m2 sec1_m1 sec2_m1 sec3_m0,sec0_m2 sec1_m1 sec2_m1 sec3_m0,0,26,0.180556
7,7,sec0_m0 sec1_m2 sec2_m0 sec3_m2,sec0_m0 sec1_m2 sec2_m0 sec3_m2,0,34,0.236111
8,8,sec0_m2 sec1_m0 sec2_m0 sec3_m2,sec0_m2 sec1_m0 sec2_m0 sec3_m2,0,34,0.236111
11,11,sec0_m0 sec1_m0 sec2_m1 sec3_m0,sec0_m0 sec1_m0 sec2_m1 sec3_m0,0,38,0.263889
13,13,sec0_m0 sec1_m2 sec2_m2 sec3_m0,sec0_m0 sec1_m2 sec2_m2 sec3_m0,0,28,0.194444
14,14,sec0_m2 sec1_m1 sec2_m0 sec3_m1,sec0_m2 sec1_m1 sec2_m0 sec3_m1,0,38,0.263889
15,15,sec0_m0 sec1_m1 sec2_m0 sec3_m0,sec0_m0 sec1_m1 sec2_m0 sec3_m0,0,42,0.291667
16,16,sec0_m1 sec1_m1 sec2_m0 sec3_m2,sec0_m1 sec1_m1 sec2_m0 sec3_m2,0,26,0.180556
17,17,sec0_m2 sec1_m0 sec2_m1 sec3_m1,sec0_m2 sec1_m0 sec2_m1 sec3_m1,0,16,1.0
18,18,sec0_m0 sec1_m0 sec2_m2 sec3_m2,sec0_m0 sec1_m0 sec2_m2 sec3_m2,0,22,0.22
19,19,sec0_m1 sec1_m2 sec2_m2 sec3_m2,sec0_m1 sec1_m2 sec2_m2 sec3_m2,0,28,0.194444
20,20,sec0_m2 sec1_m1 sec2_m2 sec3_m2,sec0_m2 sec1_m1 sec2_m2 sec3_m2,0,22,0.22
21,21,sec0_m0 sec1_m1 sec2_m1 sec3_m2,sec0_m0 sec1_m1 sec2_m1 sec3_m2,0,28,0.28
22,22,sec0_m2 sec1_m0 sec2_m2 sec3_m0,sec0_m2 sec1_m0 sec2_m2 sec3_m0,0,28,0.194444
23,23,sec0_m1 sec1_m0 sec2_m2 sec3_m1,sec0_m1 sec1_m0 sec2_m2 sec3_m1,0,34,0.236111
26,26,sec0_m1 sec1_m1 sec2_m2 sec3_m0,sec0_m1 sec1_m1 sec2_m2 sec3_m0,0,32,0.222222
28,28,sec0_m2 sec1_m2 sec2_m0 sec3_m0,sec0_m2 sec1_m2 sec2_m0 sec3_m0,0,22,0.22
30,30,sec0_m2 sec1_m2 sec2_m1 sec3_m2,sec0_m2 sec1_m2 sec2_m1 sec3_m2,0,32,0.222222
32,32,sec0_m1 sec1_m2 sec2_m1 sec3_m0,sec0_m1 sec1_m2 sec2_m1 sec3_m0,0,28,0.28
35,35,sec0_m1 sec1_m2 sec2_m0 sec3_m1,sec0_m1 sec1_m2 sec2_m0 sec3_m1,0,30,0.3
36,36,sec0_m0 sec1_m1 sec2_m2 sec3_m1,sec0_m0 sec1_m1 sec2_m2 sec3_m1,0,30,0.3
39,39,sec0_m2 sec1_m2 sec2_m2 sec3_m1,sec0_m2 sec1_m2 sec2_m2 sec3_m1,0,26,0.180556
