line_id,shift,similarity
0,2,0.048611
1,2,0.08
2,2,0.083333
3,2,0.0625
4,2,0.076389
5,2,0.048611
6,2,0.083333
7,2,0.055556
8,2,0.055556
9,2,0.0625
10,2,0.076389
11,2,0.013889
12,2,0.055556
13,2,0.076389
14,2,0.013889
15,2,0.0
16,2,0.083333
17,2,0.0
18,2,0.08
19,2,0.076389
20,2,0.08
21,2,0.0
22,2,0.048611
23,2,0.055556
24,2,0.083333
25,2,0.0
26,2,0.034722
27,2,0.08
28,2,0.08
29,2,0.048611
30,2,0.034722
31,2,0.08
32,2,0.0
33,2,0.083333
34,2,0.0
35,2,0.0
36,2,0.0
37,2,0.090278
38,2,0.090278
39,2,0.083333
