matching_id,sigma_Z2,sum_phases_mod8,signature_sorted,all_zero
0,-1,2,"0,0,0,0,0,2",
1,-1,6,"0,0,0,2,6,6",
4,-1,6,"0,0,0,0,0,6",
6,-1,2,"0,0,0,0,0,2",
13,-1,6,"0,0,0,0,0,6",
16,1,0,"0,0,0,0,2,6",
18,-1,6,"0,0,0,0,0,6",
19,1,0,"0,0,0,0,2,6",
20,-1,6,"0,0,0,2,6,6",
22,1,0,"0,0,0,0,2,6",
23,-1,6,"0,0,0,0,0,6",
24,1,0,"0,0,0,0,2,6",
25,1,0,"0,0,0,0,2,6",
26,1,0,"0,0,0,0,0,0",
27,1,4,"0,0,0,0,6,6",
32,1,0,"0,0,0,0,2,6",
34,1,0,"0,0,0,0,2,6",
35,1,0,"0,0,0,0,0,0",
38,1,0,"0,0,0,0,2,6",
40,-1,6,"0,0,0,2,6,6",
41,1,0,"0,0,0,0,2,6",
47,1,0,"0,0,0,0,2,6",
48,1,0,"0,0,0,0,2,6",
52,-1,6,"0,0,0,0,0,6",
53,-1,6,"0,0,0,0,0,6",
54,1,0,"0,0,0,0,2,6",
56,1,0,"0,0,0,0,2,6",
