matching_id,is_preserved,sigma_Z2,sum_phases_mod8,signature_sorted,orbit_size_under_A4,D_rank_gf2,gram_rank_gf2,is_special_orbit_size_4
0,1,-1,2,"0,0,0,0,0,2",12,4,4,False
1,1,-1,6,"0,0,0,2,6,6",12,5,4,False
2,0,1,0,"0,0,0,0,2,6",12,5,4,False
3,0,-1,6,"0,0,0,2,6,6",12,5,4,False
4,1,-1,6,"0,0,0,0,0,6",12,3,2,False
5,0,-1,6,"0,0,0,2,6,6",4,5,4,True
6,1,-1,2,"0,0,0,0,0,2",12,3,2,False
7,0,-1,6,"0,0,0,0,0,6",12,4,4,False
8,0,1,4,"0,0,0,0,6,6",12,5,4,False
9,0,1,0,"0,0,0,0,2,6",12,5,4,False
10,0,1,0,"0,0,0,0,0,0",12,5,4,False
11,0,-1,6,"0,0,0,2,6,6",12,5,4,False
12,0,1,4,"0,0,0,0,6,6",12,5,4,False
13,1,-1,6,"0,0,0,0,0,6",6,4,4,False
14,0,1,0,"0,0,0,0,2,6",12,4,4,False
15,0,-1,6,"0,0,0,0,0,6",12,5,4,False
16,1,1,0,"0,0,0,0,2,6",12,5,4,False
17,0,-1,6,"0,0,0,2,6,6",12,5,4,False
18,1,-1,6,"0,0,0,0,0,6",12,4,2,False
19,1,1,0,"0,0,0,0,2,6",12,4,2,False
20,1,-1,6,"0,0,0,2,6,6",12,4,4,False
21,0,-1,6,"0,0,0,0,0,6",6,5,4,False
22,1,1,0,"0,0,0,0,2,6",12,4,2,False
23,1,-1,6,"0,0,0,0,0,6",12,5,4,False
24,1,1,0,"0,0,0,0,2,6",12,3,2,False
25,1,1,0,"0,0,0,0,2,6",6,4,2,False
26,1,1,0,"0,0,0,0,0,0",4,5,4,True
27,1,1,4,"0,0,0,0,6,6",12,5,4,False
28,0,-1,2,"0,0,0,0,0,2",12,5,4,False
29,0,-1,6,"0,0,0,0,0,6",12,5,4,False
30,0,1,0,"0,0,0,0,2,6",12,5,4,False
31,0,1,0,"0,0,0,0,2,6",12,4,4,False
32,1,1,0,"0,0,0,0,2,6",6,4,2,False
33,0,1,0,"0,0,0,0,0,0",12,5,4,False
34,1,1,0,"0,0,0,0,2,6",12,4,4,False
35,1,1,0,"0,0,0,0,0,0",12,4,2,False
36,0,1,4,"0,0,0,0,6,6",12,4,4,False
37,0,-1,6,"0,0,0,0,0,6",12,4,4,False
38,1,1,0,"0,0,0,0,2,6",12,3,2,False
39,0,1,4,"0,0,0,0,6,6",12,5,4,False
40,1,-1,6,"0,0,0,2,6,6",12,5,4,False
41,1,1,0,"0,0,0,0,2,6",12,5,4,False
42,0,-1,2,"0,0,0,0,0,2",12,5,4,False
43,0,-1,6,"0,0,0,2,6,6",12,4,4,False
44,0,1,0,"0,0,0,0,2,6",12,5,4,False
45,0,1,0,"0,0,0,0,2,6",6,5,4,False
46,0,1,4,"0,0,0,0,6,6",12,4,4,False
47,1,1,0,"0,0,0,0,2,6",12,4,4,False
48,1,1,0,"0,0,0,0,2,6",12,3,2,False
49,0,1,0,"0,0,0,0,2,6",12,5,4,False
50,0,-1,6,"0,0,0,2,6,6",12,5,4,False
51,0,-1,6,"0,0,0,0,0,6",12,5,4,False
52,1,-1,6,"0,0,0,0,0,6",6,4,4,False
53,1,-1,6,"0,0,0,0,0,6",12,5,4,False
54,1,1,0,"0,0,0,0,2,6",12,4,4,False
55,0,1,0,"0,0,0,0,2,6",12,5,4,False
56,1,1,0,"0,0,0,0,2,6",12,4,4,False
57,0,-1,6,"0,0,0,2,6,6",12,4,4,False
58,0,-1,2,"0,0,0,0,0,2",12,5,4,False
