auto_id,order,delta,A00,A01,A02,A03,A10,A11,A12,A13,A20,A21,A22,A23,A30,A31,A32,A33,c0,c1,c2,c3,det,rank,verified
0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,16,True
1,3,0,1,0,0,0,1,0,2,1,1,2,0,1,2,1,1,0,0,0,0,0,1,16,True
2,3,0,1,0,0,0,2,2,1,2,2,1,2,2,1,2,2,2,0,0,0,0,1,16,True
3,6,1,1,0,0,0,2,1,2,2,0,1,0,0,2,1,1,0,0,0,0,0,2,16,True
4,6,1,1,0,0,0,0,0,1,0,1,0,2,1,1,2,2,2,0,0,0,0,2,16,True
5,2,1,1,0,0,0,1,2,0,1,2,2,1,2,0,0,0,1,0,0,0,0,2,16,True
6,2,1,0,2,2,1,2,0,1,2,0,0,2,0,0,0,0,2,0,0,0,0,2,16,True
7,2,1,0,2,2,1,0,2,0,0,1,2,1,1,2,1,1,1,0,0,0,0,2,16,True
8,2,1,0,2,2,1,1,1,2,1,2,1,0,2,1,2,2,0,0,0,0,0,2,16,True
9,2,0,0,2,2,1,2,1,0,2,2,0,1,2,2,1,1,1,0,0,0,0,1,16,True
10,2,0,0,2,2,1,0,0,2,0,0,2,0,0,1,2,2,0,0,0,0,0,1,16,True
11,2,0,0,2,2,1,1,2,1,1,1,1,2,1,0,0,0,2,0,0,0,0,1,16,True
