auto_id,line_id_src,line_id_dst,src_missing_sector,dst_missing_sector,expected_missing_sector,missing_sector_ok,src_completion_class,dst_completion_class,expected_completion_class,completion_ok,epsilon0,epsilon12,delta
0,32,32,2,2,2,1,sec2_m1,sec2_m1,sec2_m1,1,0,0,0
0,39,39,0,0,0,1,sec0_m2,sec0_m2,sec0_m2,1,0,0,0
0,22,22,0,0,0,1,sec0_m2,sec0_m2,sec0_m2,1,0,0,0
0,23,23,2,2,2,1,sec2_m2,sec2_m2,sec2_m2,1,0,0,0
0,30,30,0,0,0,1,sec0_m2,sec0_m2,sec0_m2,1,0,0,0
0,28,28,3,3,3,1,sec3_m0,sec3_m0,sec3_m0,1,0,0,0
0,8,8,0,0,0,1,sec0_m2,sec0_m2,sec0_m2,1,0,0,0
0,17,17,3,3,3,1,sec3_m1,sec3_m1,sec3_m1,1,0,0,0
0,6,6,0,0,0,1,sec0_m2,sec0_m2,sec0_m2,1,0,0,0
0,14,14,0,0,0,1,sec0_m2,sec0_m2,sec0_m2,1,0,0,0
0,15,15,1,1,1,1,sec1_m1,sec1_m1,sec1_m1,1,0,0,0
0,3,3,1,1,1,1,sec1_m2,sec1_m2,sec1_m2,1,0,0,0
0,16,16,2,2,2,1,sec2_m0,sec2_m0,sec2_m0,1,0,0,0
0,20,20,3,3,3,1,sec3_m2,sec3_m2,sec3_m2,1,0,0,0
0,18,18,1,1,1,1,sec1_m0,sec1_m0,sec1_m0,1,0,0,0
1,32,23,2,2,2,1,sec2_m1,sec2_m2,sec2_m2,1,0,0,0
1,39,8,0,0,0,1,sec0_m2,sec0_m2,sec0_m2,1,0,0,0
1,22,14,0,0,0,1,sec0_m2,sec0_m2,sec0_m2,1,0,0,0
1,23,16,2,2,2,1,sec2_m2,sec2_m0,sec2_m0,1,0,0,0
1,30,22,0,0,0,1,sec0_m2,sec0_m2,sec0_m2,1,0,0,0
1,28,17,3,3,3,1,sec3_m0,sec3_m1,sec3_m1,1,0,0,0
1,8,6,0,0,0,1,sec0_m2,sec0_m2,sec0_m2,1,0,0,0
1,17,20,3,3,3,1,sec3_m1,sec3_m2,sec3_m2,1,0,0,0
1,6,39,0,0,0,1,sec0_m2,sec0_m2,sec0_m2,1,0,0,0
1,14,30,0,0,0,1,sec0_m2,sec0_m2,sec0_m2,1,0,0,0
1,15,3,1,1,1,1,sec1_m1,sec1_m2,sec1_m2,1,0,0,0
1,3,18,1,1,1,1,sec1_m2,sec1_m0,sec1_m0,1,0,0,0
1,16,32,2,2,2,1,sec2_m0,sec2_m1,sec2_m1,1,0,0,0
1,20,28,3,3,3,1,sec3_m2,sec3_m0,sec3_m0,1,0,0,0
1,18,15,1,1,1,1,sec1_m0,sec1_m1,sec1_m1,1,0,0,0
2,32,16,2,2,2,1,sec2_m1,sec2_m0,sec2_m0,1,0,0,0
2,39,6,0,0,0,1,sec0_m2,sec0_m2,sec0_m2,1,0,0,0
2,22,30,0,0,0,1,sec0_m2,sec0_m2,sec0_m2,1,0,0,0
2,23,32,2,2,2,1,sec2_m2,sec2_m1,sec2_m1,1,0,0,0
2,30,14,0,0,0,1,sec0_m2,sec0_m2,sec0_m2,1,0,0,0
2,28,20,3,3,3,1,sec3_m0,sec3_m2,sec3_m2,1,0,0,0
2,8,39,0,0,0,1,sec0_m2,sec0_m2,sec0_m2,1,0,0,0
2,17,28,3,3,3,1,sec3_m1,sec3_m0,sec3_m0,1,0,0,0
2,6,8,0,0,0,1,sec0_m2,sec0_m2,sec0_m2,1,0,0,0
2,14,22,0,0,0,1,sec0_m2,sec0_m2,sec0_m2,1,0,0,0
2,15,18,1,1,1,1,sec1_m1,sec1_m0,sec1_m0,1,0,0,0
2,3,15,1,1,1,1,sec1_m2,sec1_m1,sec1_m1,1,0,0,0
2,16,23,2,2,2,1,sec2_m0,sec2_m2,sec2_m2,1,0,0,0
2,20,17,3,3,3,1,sec3_m2,sec3_m1,sec3_m1,1,0,0,0
2,18,3,1,1,1,1,sec1_m0,sec1_m2,sec1_m2,1,0,0,0
3,32,23,2,2,1,0,sec2_m1,sec2_m2,sec1_m0,0,0,1,1
3,39,20,0,3,0,0,sec0_m2,sec3_m2,sec0_m2,0,0,1,1
3,22,14,0,0,0,1,sec0_m2,sec0_m2,sec0_m2,1,0,1,1
3,23,16,2,2,1,0,sec2_m2,sec2_m0,sec1_m1,0,0,1,1
3,30,22,0,0,0,1,sec0_m2,sec0_m2,sec0_m2,1,0,1,1
3,28,39,3,0,3,0,sec3_m0,sec0_m2,sec3_m1,0,0,1,1
3,8,28,0,3,0,0,sec0_m2,sec3_m0,sec0_m2,0,0,1,1
3,17,8,3,0,3,0,sec3_m1,sec0_m2,sec3_m2,0,0,1,1
3,6,17,0,3,0,0,sec0_m2,sec3_m1,sec0_m2,0,0,1,1
3,14,30,0,0,0,1,sec0_m2,sec0_m2,sec0_m2,1,0,1,1
3,15,3,1,1,2,0,sec1_m1,sec1_m2,sec2_m1,0,0,1,1
3,3,18,1,1,2,0,sec1_m2,sec1_m0,sec2_m2,0,0,1,1
3,16,32,2,2,1,0,sec2_m0,sec2_m1,sec1_m2,0,0,1,1
3,20,6,3,0,3,0,sec3_m2,sec0_m2,sec3_m0,0,0,1,1
3,18,15,1,1,2,0,sec1_m0,sec1_m1,sec2_m0,0,0,1,1
4,32,16,2,2,1,0,sec2_m1,sec2_m0,sec1_m1,0,0,1,1
4,39,28,0,3,0,0,sec0_m2,sec3_m0,sec0_m2,0,0,1,1
4,22,30,0,0,0,1,sec0_m2,sec0_m2,sec0_m2,1,0,1,1
4,23,32,2,2,1,0,sec2_m2,sec2_m1,sec1_m2,0,0,1,1
4,30,14,0,0,0,1,sec0_m2,sec0_m2,sec0_m2,1,0,1,1
4,28,8,3,0,3,0,sec3_m0,sec0_m2,sec3_m2,0,0,1,1
4,8,17,0,3,0,0,sec0_m2,sec3_m1,sec0_m2,0,0,1,1
4,17,6,3,0,3,0,sec3_m1,sec0_m2,sec3_m0,0,0,1,1
4,6,20,0,3,0,0,sec0_m2,sec3_m2,sec0_m2,0,0,1,1
4,14,22,0,0,0,1,sec0_m2,sec0_m2,sec0_m2,1,0,1,1
4,15,18,1,1,2,0,sec1_m1,sec1_m0,sec2_m2,0,0,1,1
4,3,15,1,1,2,0,sec1_m2,sec1_m1,sec2_m0,0,0,1,1
4,16,23,2,2,1,0,sec2_m0,sec2_m2,sec1_m0,0,0,1,1
4,20,39,3,0,3,0,sec3_m2,sec0_m2,sec3_m1,0,0,1,1
4,18,3,1,1,2,0,sec1_m0,sec1_m2,sec2_m1,0,0,1,1
5,32,32,2,2,1,0,sec2_m1,sec2_m1,sec1_m2,0,0,1,1
5,39,17,0,3,0,0,sec0_m2,sec3_m1,sec0_m2,0,0,1,1
5,22,22,0,0,0,1,sec0_m2,sec0_m2,sec0_m2,1,0,1,1
5,23,23,2,2,1,0,sec2_m2,sec2_m2,sec1_m0,0,0,1,1
5,30,30,0,0,0,1,sec0_m2,sec0_m2,sec0_m2,1,0,1,1
5,28,6,3,0,3,0,sec3_m0,sec0_m2,sec3_m0,0,0,1,1
5,8,20,0,3,0,0,sec0_m2,sec3_m2,sec0_m2,0,0,1,1
