auto_id,delta,line_id_a,line_id_b,is_fixed,corr_delta_stability,sign_opposition_rate
0,0,0,0,1,1.0,0.0
0,0,1,1,1,1.0,0.0
0,0,2,2,1,1.0,0.0
0,0,3,3,1,1.0,0.0
0,0,4,4,1,1.0,0.0
0,0,5,5,1,1.0,0.0
0,0,6,6,1,1.0,0.0
0,0,7,7,1,1.0,0.0
0,0,8,8,1,1.0,0.0
0,0,9,9,1,1.0,0.0
0,0,10,10,1,1.0,0.0
0,0,11,11,1,1.0,0.0
0,0,12,12,1,1.0,0.0
0,0,13,13,1,1.0,0.0
0,0,14,14,1,1.0,0.0
0,0,15,15,1,1.0,0.0
0,0,16,16,1,1.0,0.0
0,0,17,17,1,1.0,0.0
0,0,18,18,1,1.0,0.0
0,0,19,19,1,1.0,0.0
0,0,20,20,1,1.0,0.0
0,0,21,21,1,1.0,0.0
0,0,22,22,1,1.0,0.0
0,0,23,23,1,1.0,0.0
0,0,9,24,0,0.13818001631649263,0.6274509803921569
0,0,12,25,0,0.03650649245810395,0.0
0,0,26,26,1,1.0,0.0
0,0,27,27,1,1.0,0.0
0,0,28,28,1,1.0,0.0
0,0,27,29,0,-0.48570884990306407,0.6666666666666666
0,0,30,30,1,1.0,0.0
0,0,9,31,0,0.12877465203081878,0.45098039215686275
0,0,32,32,1,1.0,0.0
0,0,27,33,0,0.7679979511756887,0.19607843137254902
0,0,0,34,0,-0.5752619038351464,0.45098039215686275
0,0,35,35,1,1.0,0.0
0,0,36,36,1,1.0,0.0
0,0,0,37,0,-0.41987125005692766,0.45098039215686275
0,0,12,38,0,-0.8324001777365003,0.0
0,0,39,39,1,1.0,0.0
1,0,0,0,1,1.0,0.0
1,0,1,5,0,0.144508282064484,0.0
1,0,2,21,0,-0.4721042630947315,0.6078431372549019
1,0,3,18,0,0.587161528217359,0.0
1,0,4,26,0,-0.7033933581874481,1.0
1,0,5,19,0,-0.7503604685158244,0.0196078431372549
1,0,6,39,0,-0.5990351696677974,0.6862745098039216
1,0,7,11,0,0.016141527739411337,0.0
1,0,6,8,0,-0.4473842996002887,0.6862745098039216
1,0,9,9,1,1.0,0.0
1,0,10,10,1,1.0,0.0
1,0,11,36,0,0.9040958627130047,0.3137254901960784
1,0,12,12,1,1.0,0.0
1,0,2,13,0,0.19865595635616654,0.6078431372549019
1,0,14,30,0,-0.014685757704161495,0.0
1,0,3,15,0,-0.34726624937329853,0.3333333333333333
1,0,16,32,0,0.4984329937228523,0.35294117647058826
1,0,17,20,0,-0.6170480302539444,0.7647058823529411
1,0,15,18,0,-0.18463716367362268,0.3333333333333333
1,0,1,19,0,0.15506790500918133,0.0196078431372549
1,0,20,28,0,-0.08672102216820618,0.3333333333333333
1,0,13,21,0,0.4066186102014992,0.0
1,0,14,22,0,-0.1489944693701495,0.29411764705882354
1,0,16,23,0,0.5886245645185426,0.39215686274509803
1,0,9,24,0,0.13818001631649263,0.6274509803921569
1,0,12,25,0,0.03650649245810395,0.0
1,0,26,35,0,0.878854782835117,0.0
1,0,27,27,1,1.0,0.0
1,0,17,28,0,0.47913445503623936,0.7843137254901961
1,0,27,29,0,-0.48570884990306407,0.6666666666666666
1,0,22,30,0,-0.16028591807482775,0.29411764705882354
1,0,9,31,0,0.12877465203081878,0.45098039215686275
1,0,23,32,0,0.0064818491097615675,0.6666666666666666
1,0,27,33,0,0.7679979511756887,0.19607843137254902
1,0,0,34,0,-0.5752619038351464,0.45098039215686275
1,0,4,35,0,-0.8237342173437234,1.0
1,0,7,36,0,-0.23867317541686936,0.3137254901960784
1,0,0,37,0,-0.41987125005692766,0.45098039215686275
1,0,12,38,0,-0.8324001777365003,0.0
1,0,8,39,0,0.8386043649483318,0.0
2,0,0,0,1,1.0,0.0
2,0,1,19,0,0.15506790500918133,0.0196078431372549
2,0,2,13,0,0.19865595635616654,0.6078431372549019
2,0,3,15,0,-0.34726624937329853,0.3333333333333333
2,0,4,35,0,-0.8237342173437234,1.0
2,0,1,5,0,0.144508282064484,0.0
2,0,6,8,0,-0.4473842996002887,0.6862745098039216
2,0,7,36,0,-0.23867317541686936,0.3137254901960784
2,0,8,39,0,0.8386043649483318,0.0
2,0,9,9,1,1.0,0.0
2,0,10,10,1,1.0,0.0
2,0,7,11,0,0.016141527739411337,0.0
2,0,12,12,1,1.0,0.0
2,0,13,21,0,0.4066186102014992,0.0
2,0,14,22,0,-0.1489944693701495,0.29411764705882354
2,0,15,18,0,-0.18463716367362268,0.3333333333333333
2,0,16,23,0,0.5886245645185426,0.39215686274509803
2,0,17,28,0,0.47913445503623936,0.7843137254901961
2,0,3,18,0,0.587161528217359,0.0
2,0,5,19,0,-0.7503604685158244,0.0196078431372549
2,0,17,20,0,-0.6170480302539444,0.7647058823529411
2,0,2,21,0,-0.4721042630947315,0.6078431372549019
2,0,22,30,0,-0.16028591807482775,0.29411764705882354
2,0,23,32,0,0.0064818491097615675,0.6666666666666666
2,0,9,24,0,0.13818001631649263,0.6274509803921569
2,0,12,25,0,0.03650649245810395,0.0
2,0,4,26,0,-0.7033933581874481,1.0
2,0,27,27,1,1.0,0.0
2,0,20,28,0,-0.08672102216820618,0.3333333333333333
2,0,27,29,0,-0.48570884990306407,0.6666666666666666
2,0,14,30,0,-0.014685757704161495,0.0
2,0,9,31,0,0.12877465203081878,0.45098039215686275
2,0,16,32,0,0.4984329937228523,0.35294117647058826
2,0,27,33,0,0.7679979511756887,0.19607843137254902
2,0,0,34,0,-0.5752619038351464,0.45098039215686275
2,0,26,35,0,0.878854782835117,0.0
2,0,11,36,0,0.9040958627130047,0.3137254901960784
2,0,0,37,0,-0.41987125005692766,0.45098039215686275
2,0,12,38,0,-0.8324001777365003,0.0
2,0,6,39,0,-0.5990351696677974,0.6862745098039216
3,1,0,0,1,1.0,0.0
3,1,1,35,0,0.5035863507155278,0.0
3,1,2,7,0,-0.46545835476730263,0.6078431372549019
3,1,3,18,0,0.587161528217359,0.0
3,1,1,4,0,-0.3754439284588736,1.0
3,1,4,5,0,-0.8341291426212835,1.0
3,1,6,17,0,0.9056677078615613,0.3137254901960784
3,1,7,13,0,-0.901639982601295,0.0
3,1,8,28,0,-0.28185613986922237,0.21568627450980393
3,1,9,9,1,1.0,0.0
3,1,10,10,1,1.0,0.0
3,1,2,11,0,-0.43003722558451185,0.6078431372549019
3,1,12,27,0,-0.21263379709685978,0.6078431372549019
3,1,13,36,0,0.5978436026934263,0.3137254901960784
3,1,14,30,0,-0.014685757704161495,0.0
3,1,3,15,0,-0.34726624937329853,0.3333333333333333
3,1,16,32,0,0.4984329937228523,0.35294117647058826
3,1,8,17,0,-0.597998412220495,1.0
3,1,15,18,0,-0.18463716367362268,0.3333333333333333
3,1,19,26,0,-0.5934167358956074,0.0196078431372549
3,1,6,20,0,-0.4399179643361011,0.6470588235294118
3,1,11,21,0,0.7325062532117489,0.0
3,1,14,22,0,-0.1489944693701495,0.29411764705882354
3,1,16,23,0,0.5886245645185426,0.39215686274509803
3,1,9,24,0,0.13818001631649263,0.6274509803921569
3,1,25,27,0,-0.7327709571730969,0.6078431372549019
3,1,5,26,0,0.7562856008890251,0.0
3,1,28,39,0,-0.23066157201384277,0.21568627450980393
3,1,12,29,0,-0.30262272644307514,0.2549019607843137
3,1,22,30,0,-0.16028591807482775,0.29411764705882354
3,1,9,31,0,0.12877465203081878,0.45098039215686275
3,1,23,32,0,0.0064818491097615675,0.6666666666666666
3,1,12,33,0,-0.01819507342341422,0.45098039215686275
3,1,0,34,0,-0.5752619038351464,0.45098039215686275
3,1,19,35,0,-0.6079318525030337,0.0196078431372549
3,1,21,36,0,0.6341817001937089,0.3137254901960784
3,1,0,37,0,-0.41987125005692766,0.45098039215686275
3,1,27,38,0,-0.21455400974955516,0.6078431372549019
3,1,20,39,0,0.6486034172365319,0.23529411764705882
4,1,0,0,1,1.0,0.0
4,1,1,4,0,-0.3754439284588736,1.0
4,1,2,11,0,-0.43003722558451185,0.6078431372549019
4,1,3,15,0,-0.34726624937329853,0.3333333333333333
4,1,4,5,0,-0.8341291426212835,1.0
4,1,5,26,0,0.7562856008890251,0.0
4,1,6,20,0,-0.4399179643361011,0.6470588235294118
4,1,2,7,0,-0.46545835476730263,0.6078431372549019
4,1,8,17,0,-0.597998412220495,1.0
4,1,9,9,1,1.0,0.0
4,1,10,10,1,1.0,0.0
4,1,11,21,0,0.7325062532117489,0.0
4,1,12,27,0,-0.21263379709685978,0.6078431372549019
4,1,7,13,0,-0.901639982601295,0.0
4,1,14,22,0,-0.1489944693701495,0.29411764705882354
4,1,15,18,0,-0.18463716367362268,0.3333333333333333
4,1,16,23,0,0.5886245645185426,0.39215686274509803
4,1,6,17,0,0.9056677078615613,0.3137254901960784
4,1,3,18,0,0.587161528217359,0.0
4,1,19,35,0,-0.6079318525030337,0.0196078431372549
4,1,20,39,0,0.6486034172365319,0.23529411764705882
4,1,21,36,0,0.6341817001937089,0.3137254901960784
4,1,22,30,0,-0.16028591807482775,0.29411764705882354
4,1,23,32,0,0.0064818491097615675,0.6666666666666666
4,1,9,24,0,0.13818001631649263,0.6274509803921569
4,1,25,27,0,-0.7327709571730969,0.6078431372549019
4,1,19,26,0,-0.5934167358956074,0.0196078431372549
4,1,8,28,0,-0.28185613986922237,0.21568627450980393
4,1,12,29,0,-0.30262272644307514,0.2549019607843137
4,1,14,30,0,-0.014685757704161495,0.0
4,1,9,31,0,0.12877465203081878,0.45098039215686275
4,1,16,32,0,0.4984329937228523,0.35294117647058826
4,1,12,33,0,-0.01819507342341422,0.45098039215686275
4,1,0,34,0,-0.5752619038351464,0.45098039215686275
4,1,1,35,0,0.5035863507155278,0.0
4,1,13,36,0,0.5978436026934263,0.3137254901960784
4,1,0,37,0,-0.41987125005692766,0.45098039215686275
4,1,27,38,0,-0.21455400974955516,0.6078431372549019
4,1,28,39,0,-0.23066157201384277,0.21568627450980393
5,1,0,0,1,1.0,0.0
5,1,1,26,0,0.39656309653026545,0.0
5,1,2,36,0,-0.30930450710974183,0.5294117647058824
5,1,3,3,1,1.0,0.0
5,1,4,19,0,0.6932349209154006,0.9803921568627451
5,1,5,35,0,0.8144830371318045,0.0
5,1,6,28,0,0.4742812845975106,0.47058823529411764
5,1,7,21,0,-0.11671155351357261,0.0
5,1,8,20,0,0.5182651446372207,0.23529411764705882
5,1,9,9,1,1.0,0.0
5,1,10,10,1,1.0,0.0
5,1,11,13,0,0.35049388791609976,0.0
5,1,12,27,0,-0.21263379709685978,0.6078431372549019
5,1,14,14,1,1.0,0.0
5,1,15,15,1,1.0,0.0
5,1,16,16,1,1.0,0.0
5,1,17,39,0,-0.7322812102149682,1.0
5,1,18,18,1,1.0,0.0
5,1,22,22,1,1.0,0.0
5,1,23,23,1,1.0,0.0
5,1,9,24,0,0.13818001631649263,0.6274509803921569
5,1,25,27,0,-0.7327709571730969,0.6078431372549019
5,1,12,29,0,-0.30262272644307514,0.2549019607843137
5,1,30,30,1,1.0,0.0
5,1,9,31,0,0.12877465203081878,0.45098039215686275
5,1,32,32,1,1.0,0.0
5,1,12,33,0,-0.01819507342341422,0.45098039215686275
5,1,0,34,0,-0.5752619038351464,0.45098039215686275
5,1,0,37,0,-0.41987125005692766,0.45098039215686275
5,1,27,38,0,-0.21455400974955516,0.6078431372549019
6,1,0,0,1,1.0,0.0
6,1,1,11,0,0.144508282064484,0.0
6,1,2,4,0,0.5423464713630436,0.39215686274509803
6,1,3,16,0,-0.279890053788622,0.6470588235294118
6,1,5,7,0,0.016141527739411337,0.0
6,1,6,28,0,0.4742812845975106,0.47058823529411764
6,1,8,17,0,-0.597998412220495,1.0
6,1,9,9,1,1.0,0.0
6,1,10,10,1,1.0,0.0
6,1,12,12,1,1.0,0.0
6,1,13,26,0,0.018488907121240808,0.0
6,1,14,30,0,-0.014685757704161495,0.0
6,1,15,32,0,0.2275567670270691,0.39215686274509803
6,1,18,23,0,-0.4503522778947913,0.9607843137254902
6,1,19,36,0,-0.8370016502123718,0.3333333333333333
6,1,20,39,0,0.6486034172365319,0.23529411764705882
6,1,21,35,0,0.6627891708345546,0.0
6,1,22,22,1,1.0,0.0
6,1,9,24,0,0.13818001631649263,0.6274509803921569
6,1,12,25,0,0.03650649245810395,0.0
6,1,27,27,1,1.0,0.0
6,1,27,29,0,-0.48570884990306407,0.6666666666666666
6,1,9,31,0,0.12877465203081878,0.45098039215686275
6,1,27,33,0,0.7679979511756887,0.19607843137254902
6,1,0,34,0,-0.5752619038351464,0.45098039215686275
6,1,0,37,0,-0.41987125005692766,0.45098039215686275
6,1,12,38,0,-0.8324001777365003,0.0
7,1,0,0,1,1.0,0.0
7,1,1,36,0,-0.1299095866789927,0.3137254901960784
7,1,2,26,0,-0.5858802027636892,0.6078431372549019
7,1,3,32,0,-0.6351245853212173,0.37254901960784315
7,1,4,21,0,-0.752053500602778,1.0
7,1,5,11,0,1.0,0.0
7,1,6,17,0,0.9056677078615613,0.3137254901960784
7,1,7,19,0,0.2623957283958099,0.0196078431372549
7,1,8,20,0,0.5182651446372207,0.23529411764705882
7,1,9,9,1,1.0,0.0
7,1,10,10,1,1.0,0.0
7,1,12,12,1,1.0,0.0
7,1,13,35,0,-0.08808394927356986,0.0
7,1,14,22,0,-0.1489944693701495,0.29411764705882354
7,1,15,23,0,0.14954281007782458,0.6274509803921569
7,1,16,18,0,-0.7705530873443502,0.6470588235294118
7,1,9,24,0,0.13818001631649263,0.6274509803921569
7,1,12,25,0,0.03650649245810395,0.0
7,1,27,27,1,1.0,0.0
7,1,28,39,0,-0.23066157201384277,0.21568627450980393
7,1,27,29,0,-0.48570884990306407,0.6666666666666666
7,1,30,30,1,1.0,0.0
7,1,9,31,0,0.12877465203081878,0.45098039215686275
7,1,27,33,0,0.7679979511756887,0.19607843137254902
7,1,0,34,0,-0.5752619038351464,0.45098039215686275
7,1,0,37,0,-0.41987125005692766,0.45098039215686275
7,1,12,38,0,-0.8324001777365003,0.0
8,1,0,0,1,1.0,0.0
8,1,1,7,0,0.9893912147675997,0.0
8,1,2,35,0,-0.6127868654355564,0.6078431372549019
8,1,3,23,0,0.16447827904904003,0.9607843137254902
8,1,4,13,0,-0.06188237960984912,1.0
8,1,5,36,0,0.9040958627130047,0.3137254901960784
8,1,6,20,0,-0.4399179643361011,0.6470588235294118
8,1,8,28,0,-0.28185613986922237,0.21568627450980393
8,1,9,9,1,1.0,0.0
8,1,10,10,1,1.0,0.0
8,1,11,19,0,-0.7503604685158244,0.0196078431372549
8,1,12,12,1,1.0,0.0
8,1,14,14,1,1.0,0.0
8,1,15,16,0,0.15567087156361414,0.43137254901960786
8,1,17,39,0,-0.7322812102149682,1.0
8,1,18,32,0,-0.6404578584810873,0.37254901960784315
8,1,21,26,0,0.6021480102989625,0.0
8,1,22,30,0,-0.16028591807482775,0.29411764705882354
8,1,9,24,0,0.13818001631649263,0.6274509803921569
