line_id_a,line_id_b,auto_id,is_fixed,corr_delta_stability,mean_abs_delta_a,mean_abs_delta_b
0,0,5,1,1.0,0.0019869504069128206,0.0019869504069128206
0,34,5,0,-0.5752619038351464,0.0019869504069128206,0.0015838462187076803
0,37,5,0,-0.41987125005692766,0.0019869504069128206,0.0013504470492692953
1,26,5,0,0.39656309653026545,0.00825534969123644,0.012538620247055654
2,36,5,0,-0.30930450710974183,0.0016091061982513451,0.0028638058953718904
3,3,5,1,1.0,0.012527663677193357,0.012527663677193357
4,19,5,0,0.6932349209154006,0.002976508362919793,0.023527809847628173
5,35,5,0,0.8144830371318045,0.003458812317412455,0.015443508339366788
6,28,5,0,0.4742812845975106,0.0028638058953718904,0.00044766330387043
7,21,5,0,-0.11671155351357261,0.01126903239649422,0.010446395495979312
8,20,5,0,0.5182651446372207,0.02892248524455424,0.00034271195484016217
9,9,5,1,1.0,0.00580191202414908,0.00580191202414908
9,24,5,0,0.13818001631649263,0.00580191202414908,0.010319501724717722
9,31,5,0,0.12877465203081878,0.00580191202414908,0.000370515122765257
10,10,5,1,1.0,0.0008676125495143917,0.0008676125495143917
11,13,5,0,0.35049388791609976,0.003458812317412455,0.0038460383048055614
12,27,5,0,-0.21263379709685978,0.01058666121468017,0.0023438753185715654
12,29,5,0,-0.30262272644307514,0.01058666121468017,0.0033475162644040655
12,33,5,0,-0.01819507342341422,0.01058666121468017,0.006999920696372897
14,14,5,1,1.0,0.010940248884698443,0.010940248884698443
15,15,5,1,1.0,0.010631870193550426,0.010631870193550426
16,16,5,1,1.0,0.0032006867810644326,0.0032006867810644326
17,39,5,0,-0.7322812102149682,0.0012889051225446393,0.01945270245354121
18,18,5,1,1.0,0.011371733133028266,0.011371733133028266
22,22,5,1,1.0,0.0033015429176538303,0.0033015429176538303
23,23,5,1,1.0,0.004551378777072315,0.004551378777072315
25,27,5,0,-0.7327709571730969,0.003458812317412455,0.0023438753185715654
27,38,5,0,-0.21455400974955516,0.0023438753185715654,0.005325899839630405
30,30,5,1,1.0,0.003458812317412455,0.003458812317412455
32,32,5,1,1.0,0.010237910224970097,0.010237910224970097
