line_id_a,line_id_b,mean_corr,mean_opp_rate,var_q_class_a,var_q_class_b,line_type_a,line_type_b,missing_sector_a,missing_sector_b
7,13,-0.901639982601295,0.0,low(1/9),low(1/9),rank_spread,other,,
19,36,-0.8370016502123718,0.3333333333333333,low(1/9),mid(1/3),rank_spread,other,,
4,5,-0.8341291426212835,1.0,low(1/9),low(1/9),other,other,,
12,38,-0.8324001777365003,0.0,low(1/9),low(1/9),monochrome12,monochrome12,,
16,18,-0.7705530873443502,0.6470588235294118,low(1/9),mid(1/3),other,other,2,1
4,21,-0.752053500602778,1.0,low(1/9),mid(1/3),other,other,,
11,19,-0.7503604685158244,0.0196078431372549,low(1/9),low(1/9),other,rank_spread,,
25,27,-0.7327709571730969,0.6078431372549019,mid(1/3),mid(1/3),monochrome12,monochrome12,,
17,39,-0.7322812102149682,1.0,high(1),low(1/9),rank_spread,other,3,0
18,32,-0.6404578584810873,0.37254901960784315,mid(1/3),mid(1/3),other,other,1,2
3,32,-0.6351245853212173,0.37254901960784315,low(1/9),mid(1/3),other,other,1,2
2,35,-0.6127868654355564,0.6078431372549019,low(1/9),mid(1/3),rank_spread,other,,
19,35,-0.6079318525030337,0.0196078431372549,low(1/9),mid(1/3),rank_spread,other,,
8,17,-0.597998412220495,1.0,low(1/9),high(1),other,rank_spread,0,3
19,26,-0.5934167358956074,0.0196078431372549,low(1/9),low(1/9),rank_spread,rank_spread,,
2,26,-0.5858802027636892,0.6078431372549019,low(1/9),low(1/9),rank_spread,rank_spread,,
0,34,-0.5752619038351464,0.45098039215686275,low(1/9),mid(1/3),monochrome12,monochrome12,,
27,29,-0.48570884990306407,0.6666666666666666,mid(1/3),low(1/9),monochrome12,monochrome12,,
2,7,-0.46545835476730263,0.6078431372549019,low(1/9),low(1/9),rank_spread,rank_spread,,
18,23,-0.4503522778947913,0.9607843137254902,mid(1/3),low(1/9),other,rank_spread,1,2
6,20,-0.4399179643361011,0.6470588235294118,low(1/9),mid(1/3),rank_spread,other,0,3
2,11,-0.43003722558451185,0.6078431372549019,low(1/9),low(1/9),rank_spread,other,,
0,37,-0.41987125005692766,0.45098039215686275,low(1/9),low(1/9),monochrome12,monochrome12,,
1,4,-0.3754439284588736,1.0,mid(1/3),low(1/9),other,other,,
3,15,-0.34726624937329853,0.3333333333333333,low(1/9),low(1/9),other,rank_spread,1,1
2,36,-0.30930450710974183,0.5294117647058824,low(1/9),mid(1/3),rank_spread,other,,
12,29,-0.30262272644307514,0.2549019607843137,low(1/9),low(1/9),monochrome12,monochrome12,,
8,28,-0.28185613986922237,0.21568627450980393,low(1/9),mid(1/3),other,other,0,3
3,16,-0.279890053788622,0.6470588235294118,low(1/9),low(1/9),other,other,1,2
28,39,-0.23066157201384277,0.21568627450980393,mid(1/3),low(1/9),other,other,3,0
27,38,-0.21455400974955516,0.6078431372549019,mid(1/3),low(1/9),monochrome12,monochrome12,,
12,27,-0.21263379709685978,0.6078431372549019,low(1/9),mid(1/3),monochrome12,monochrome12,,
15,18,-0.18463716367362268,0.3333333333333333,low(1/9),mid(1/3),rank_spread,other,1,1
22,30,-0.16028591807482775,0.29411764705882354,low(1/9),low(1/9),other,rank_spread,0,0
14,22,-0.1489944693701495,0.29411764705882354,low(1/9),low(1/9),other,other,0,0
1,36,-0.1299095866789927,0.3137254901960784,mid(1/3),mid(1/3),other,other,,
7,21,-0.11671155351357261,0.0,low(1/9),mid(1/3),rank_spread,other,,
13,35,-0.08808394927356986,0.0,low(1/9),mid(1/3),other,other,,
4,13,-0.06188237960984912,1.0,low(1/9),low(1/9),other,other,,
12,33,-0.01819507342341422,0.45098039215686275,low(1/9),low(1/9),monochrome12,monochrome12,,
14,30,-0.014685757704161495,0.0,low(1/9),low(1/9),other,rank_spread,0,0
23,32,0.0064818491097615675,0.6666666666666666,low(1/9),mid(1/3),rank_spread,other,2,2
5,7,0.016141527739411337,0.0,low(1/9),low(1/9),other,rank_spread,,
13,26,0.018488907121240808,0.0,low(1/9),low(1/9),other,rank_spread,,
12,25,0.03650649245810395,0.0,low(1/9),mid(1/3),monochrome12,monochrome12,,
9,31,0.12877465203081878,0.45098039215686275,low(1/9),mid(1/3),monochrome12,monochrome12,,
9,24,0.13818001631649263,0.6274509803921569,low(1/9),low(1/9),monochrome12,monochrome12,,
1,11,0.144508282064484,0.0,mid(1/3),low(1/9),other,other,,
15,23,0.14954281007782458,0.6274509803921569,low(1/9),low(1/9),rank_spread,rank_spread,1,2
15,16,0.15567087156361414,0.43137254901960786,low(1/9),low(1/9),rank_spread,other,1,2
3,23,0.16447827904904003,0.9607843137254902,low(1/9),low(1/9),other,rank_spread,1,2
15,32,0.2275567670270691,0.39215686274509803,low(1/9),mid(1/3),rank_spread,other,1,2
7,19,0.2623957283958099,0.0196078431372549,low(1/9),low(1/9),rank_spread,rank_spread,,
11,13,0.35049388791609976,0.0,low(1/9),low(1/9),other,other,,
1,26,0.39656309653026545,0.0,mid(1/3),low(1/9),other,rank_spread,,
6,28,0.4742812845975106,0.47058823529411764,low(1/9),mid(1/3),rank_spread,other,0,3
16,32,0.4984329937228523,0.35294117647058826,low(1/9),mid(1/3),other,other,2,2
1,35,0.5035863507155278,0.0,mid(1/3),mid(1/3),other,other,,
8,20,0.5182651446372207,0.23529411764705882,low(1/9),mid(1/3),other,other,0,3
2,4,0.5423464713630436,0.39215686274509803,low(1/9),low(1/9),rank_spread,other,,
3,18,0.587161528217359,0.0,low(1/9),mid(1/3),other,other,1,1
16,23,0.5886245645185426,0.39215686274509803,low(1/9),low(1/9),other,rank_spread,2,2
13,36,0.5978436026934263,0.3137254901960784,low(1/9),mid(1/3),other,other,,
21,26,0.6021480102989625,0.0,mid(1/3),low(1/9),other,rank_spread,,
21,36,0.6341817001937089,0.3137254901960784,mid(1/3),mid(1/3),other,other,,
20,39,0.6486034172365319,0.23529411764705882,mid(1/3),low(1/9),other,other,3,0
21,35,0.6627891708345546,0.0,mid(1/3),mid(1/3),other,other,,
4,19,0.6932349209154006,0.9803921568627451,low(1/9),low(1/9),other,rank_spread,,
11,21,0.7325062532117489,0.0,low(1/9),mid(1/3),other,other,,
5,26,0.7562856008890251,0.0,low(1/9),low(1/9),other,rank_spread,,
27,33,0.7679979511756887,0.19607843137254902,mid(1/3),low(1/9),monochrome12,monochrome12,,
5,35,0.8144830371318045,0.0,low(1/9),mid(1/3),other,other,,
5,36,0.9040958627130047,0.3137254901960784,low(1/9),mid(1/3),other,other,,
6,17,0.9056677078615613,0.3137254901960784,low(1/9),high(1),rank_spread,rank_spread,0,3
1,7,0.9893912147675997,0.0,mid(1/3),low(1/9),other,rank_spread,,
5,11,1.0,0.0,low(1/9),low(1/9),other,other,,
