completion_class,count,mean,median
sec0_m2,6,0.0114899329522053,0.0071995306010554
sec1_m0,1,0.0113717331330282,0.0113717331330282
sec1_m1,1,0.0106318701935504,0.0106318701935504
sec1_m2,1,0.0125276636771933,0.0125276636771933
sec2_m0,1,0.0032006867810644,0.0032006867810644
sec2_m1,1,0.01023791022497,0.01023791022497
sec2_m2,1,0.0045513787770723,0.0045513787770723
sec3_m0,1,0.0004476633038704,0.0004476633038704
sec3_m1,1,0.0012889051225446,0.0012889051225446
sec3_m2,1,0.0003427119548401,0.0003427119548401
