auto_id,delta,pair_count,mean_abs_diff,median_abs_diff,max_abs_diff
0,0,15,0.0,0.0,0.0
1,0,15,0.005810212721530666,0.0018957934836428998,0.0260586793491824
2,0,15,0.005810212721530666,0.0018957934836428998,0.0260586793491824
9,0,9,0.0046233483960614885,0.002289753452223299,0.0165888965581694
10,0,9,0.004762465702070722,0.00015726939975860017,0.0260586793491824
11,0,9,0.0038265226385187446,0.0009461931677045,0.009469782791013001
3,1,15,0.008764191480907362,0.005686531447897701,0.028474821940683803
4,1,15,0.008764191480907362,0.005686531447897701,0.028474821940683803
5,1,12,0.004096642767684342,0.0,0.028579773289714103
6,1,8,0.009147805125020413,0.007150895461620949,0.0276335801220096
7,1,8,0.009167463799990238,0.006859598691761349,0.028579773289714103
8,1,8,0.008232284229079487,0.0049761386765088495,0.028474821940683803
