line_a,line_b,corr,corr_pct,abs_corr_pct,opp_rate,opp_pct
1,8,0.311174,0.672,0.390,1.000000,1.000
2,2,1.000000,1.000,1.000,0.000000,0.150
3,36,-0.302434,0.294,0.376,0.686275,0.801
4,22,0.127987,0.563,0.153,0.705882,0.801
5,39,-0.604317,0.137,0.722,1.000000,1.000
6,19,-0.837002,0.021,0.927,0.333333,0.350
7,15,-0.079953,0.437,0.104,0.666667,0.747
11,18,-0.815452,0.044,0.900,1.000000,1.000
13,21,0.406619,0.729,0.492,0.000000,0.150
14,35,0.353547,0.699,0.432,0.000000,0.150
16,28,0.501849,0.790,0.604,0.431373,0.494
17,23,0.768173,0.922,0.862,0.039216,0.191
20,32,-0.024656,0.464,0.049,0.450980,0.494
26,30,0.756286,0.913,0.849,0.000000,0.150
