rank,avg_mean_abs_delta,min_mean_abs_delta,max_mean_abs_delta,idx_set,w33_lines
1,0.012033,0.001289,0.028922,"[2, 3, 4, 5, 6, 10, 12, 13, 14, 17, 18, 21, 22, 23, 25]","[18, 15, 21, 36, 7, 26, 32, 19, 35, 1, 39, 22, 8, 17, 14]"
2,0.011405,0.000448,0.028922,"[1, 4, 6, 7, 8, 10, 12, 13, 14, 16, 18, 19, 20, 22, 25]","[11, 21, 7, 3, 13, 26, 32, 19, 35, 23, 39, 28, 30, 8, 14]"
3,0.011331,0.002864,0.028922,"[2, 3, 7, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 22, 26]","[18, 15, 3, 5, 26, 16, 32, 19, 35, 4, 23, 1, 39, 8, 6]"
4,0.011282,0.000448,0.028922,"[1, 2, 4, 6, 7, 10, 12, 13, 16, 17, 18, 19, 22, 23, 25]","[11, 18, 21, 7, 3, 26, 32, 19, 23, 1, 39, 28, 8, 17, 14]"
5,0.011226,0.001289,0.028922,"[2, 3, 4, 5, 7, 10, 12, 13, 14, 15, 18, 21, 22, 23, 26]","[18, 15, 21, 36, 3, 26, 32, 19, 35, 4, 39, 22, 8, 17, 6]"
6,0.010584,0.000343,0.028922,"[2, 3, 4, 5, 8, 10, 12, 13, 14, 16, 18, 21, 22, 23, 24]","[18, 15, 21, 36, 13, 26, 32, 19, 35, 23, 39, 22, 8, 17, 20]"
7,0.010483,0.000448,0.028922,"[1, 4, 5, 6, 7, 10, 11, 12, 13, 16, 18, 19, 22, 25, 26]","[11, 21, 36, 7, 3, 26, 16, 32, 19, 23, 39, 28, 8, 14, 6]"
8,0.010396,0.000343,0.028922,"[2, 3, 6, 7, 8, 10, 14, 15, 16, 17, 18, 22, 24, 25, 26]","[18, 15, 7, 3, 13, 26, 35, 4, 23, 1, 39, 8, 20, 14, 6]"
9,0.010316,0.000343,0.028922,"[0, 5, 6, 7, 8, 10, 12, 13, 14, 17, 18, 19, 20, 22, 24]","[2, 36, 7, 3, 13, 26, 32, 19, 35, 1, 39, 28, 30, 8, 20]"
10,0.010300,0.001609,0.028922,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 13, 17, 18, 22, 26]","[2, 11, 18, 15, 21, 36, 7, 3, 13, 5, 19, 1, 39, 8, 6]"
11,0.010201,0.002864,0.028922,"[1, 5, 6, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 22, 26]","[11, 36, 7, 5, 26, 16, 32, 19, 35, 4, 23, 1, 39, 8, 6]"
12,0.010089,0.001609,0.028922,"[0, 4, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 22, 26]","[2, 21, 13, 5, 26, 16, 32, 19, 35, 4, 23, 1, 39, 8, 6]"
13,0.010015,0.001609,0.028922,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 10, 14, 15, 18, 22, 26]","[2, 11, 18, 15, 21, 36, 7, 3, 13, 26, 35, 4, 39, 8, 6]"
14,0.009918,0.000448,0.028922,"[0, 2, 4, 6, 8, 9, 13, 14, 16, 17, 18, 19, 21, 22, 26]","[2, 18, 21, 7, 13, 5, 19, 35, 23, 1, 39, 28, 22, 8, 6]"
15,0.009834,0.001289,0.028922,"[1, 3, 4, 5, 6, 9, 12, 13, 14, 17, 20, 21, 22, 23, 25]","[11, 15, 21, 36, 7, 5, 32, 19, 35, 1, 30, 22, 8, 17, 14]"
16,0.009787,0.000343,0.028922,"[0, 2, 5, 7, 8, 10, 12, 13, 16, 17, 18, 20, 21, 22, 24]","[2, 18, 36, 3, 13, 26, 32, 19, 23, 1, 39, 30, 22, 8, 20]"
17,0.009685,0.000448,0.028922,"[0, 1, 3, 6, 8, 11, 13, 14, 15, 17, 18, 19, 22, 23, 25]","[2, 11, 15, 7, 13, 16, 19, 35, 4, 1, 39, 28, 8, 17, 14]"
