elem_index,m00,m01,m02,m10,m11,m12,m20,m21,m22
0,0,0,2,1,1,1,0,2,0
1,0,0,1,1,0,0,2,2,2
2,2,0,0,0,2,0,0,0,2
3,0,0,2,1,1,1,2,0,0
4,0,0,1,0,1,0,1,0,0
5,1,1,1,0,0,2,0,2,0
6,2,2,2,1,0,0,0,1,0
7,0,1,0,0,0,1,1,0,0
8,0,0,2,2,0,0,1,1,1
9,0,0,2,0,2,0,2,0,0
10,0,0,1,0,1,0,2,2,2
11,1,1,1,2,0,0,0,2,0
12,1,0,0,0,0,1,0,1,0
13,2,2,2,1,0,0,0,0,1
14,0,2,0,2,0,0,0,0,2
15,2,0,0,1,1,1,0,0,2
16,0,1,0,2,2,2,0,0,1
17,0,1,0,1,0,0,0,0,1
18,1,1,1,2,0,0,0,0,2
19,2,2,2,0,0,1,0,1,0
20,2,0,0,0,0,2,0,2,0
21,0,1,0,2,2,2,1,0,0
22,1,1,1,0,0,2,2,0,0
23,2,0,0,1,1,1,0,2,0
24,0,0,1,1,0,0,0,1,0
25,0,2,0,0,0,2,2,0,0
26,1,0,0,2,2,2,0,0,1
27,1,1,1,0,2,0,2,0,0
28,1,0,0,0,1,0,0,0,1
29,1,0,0,0,0,1,2,2,2
30,0,1,0,0,0,1,2,2,2
31,1,0,0,0,1,0,2,2,2
32,0,0,1,2,2,2,0,1,0
33,0,1,0,1,0,0,2,2,2
34,0,2,0,2,0,0,1,1,1
35,2,2,2,0,1,0,1,0,0
36,2,0,0,0,2,0,1,1,1
37,0,2,0,0,0,2,1,1,1
38,0,2,0,1,1,1,0,0,2
39,2,2,2,0,1,0,0,0,1
40,0,0,2,0,2,0,1,1,1
41,2,2,2,0,0,1,1,0,0
42,0,0,2,2,0,0,0,2,0
43,1,0,0,2,2,2,0,1,0
44,0,0,1,2,2,2,1,0,0
45,2,0,0,0,0,2,1,1,1
46,0,2,0,1,1,1,2,0,0
47,1,1,1,0,2,0,0,0,2
