elem_index,perm,perm_order,sign
0,"(3, 2, 0, 1)",4,-1
1,"(1, 3, 0, 2)",4,1
2,"(0, 1, 2, 3)",1,-1
3,"(2, 3, 0, 1)",2,-1
4,"(2, 1, 0, 3)",2,1
5,"(3, 2, 1, 0)",2,-1
6,"(1, 2, 3, 0)",4,1
7,"(2, 0, 1, 3)",3,1
8,"(1, 3, 0, 2)",4,-1
9,"(2, 1, 0, 3)",2,-1
10,"(3, 1, 0, 2)",3,1
11,"(1, 2, 3, 0)",4,-1
12,"(0, 2, 1, 3)",2,1
13,"(1, 3, 2, 0)",3,1
14,"(1, 0, 2, 3)",2,-1
15,"(0, 3, 2, 1)",2,-1
16,"(3, 0, 2, 1)",3,1
17,"(1, 0, 2, 3)",2,1
18,"(1, 3, 2, 0)",3,-1
19,"(3, 2, 1, 0)",2,1
20,"(0, 2, 1, 3)",2,-1
21,"(2, 0, 3, 1)",4,1
22,"(2, 3, 1, 0)",4,-1
23,"(0, 2, 3, 1)",3,-1
24,"(1, 2, 0, 3)",3,1
25,"(2, 0, 1, 3)",3,-1
26,"(0, 3, 2, 1)",2,1
27,"(2, 1, 3, 0)",3,-1
28,"(0, 1, 2, 3)",1,1
29,"(0, 3, 1, 2)",3,1
30,"(3, 0, 1, 2)",4,1
31,"(0, 1, 3, 2)",2,1
32,"(3, 2, 0, 1)",4,1
33,"(1, 0, 3, 2)",2,1
34,"(1, 0, 3, 2)",2,-1
35,"(2, 1, 3, 0)",3,1
36,"(0, 1, 3, 2)",2,-1
37,"(3, 0, 1, 2)",4,-1
38,"(3, 0, 2, 1)",3,-1
39,"(3, 1, 2, 0)",2,1
40,"(3, 1, 0, 2)",3,-1
41,"(2, 3, 1, 0)",4,1
42,"(1, 2, 0, 3)",3,-1
43,"(0, 2, 3, 1)",3,1
44,"(2, 3, 0, 1)",2,1
45,"(0, 3, 1, 2)",3,-1
46,"(2, 0, 3, 1)",4,-1
47,"(3, 1, 2, 0)",2,-1
