elem_index,b_perm,sign
0,"(2, 0, 3, 1)",-1
1,"(3, 2, 0, 1)",1
2,"(0, 1, 2, 3)",-1
3,"(2, 3, 0, 1)",-1
4,"(0, 3, 2, 1)",1
5,"(1, 0, 3, 2)",-1
6,"(1, 2, 3, 0)",1
7,"(0, 3, 1, 2)",1
8,"(3, 2, 0, 1)",-1
9,"(0, 3, 2, 1)",-1
10,"(3, 0, 2, 1)",1
11,"(1, 2, 3, 0)",-1
12,"(0, 1, 3, 2)",1
13,"(1, 2, 0, 3)",1
14,"(0, 2, 1, 3)",-1
15,"(2, 1, 0, 3)",-1
16,"(2, 0, 1, 3)",1
17,"(0, 2, 1, 3)",1
18,"(1, 2, 0, 3)",-1
19,"(1, 0, 3, 2)",1
20,"(0, 1, 3, 2)",-1
21,"(2, 3, 1, 0)",1
22,"(1, 3, 0, 2)",-1
23,"(2, 1, 3, 0)",-1
24,"(0, 2, 3, 1)",1
25,"(0, 3, 1, 2)",-1
26,"(2, 1, 0, 3)",1
27,"(1, 3, 2, 0)",-1
28,"(0, 1, 2, 3)",1
29,"(3, 1, 0, 2)",1
30,"(3, 0, 1, 2)",1
31,"(3, 1, 2, 0)",1
32,"(2, 0, 3, 1)",1
33,"(3, 2, 1, 0)",1
34,"(3, 2, 1, 0)",-1
35,"(1, 3, 2, 0)",1
36,"(3, 1, 2, 0)",-1
37,"(3, 0, 1, 2)",-1
38,"(2, 0, 1, 3)",-1
39,"(1, 0, 2, 3)",1
40,"(3, 0, 2, 1)",-1
41,"(1, 3, 0, 2)",1
42,"(0, 2, 3, 1)",-1
43,"(2, 1, 3, 0)",1
44,"(2, 3, 0, 1)",1
45,"(3, 1, 0, 2)",-1
46,"(2, 3, 1, 0)",-1
47,"(1, 0, 2, 3)",-1
