t0,t1,t2,t3,perm_cycles
0,0,0,0,
0,0,1,1,(0 1 2) (3 4 5) (6 7 8) (9 10 11) (12 13 14) (15 16 17) (18 19 20) (21 22 23) (24 25 26)
0,0,2,2,(0 2 1) (3 5 4) (6 8 7) (9 11 10) (12 14 13) (15 17 16) (18 20 19) (21 23 22) (24 26 25)
0,1,0,1,(0 3 6) (1 4 7) (2 5 8) (9 12 15) (10 13 16) (11 14 17) (18 21 24) (19 22 25) (20 23 26)
0,1,1,2,(0 4 8) (1 5 6) (2 3 7) (9 13 17) (10 14 15) (11 12 16) (18 22 26) (19 23 24) (20 21 25)
0,1,2,0,(0 5 7) (1 3 8) (2 4 6) (9 14 16) (10 12 17) (11 13 15) (18 23 25) (19 21 26) (20 22 24)
0,2,0,2,(0 6 3) (1 7 4) (2 8 5) (9 15 12) (10 16 13) (11 17 14) (18 24 21) (19 25 22) (20 26 23)
0,2,1,0,(0 7 5) (1 8 3) (2 6 4) (9 16 14) (10 17 12) (11 15 13) (18 25 23) (19 26 21) (20 24 22)
0,2,2,1,(0 8 4) (1 6 5) (2 7 3) (9 17 13) (10 15 14) (11 16 12) (18 26 22) (19 24 23) (20 25 21)
1,0,0,2,(0 9 18) (1 10 19) (2 11 20) (3 12 21) (4 13 22) (5 14 23) (6 15 24) (7 16 25) (8 17 26)
1,0,1,0,(0 10 20) (1 11 18) (2 9 19) (3 13 23) (4 14 21) (5 12 22) (6 16 26) (7 17 24) (8 15 25)
1,0,2,1,(0 11 19) (1 9 20) (2 10 18) (3 14 22) (4 12 23) (5 13 21) (6 17 25) (7 15 26) (8 16 24)
1,1,0,0,(0 12 24) (1 13 25) (2 14 26) (3 15 18) (4 16 19) (5 17 20) (6 9 21) (7 10 22) (8 11 23)
1,1,1,1,(0 13 26) (1 14 24) (2 12 25) (3 16 20) (4 17 18) (5 15 19) (6 10 23) (7 11 21) (8 9 22)
1,1,2,2,(0 14 25) (1 12 26) (2 13 24) (3 17 19) (4 15 20) (5 16 18) (6 11 22) (7 9 23) (8 10 21)
1,2,0,1,(0 15 21) (1 16 22) (2 17 23) (3 9 24) (4 10 25) (5 11 26) (6 12 18) (7 13 19) (8 14 20)
1,2,1,2,(0 16 23) (1 17 21) (2 15 22) (3 10 26) (4 11 24) (5 9 25) (6 13 20) (7 14 18) (8 12 19)
1,2,2,0,(0 17 22) (1 15 23) (2 16 21) (3 11 25) (4 9 26) (5 10 24) (6 14 19) (7 12 20) (8 13 18)
2,0,0,1,(0 18 9) (1 19 10) (2 20 11) (3 21 12) (4 22 13) (5 23 14) (6 24 15) (7 25 16) (8 26 17)
2,0,1,2,(0 19 11) (1 20 9) (2 18 10) (3 22 14) (4 23 12) (5 21 13) (6 25 17) (7 26 15) (8 24 16)
2,0,2,0,(0 20 10) (1 18 11) (2 19 9) (3 23 13) (4 21 14) (5 22 12) (6 26 16) (7 24 17) (8 25 15)
2,1,0,2,(0 21 15) (1 22 16) (2 23 17) (3 24 9) (4 25 10) (5 26 11) (6 18 12) (7 19 13) (8 20 14)
2,1,1,0,(0 22 17) (1 23 15) (2 21 16) (3 25 11) (4 26 9) (5 24 10) (6 19 14) (7 20 12) (8 18 13)
2,1,2,1,(0 23 16) (1 21 17) (2 22 15) (3 26 10) (4 24 11) (5 25 9) (6 20 13) (7 18 14) (8 19 12)
2,2,0,0,(0 24 12) (1 25 13) (2 26 14) (3 18 15) (4 19 16) (5 20 17) (6 21 9) (7 22 10) (8 23 11)
2,2,1,1,(0 25 14) (1 26 12) (2 24 13) (3 19 17) (4 20 15) (5 18 16) (6 22 11) (7 23 9) (8 21 10)
2,2,2,2,(0 26 13) (1 24 14) (2 25 12) (3 20 16) (4 18 17) (5 19 15) (6 23 10) (7 21 11) (8 22 9)
