mu,lambda,side,winner_by_stability,winner_quartet,sum_m_mod3,sigma_product_inferred
0.75,0.425,L-,22,sec0_m2 sec1_m0 sec2_m2 sec3_m0,1,-1
0.75,0.445,L+,8,sec0_m2 sec1_m0 sec2_m0 sec3_m2,1,-1
0.75,0.48,R-,8,sec0_m2 sec1_m0 sec2_m0 sec3_m2,1,-1
0.75,0.5,R+,17,sec0_m2 sec1_m0 sec2_m1 sec3_m1,1,-1
1.25,0.4599999999999999,L-,22,sec0_m2 sec1_m0 sec2_m2 sec3_m0,1,-1
1.25,0.48,L+,8,sec0_m2 sec1_m0 sec2_m0 sec3_m2,1,-1
1.25,0.505,R-,8,sec0_m2 sec1_m0 sec2_m0 sec3_m2,1,-1
1.25,0.525,R+,17,sec0_m2 sec1_m0 sec2_m1 sec3_m1,1,-1
1.75,0.485,L-,22,sec0_m2 sec1_m0 sec2_m2 sec3_m0,1,-1
1.75,0.505,L+,8,sec0_m2 sec1_m0 sec2_m0 sec3_m2,1,-1
1.75,0.53,R-,8,sec0_m2 sec1_m0 sec2_m0 sec3_m2,1,-1
1.75,0.55,R+,17,sec0_m2 sec1_m0 sec2_m1 sec3_m1,1,-1
