node,degree,count_sum0,count_sum1,count_sum2,count_e,count_e*,count_012,count_021,signature
0,5,2,0,3,1,1,0,3,5 2 0 3 1 1 0 3
1,5,2,3,0,2,0,3,0,5 2 3 0 2 0 3 0
2,4,2,0,2,2,0,0,2,4 2 0 2 2 0 0 2
3,3,1,2,0,1,0,2,0,3 1 2 0 1 0 2 0
4,4,2,1,1,2,0,1,1,4 2 1 1 2 0 1 1
5,4,1,2,1,1,0,2,1,4 1 2 1 1 0 2 1
6,6,1,0,5,1,0,0,5,6 1 0 5 1 0 0 5
7,3,2,0,1,2,0,0,1,3 2 0 1 2 0 0 1
8,3,1,2,0,1,0,2,0,3 1 2 0 1 0 2 0
9,4,3,0,1,3,0,0,1,4 3 0 1 3 0 0 1
10,3,3,0,0,2,1,0,0,3 3 0 0 2 1 0 0
11,4,2,1,1,2,0,1,1,4 2 1 1 2 0 1 1
12,3,2,1,0,1,1,1,0,3 2 1 0 1 1 1 0
13,6,3,2,1,3,0,2,1,6 3 2 1 3 0 2 1
14,3,0,2,1,0,0,2,1,3 0 2 1 0 0 2 1
15,5,3,2,0,3,0,2,0,5 3 2 0 3 0 2 0
16,5,4,1,0,4,0,1,0,5 4 1 0 4 0 1 0
17,3,1,1,1,1,0,1,1,3 1 1 1 1 0 1 1
18,4,2,2,0,2,0,2,0,4 2 2 0 2 0 2 0
19,5,3,1,1,3,0,1,1,5 3 1 1 3 0 1 1
20,6,2,2,2,1,1,2,2,6 2 2 2 1 1 2 2
21,3,2,0,1,2,0,0,1,3 2 0 1 2 0 0 1
22,4,2,2,0,2,0,2,0,4 2 2 0 2 0 2 0
23,5,3,2,0,3,0,2,0,5 3 2 0 3 0 2 0
24,6,4,0,2,4,0,0,2,6 4 0 2 4 0 0 2
25,5,3,1,1,3,0,1,1,5 3 1 1 3 0 1 1
26,5,4,0,1,3,1,0,1,5 4 0 1 3 1 0 1
27,5,3,0,2,1,2,0,2,5 3 0 2 1 2 0 2
28,3,1,2,0,1,0,2,0,3 1 2 0 1 0 2 0
29,4,4,0,0,4,0,0,0,4 4 0 0 4 0 0 0
30,5,4,1,0,4,0,1,0,5 4 1 0 4 0 1 0
31,3,2,0,1,2,0,0,1,3 2 0 1 2 0 0 1
32,5,2,2,1,2,0,2,1,5 2 2 1 2 0 2 1
33,4,2,1,1,2,0,1,1,4 2 1 1 2 0 1 1
34,6,4,1,1,4,0,1,1,6 4 1 1 4 0 1 1
35,5,2,2,1,2,0,2,1,5 2 2 1 2 0 2 1
36,3,1,1,1,1,0,1,1,3 1 1 1 1 0 1 1
37,3,2,0,1,2,0,0,1,3 2 0 1 2 0 0 1
38,6,3,2,1,3,0,2,1,6 3 2 1 3 0 2 1
39,3,1,1,1,1,0,1,1,3 1 1 1 1 0 1 1
40,5,2,3,0,2,0,3,0,5 2 3 0 2 0 3 0
41,5,3,2,0,3,0,2,0,5 3 2 0 3 0 2 0
42,4,2,1,1,2,0,1,1,4 2 1 1 2 0 1 1
43,3,1,1,1,1,0,1,1,3 1 1 1 1 0 1 1
44,5,3,1,1,3,0,1,1,5 3 1 1 3 0 1 1
45,4,2,0,2,1,1,0,2,4 2 0 2 1 1 0 2
46,3,1,0,2,1,0,0,2,3 1 0 2 1 0 0 2
47,5,3,2,0,3,0,2,0,5 3 2 0 3 0 2 0
48,4,2,0,2,2,0,0,2,4 2 0 2 2 0 0 2
49,3,1,2,0,1,0,2,0,3 1 2 0 1 0 2 0
50,5,2,1,2,2,0,1,2,5 2 1 2 2 0 1 2
51,3,2,0,1,2,0,0,1,3 2 0 1 2 0 0 1
52,5,4,0,1,4,0,0,1,5 4 0 1 4 0 0 1
53,5,3,1,1,3,0,1,1,5 3 1 1 3 0 1 1
54,5,3,1,1,3,0,1,1,5 3 1 1 3 0 1 1
55,3,2,1,0,2,0,1,0,3 2 1 0 2 0 1 0
56,6,5,1,0,5,0,1,0,6 5 1 0 5 0 1 0
57,3,1,0,2,1,0,0,2,3 1 0 2 1 0 0 2
58,3,1,2,0,1,0,2,0,3 1 2 0 1 0 2 0
