hyper_idx,hyper_pattern,preserved_matching_id,preserved_pattern
0,"(0, 1, 3)",0,"(0, 1, 5)"
1,"(0, 1, 3)",1,"(1, 2, 3)"
2,"(0, 2, 2)",4,"(0, 1, 5)"
3,"(0, 1, 3)",6,"(0, 1, 5)"
4,"(1, 1, 2)",13,"(0, 1, 5)"
5,"(1, 1, 2)",16,"(1, 1, 4)"
6,"(0, 2, 2)",18,"(0, 1, 5)"
7,"(1, 1, 2)",19,"(1, 1, 4)"
8,"(0, 2, 2)",20,"(1, 2, 3)"
9,"(0, 0, 4)",22,"(1, 1, 4)"
10,"(1, 1, 2)",23,"(0, 1, 5)"
11,"(1, 1, 2)",24,"(1, 1, 4)"
12,"(1, 1, 2)",25,"(1, 1, 4)"
13,"(0, 1, 3)",26,"(0, 0, 6)"
14,"(1, 1, 2)",27,"(0, 2, 4)"
15,"(1, 1, 2)",32,"(1, 1, 4)"
16,"(1, 1, 2)",34,"(1, 1, 4)"
17,"(0, 1, 3)",35,"(0, 0, 6)"
18,"(0, 1, 3)",38,"(1, 1, 4)"
19,"(0, 2, 2)",40,"(1, 2, 3)"
20,"(0, 1, 3)",41,"(1, 1, 4)"
21,"(0, 2, 2)",47,"(1, 1, 4)"
22,"(0, 2, 2)",48,"(1, 1, 4)"
23,"(1, 1, 2)",52,"(0, 1, 5)"
24,"(0, 1, 3)",53,"(0, 1, 5)"
25,"(1, 1, 2)",54,"(1, 1, 4)"
26,"(1, 1, 2)",56,"(1, 1, 4)"
