group,elem_index,order,fixed_points,cycle_type
preserved27,0,1,27,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
preserved27,1,2,7,1 1 1 1 1 1 1 2 2 2 2 2 2 2 2 2 2
preserved27,2,2,7,1 1 1 1 1 1 1 2 2 2 2 2 2 2 2 2 2
preserved27,3,2,7,1 1 1 1 1 1 1 2 2 2 2 2 2 2 2 2 2
preserved27,4,2,3,1 1 1 2 2 2 2 2 2 2 2 2 2 2 2
preserved27,5,2,3,1 1 1 2 2 2 2 2 2 2 2 2 2 2 2
preserved27,6,4,1,1 2 2 2 4 4 4 4 4
preserved27,7,4,1,1 2 2 2 4 4 4 4 4
hyperplane_D8,0,4,1,1 2 4 4 4 4 4 4
hyperplane_D8,1,2,3,1 1 1 2 2 2 2 2 2 2 2 2 2 2 2
hyperplane_D8,2,1,27,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
hyperplane_D8,3,2,9,1 1 1 1 1 1 1 1 1 2 2 2 2 2 2 2 2 2
hyperplane_D8,4,2,3,1 1 1 2 2 2 2 2 2 2 2 2 2 2 2
hyperplane_D8,5,2,3,1 1 1 2 2 2 2 2 2 2 2 2 2 2 2
hyperplane_D8,6,2,9,1 1 1 1 1 1 1 1 1 2 2 2 2 2 2 2 2 2
hyperplane_D8,7,4,1,1 2 4 4 4 4 4 4
