group,orbit_size,rep,rep_label,stabilizer_size,class_counts
preserved27,8,0,0,1,{'id': 1}
preserved27,4,1,1,2,"{'id': 1, 'reflect_5': 1}"
preserved27,4,2,4,2,"{'id': 1, 'center': 1}"
preserved27,4,4,13,2,"{'id': 1, 'reflect_0': 1}"
preserved27,4,5,16,2,"{'id': 1, 'reflect_5': 1}"
preserved27,2,3,6,4,"{'id': 1, 'reflect_5': 2, 'center': 1}"
preserved27,1,18,38,8,"{'id': 1, 'reflect_5': 2, 'center': 1, 'reflect_0': 2, 'order4': 2}"
hyperplane_D8,8,5,5,1,{'id': 1}
hyperplane_D8,4,0,0,2,"{'id': 1, 'reflect_5': 1}"
hyperplane_D8,4,1,1,2,"{'id': 1, 'reflect_2': 1}"
hyperplane_D8,4,7,7,2,"{'id': 1, 'reflect_5': 1}"
hyperplane_D8,4,13,13,2,"{'id': 1, 'reflect_5': 1}"
hyperplane_D8,2,3,3,4,"{'id': 1, 'reflect_5': 2, 'center': 1}"
hyperplane_D8,1,17,17,8,"{'order4': 2, 'reflect_2': 2, 'id': 1, 'reflect_5': 2, 'center': 1}"
