line_id,m_tuple,pred_mean_abs_delta,actual_mean_abs_delta,abs_error
8,2 0 0 2,0.015981339133087802,0.0289224852445541,0.012941146111466299
19,1 2 2 2,0.019258567403701396,0.0235278098476281,0.004269242443926704
39,2 2 2 1,0.009844206847982664,0.0194527024535411,0.009608495605558435
35,1 2 0 1,0.012005547364533206,0.0154435083393667,0.0034379609748334938
26,1 1 2 0,0.004367611169149961,0.0125386202470556,0.00817100907790564
3,0 2 1 1,0.006950472183358813,0.0125276636771933,0.005577191493834487
18,0 0 2 2,0.007062871040855813,0.0113717331330282,0.004308862092172387
7,0 2 0 2,0.012375633525555972,0.0112690323964941,0.0011066011290618728
14,2 1 0 1,0.0056446252705888,0.0109402488846983,0.0052956236141095
15,0 1 0 0,0.003803825797323852,0.0106318701935503,0.0068280443962264485
21,0 1 1 2,0.012333459671861967,0.0104463954959792,0.0018870641758827675
32,1 2 1 0,0.007490010764791948,0.01023791022497,0.0027478994601780526
1,1 0 0 0,0.011983330446667002,0.0082553496912363,0.003727980755430703
23,1 0 2 1,0.0071861218672873975,0.0045513787770722,0.0026347430902151974
13,0 2 2 0,0.01405187764784396,0.0038460383048055,0.01020583934303846
5,1 1 1 1,0.003980749768523717,0.0034588123174124,0.0005219374511113172
11,0 0 1 0,0.0004620763421171371,0.0034588123174124,0.002996735975295263
30,2 2 1 2,0.009060528994569148,0.0034588123174124,0.005601716677156747
22,2 0 2 0,0.003453752436655755,0.0033015429176537,0.0001522095190020548
16,1 1 0 2,0.00979328245622199,0.0032006867810643,0.00659259567515769
4,1 0 1 2,0.00809625655461817,0.0029765083629197,0.00511974819169847
6,2 1 1 0,0.008231004080207556,0.0028638058953718,0.005367198184835756
36,0 1 2 1,0.004321409575171179,0.0028638058953718,0.0014576036797993791
2,0 0 0 1,0.006671425482602684,0.0016091061982512,0.005062319284351484
17,2 0 1 1,0.0034542623815306227,0.0012889051225445,0.0021653572589861226
28,2 2 0 0,0.007779840946447208,0.0004476633038703,0.007332177642576908
20,2 1 2 2,0.007582852952530058,0.0003427119548401,0.0072401409976899575
