line_id,missing_sector,completion_class,tomotope_triangle,sum1_m_tuple,sum1_mean_abs_delta,sum2_m_tuple,sum2_pred_mean_abs_delta,sum0_m_tuple,sum0_pred_mean_abs_delta
6,0,sec0_m2,"(3,-1)","(2, 1, 1, 0)",0.0028638058953718904,"(0, 2, 1, 2)",0.012038493607352202,"(1, 2, 0, 0)",0.011105204909945291
8,0,sec0_m2,"(2,-3)","(2, 0, 0, 2)",0.02892248524455424,"(0, 1, 0, 1)",0.004157470706886125,"(1, 1, 2, 2)",0.007680142265784732
14,0,sec0_m2,"(3,-2)","(2, 1, 0, 1)",0.010940248884698443,"(0, 1, 2, 2)",0.009848130718294027,"(1, 0, 0, 2)",0.01679131529336156
22,0,sec0_m2,"(1,-3)","(2, 0, 2, 0)",0.0033015429176538303,"(0, 0, 1, 1)",0.0012544209708088656,"(1, 2, 2, 1)",0.014972271767685992
30,0,sec0_m2,"(2,-1)","(2, 2, 1, 2)",0.003458812317412455,"(0, 2, 0, 0)",0.00880807418596886,"(1, 1, 1, 0)",0.004575861063995589
39,0,sec0_m2,"(1,-2)","(2, 2, 2, 1)",0.01945270245354121,"(0, 0, 2, 0)",0.0030566119821392405,"(1, 0, 1, 1)",0.0023145071685429807
3,1,sec1_m2,"(3,-4)","(0, 2, 1, 1)",0.012527663677193357,"(1, 2, 2, 0)",0.016590754130129705,"(2, 0, 1, 0)",0.002710927891857614
15,1,sec1_m1,"(3,-3)","(0, 1, 0, 0)",0.010631870193550426,"(1, 1, 1, 2)",0.010407216977661986,"(2, 2, 0, 2)",0.011249380007996882
18,1,sec1_m0,"(4,-3)","(0, 0, 2, 2)",0.011371733133028266,"(1, 0, 0, 1)",0.013528390724317996,"(2, 1, 2, 1)",0.0021051419484259307
16,2,sec2_m0,"(4,-1)","(1, 1, 0, 2)",0.0032006867810644326,"(2, 1, 0, 2)",0.011547704238191276,"(0, 1, 0, 2)",0.008016102959974049
23,2,sec2_m2,"(1,-4)","(1, 0, 2, 1)",0.004551378777072315,"(2, 0, 2, 1)",0.004622454889827116,"(0, 0, 2, 1)",0.002180867720796046
32,2,sec2_m1,"(1,-1)","(1, 2, 1, 0)",0.010237910224970097,"(2, 2, 1, 0)",0.006016357896517824,"(0, 2, 1, 0)",0.006802845377730164
17,3,sec3_m1,"(2,-4)","(2, 0, 1, 1)",0.0012889051225446393,"(0, 2, 2, 1)",0.01462487241697096,"(1, 0, 2, 0)",0.006066429553134757
20,3,sec3_m2,"(4,-2)","(2, 1, 2, 2)",0.00034271195484016217,"(0, 0, 0, 2)",0.011978796766160801,"(1, 1, 0, 1)",0.003792183210582072
28,3,sec3_m0,"(2,-2)","(2, 2, 0, 0)",0.00044766330387043,"(0, 1, 1, 0)",0.008546550472710124,"(1, 2, 1, 2)",0.010583192001861991
