aut_index,perm,comm_norm
0,(),0.0
1,"(0,6)",31.496031496047245
2,"(17,23)",31.496031496047245
3,"(11,17)",31.496031496047245
4,"(5,11)",31.496031496047245
5,"(16,22)",31.496031496047245
6,"(10,16)",31.496031496047245
7,"(4,10)",31.496031496047245
9,"(21,15)",31.496031496047245
10,"(9,21)",31.496031496047245
11,"(3,9)",31.496031496047245
13,"(20,14)",31.496031496047245
15,"(2,8)",31.496031496047245
14,"(8,20)",31.496031496047245
18,"(13,19)",31.496031496047245
17,"(19,7)",31.496031496047245
22,"(12,18)",31.496031496047245
21,"(18,0)",31.496031496047245
19,"(1,13)",31.496031496047245
8,"(4,5)(10,11)(16,17)(22,23)",59.19459434779497
12,"(3,4)(9,10)(21,16)(22,15)",59.19459434779497
16,"(2,3)(8,9)(20,21)(14,15)",59.19459434779497
20,"(1,2)(13,8)(19,20)(7,14)",59.19459434779497
23,"(12,1)(18,13)(19,0)(6,7)",59.19459434779497
177,"(12,2,22,0,14,4,6,8,10,18,20,16)(1,3,17)(13,15,11,7,21,5,19,9,23)",64.06246951218786
167,"(12,3,18,15)(1,4,19,16,13,10,7,22)(2,8)(9,6,21,0)(5,17,11)",67.05221845696084
84,"(12,8,10)(18,20,22,0,14,16)(1,9,23,13,15,11)(19,21,17)(2,4,6)(3,5,7)",70.42726744663604
29,"(12,2,21,13,17,16,18,8,15,1,11,10)(19,5,22,0,14,3)(20,9,7,23,4,6)",70.8801805866774
150,"(12,21)(18,3)(1,14,5,19,2,23,13,8,17)(20,11,7)(9,0)(4,16)(6,15)",70.8801805866774
181,"(12,15,6,9,0,21)(18,3)(1,4)(13,16,19,22)(2,11)(8,17,14,23)(20,5)(10,7)",71.83313998427188
33,"(12,7,23,18,13,5,0,1,11)(19,17,6)(2,3,8,9)(20,15,14,21)(10,22,16)",72.27724399837061
52,"(12,11,18,17)(1,7,13)(2,14,8)(3,9,21,15)(4,16,22,10)(5,6,23,0)",72.49827584156743
49,"(12,3,2,11,18,15,14,5,0,9,8,23,6,21,20,17)(1,19,7)(4,16,22)",72.49827584156743
95,"(12,18,0,6)(1,15,10)(13,21,22)(19,3,16,7,9,4)(8,14,20)(5,17,11)",72.49827584156743
169,"(12,15,5,16,6,3,11,4)(18,21,17,22)(1,19)(2,20,14)(9,23,10,0)",72.49827584156743
165,"(12,8,10,5,9,7,0,2,4,23,3,1,18,20,16,11,21,13)(19,6,14,22,17,15)",72.49827584156743
87,"(12,14,9,19,6,2,21,13,18,8,3,7,0,20,15,1)(10,22)(5,17,23)",72.49827584156743
50,"(12,16,1,3,5,14,0,4,13,21,11,20,18,22,7,9,23,8)(19,15,17,2,6,10)",72.49827584156743
43,"(12,15)(18,3,6,21,0,9)(1,22,19,10,13,4)(2,23,14,17)(8,5,20,11)(16,7)",72.77362159464101
80,"(12,11,13,6,5,1)(18,23,7)(19,0,17)(2,4,15)(8,16,21,14,10,9,20,22,3)",73.2120208708925
138,"(12,5,8,9,0,11,20,21,18,17,14,15,6,23,2,3)(1,16)(13,4)(19,22)(10,7)",73.2120208708925
153,"(12,19,2,21,16)(18,13,8,15,22)(1,14,3,10,0,7,20,9,4,6)(5,11,23,17)",73.2120208708925
38,"(12,17,1,4,0,5,19,10,18,23,13,16,6,11,7,22)(2,15,8,3)(20,9,14,21)",73.64781055808787
105,"(12,23,22,19,21,20,18,17,4,1,9,8)(13,3,2,6,11,16,7,15,14,0,5,10)",73.64781055808787
